"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"PCK1","m = 0.00030 
 p = 0.06317","m = 0.00006 
 p = 0.01311","m = 0.00083 
 p = 0.19050","m = 0.00019 
 p = 0.03346","m = 0.00067 
 p = 0.23166","m = 0.00206 
 p = 0.29352","m = 0.00767 
 p = 1.79754","m = 0.00122 
 p = 0.22652","m = 0.32571 
 p = 43.50087","m = 0.00046 
 p = 0.06417","m = 0.00012 
 p = 0.02006","m = 0.00063 
 p = 0.05397"
"LEP","m = 0.00049 
 p = 0.10673","m = 0.00047 
 p = 0.10749","m = 0.00093 
 p = 0.18978","m = 0.00022 
 p = 0.03422","m = 0.00293 
 p = 0.38610","m = 0.00026 
 p = 0.03346","m = 0.00106 
 p = 0.47304","m = 0.00138 
 p = 0.22652","m = 0.12521 
 p = 23.49141","m = 0.00044 
 p = 0.07389","m = 0.00033 
 p = 0.04414","m = 0.00052 
 p = 0.05397"
"SCD","m = 0.00349 
 p = 1.06075","m = 0.00081 
 p = 0.17828","m = 0.02562 
 p = 4.66336","m = 0.00322 
 p = 0.67602","m = 0.00979 
 p = 1.85328","m = 0.00218 
 p = 0.32603","m = 0.01731 
 p = 4.35194","m = 0.07439 
 p = 9.93658","m = 0.67295 
 p = 64.14054","m = 0.01656 
 p = 3.52351","m = 0.00723 
 p = 1.19573","m = 0.00779 
 p = 0.80950"
"IRS4","m = 0.00001 
 p = 0.00218","m = 0.00000 
 p = 0.00052","m = 0.00000 
 p = 0.00072","m = 0.00000 
 p = 0.00152","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00004 
 p = 0.00401","m = 0.00000 
 p = 0.00000"
"GYS2","m = 0.00440 
 p = 1.36569","m = 0.00563 
 p = 1.57307","m = 0.00321 
 p = 0.66785","m = 0.00046 
 p = 0.07680","m = 0.00147 
 p = 0.23166","m = 0.00166 
 p = 0.22086","m = 0.00215 
 p = 0.94607","m = 0.00254 
 p = 0.48324","m = 0.03724 
 p = 9.37451","m = 0.00082 
 p = 0.16723","m = 0.00049 
 p = 0.07624","m = 0.00305 
 p = 0.32380"
"CCNA1","m = 0.00008 
 p = 0.01743","m = 0.00004 
 p = 0.00996","m = 0.00031 
 p = 0.06374","m = 0.00004 
 p = 0.00836","m = 0.00000 
 p = 0.00000","m = 0.00006 
 p = 0.00860","m = 0.00050 
 p = 0.28382","m = 0.00035 
 p = 0.06040","m = 0.00019 
 p = 0.09453","m = 0.00028 
 p = 0.04861","m = 0.00011 
 p = 0.02006","m = 0.00249 
 p = 0.26983"
"PIK3R3","m = 0.08115 
 p = 18.47270","m = 0.03237 
 p = 8.27120","m = 0.00991 
 p = 1.90286","m = 0.35820 
 p = 40.92316","m = 0.05859 
 p = 9.03475","m = 0.00783 
 p = 1.15017","m = 0.02601 
 p = 5.58184","m = 0.01180 
 p = 2.34068","m = 0.01533 
 p = 3.48196","m = 0.02850 
 p = 5.40777","m = 0.00961 
 p = 1.43648","m = 0.00688 
 p = 0.80950"
"IGF1","m = 0.00582 
 p = 1.58568","m = 0.00137 
 p = 0.33559","m = 0.23278 
 p = 26.84365","m = 0.00144 
 p = 0.24866","m = 0.17518 
 p = 23.70656","m = 0.00335 
 p = 0.44458","m = 0.02872 
 p = 6.62252","m = 0.02659 
 p = 3.85080","m = 0.52387 
 p = 61.57240","m = 0.07403 
 p = 11.22389","m = 0.00501 
 p = 0.78645","m = 0.00597 
 p = 0.64760"
"PPP2R1B","m = 0.04682 
 p = 13.10579","m = 0.02905 
 p = 7.68497","m = 0.05002 
 p = 8.93557","m = 0.03405 
 p = 5.84769","m = 0.05712 
 p = 9.57529","m = 0.04119 
 p = 5.41814","m = 0.03347 
 p = 9.36613","m = 0.03403 
 p = 5.57233","m = 0.31935 
 p = 52.68631","m = 0.02366 
 p = 4.88080","m = 0.02384 
 p = 3.47083","m = 0.01824 
 p = 1.99676"
"FBP1","m = 0.00335 
 p = 0.74274","m = 0.00256 
 p = 0.59777","m = 0.00274 
 p = 0.45996","m = 0.00105 
 p = 0.17110","m = 0.00351 
 p = 0.69498","m = 0.00169 
 p = 0.19695","m = 0.02698 
 p = 8.13623","m = 0.00482 
 p = 0.58895","m = 0.00609 
 p = 1.67008","m = 0.05224 
 p = 9.34547","m = 0.00606 
 p = 1.01918","m = 0.01543 
 p = 1.67296"
