"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CTNNA3","m = 0.82777 
 p = 91.67520","m = 1.00000 
 p = 96.36516","m = 0.01947 
 p = 3.93539","m = 0.00870 
 p = 1.30109","m = 0.03929 
 p = 6.10039","m = 0.09218 
 p = 12.78575","m = 0.18024 
 p = 30.08515","m = 0.15543 
 p = 20.17517","m = 0.07933 
 p = 18.24484","m = 0.02186 
 p = 2.99071","m = 0.00836 
 p = 1.09141","m = 0.03578 
 p = 4.69509"
"MYL9","m = 0.35459 
 p = 67.55026","m = 0.24021 
 p = 55.67721","m = 0.06366 
 p = 13.84014","m = 0.09860 
 p = 19.83803","m = 0.02965 
 p = 7.10425","m = 0.39519 
 p = 48.55966","m = 0.13389 
 p = 31.03122","m = 0.09502 
 p = 17.15494","m = 0.07002 
 p = 20.84449","m = 0.01688 
 p = 4.23521","m = 0.00732 
 p = 1.46457","m = 0.00587 
 p = 0.86346"
"RAC1","m = 0.05023 
 p = 17.21156","m = 0.05151 
 p = 16.51670","m = 0.11603 
 p = 24.10923","m = 0.39735 
 p = 58.30501","m = 0.21498 
 p = 40.54054","m = 0.15000 
 p = 25.03800","m = 0.17259 
 p = 40.01892","m = 0.12901 
 p = 22.53096","m = 0.08943 
 p = 29.47849","m = 0.24443 
 p = 46.21787","m = 0.10341 
 p = 19.24003","m = 0.05340 
 p = 7.87911"
"AFDN","m = 0.13638 
 p = 38.79898","m = 0.10536 
 p = 30.88983","m = 0.13339 
 p = 26.69588","m = 0.33559 
 p = 52.39953","m = 0.28111 
 p = 49.57529","m = 0.02472 
 p = 4.57774","m = 0.22999 
 p = 47.20908","m = 0.03570 
 p = 7.98852","m = 0.13806 
 p = 40.12919","m = 0.03922 
 p = 10.03967","m = 0.02425 
 p = 4.45791","m = 0.02682 
 p = 3.88559"
"SRC","m = 0.00756 
 p = 3.24977","m = 0.00297 
 p = 1.00834","m = 0.02271 
 p = 5.85491","m = 0.00094 
 p = 0.25094","m = 0.00778 
 p = 1.77606","m = 0.01678 
 p = 3.06043","m = 0.01370 
 p = 6.90634","m = 0.03146 
 p = 6.13108","m = 0.01776 
 p = 7.62565","m = 0.02086 
 p = 5.62750","m = 0.00264 
 p = 0.69015","m = 0.00264 
 p = 0.43173"
"VCL","m = 0.30711 
 p = 61.48418","m = 0.36901 
 p = 69.45834","m = 0.13404 
 p = 26.40035","m = 0.09743 
 p = 19.72701","m = 0.07016 
 p = 15.59846","m = 0.16302 
 p = 26.53715","m = 0.09924 
 p = 24.40870","m = 0.17350 
 p = 28.63183","m = 0.21190 
 p = 52.11911","m = 0.06080 
 p = 14.13876","m = 0.03721 
 p = 6.98178","m = 0.06197 
 p = 9.06638"
"SMAD3","m = 0.10675 
 p = 30.69853","m = 0.06288 
 p = 19.46516","m = 0.24260 
 p = 40.21151","m = 0.05674 
 p = 10.98133","m = 0.06342 
 p = 12.81853","m = 0.05321 
 p = 8.90404","m = 0.13797 
 p = 26.96310","m = 0.04605 
 p = 9.69496","m = 0.22845 
 p = 50.95321","m = 0.04029 
 p = 9.61187","m = 0.09614 
 p = 15.39202","m = 0.05502 
 p = 7.87911"
"BAIAP2","m = 0.03718 
 p = 13.64161","m = 0.02195 
 p = 7.87164","m = 0.00816 
 p = 2.25055","m = 0.03097 
 p = 6.89479","m = 0.04315 
 p = 10.34749","m = 0.00152 
 p = 0.36427","m = 0.05242 
 p = 15.89404","m = 0.02690 
 p = 5.49683","m = 0.01160 
 p = 4.69513","m = 0.02985 
 p = 7.84428","m = 0.00411 
 p = 0.97103","m = 0.00389 
 p = 0.59363"
"ACTN1","m = 0.21099 
 p = 49.21479","m = 0.10654 
 p = 29.54433","m = 0.11466 
 p = 22.63735","m = 0.16093 
 p = 29.09091","m = 0.28554 
 p = 52.04633","m = 0.12692 
 p = 20.97272","m = 0.14810 
 p = 35.28855","m = 0.04645 
 p = 9.16641","m = 0.26360 
 p = 55.85316","m = 0.07529 
 p = 18.12507","m = 0.01160 
 p = 2.51986","m = 0.00740 
 p = 1.07933"
"IQGAP1","m = 0.06676 
 p = 22.61550","m = 0.09322 
 p = 27.71853","m = 0.15848 
 p = 31.33316","m = 0.16635 
 p = 31.80031","m = 0.16725 
 p = 34.28571","m = 0.12643 
 p = 21.64676","m = 0.16025 
 p = 37.55913","m = 0.15740 
 p = 27.37844","m = 0.14841 
 p = 42.53978","m = 0.36053 
 p = 61.18695","m = 0.21479 
 p = 34.70829","m = 0.22573 
 p = 30.49110"
"RHOA","m = 0.04518 
 p = 15.73479","m = 0.06096 
 p = 18.99900","m = 0.12664 
 p = 25.95125","m = 0.31620 
 p = 51.28474","m = 0.20126 
 p = 39.61390","m = 0.12895 
 p = 22.34184","m = 0.13732 
 p = 34.72091","m = 0.12252 
 p = 21.63999","m = 0.13659 
 p = 39.16811","m = 0.27412 
 p = 50.32085","m = 0.18044 
 p = 31.20135","m = 0.06630 
 p = 9.55208"
"ACTG1","m = 0.21465 
 p = 48.00157","m = 0.25078 
 p = 56.52824","m = 0.19543 
 p = 34.16609","m = 0.52177 
 p = 62.16189","m = 0.21237 
 p = 36.06178","m = 0.26254 
 p = 36.48045","m = 0.35850 
 p = 55.91296","m = 0.18057 
 p = 28.20900","m = 0.07020 
 p = 21.41169","m = 0.29331 
 p = 44.72835","m = 0.38477 
 p = 48.70797","m = 0.02313 
 p = 3.34593"
"CTNNA2","m = 0.01566 
 p = 4.54575","m = 0.01265 
 p = 3.85402","m = 0.01325 
 p = 2.84017","m = 0.00589 
 p = 1.01973","m = 0.03667 
 p = 4.78764","m = 0.01207 
 p = 1.96667","m = 0.03063 
 p = 6.71712","m = 0.02024 
 p = 3.82060","m = 0.01963 
 p = 6.66457","m = 0.00604 
 p = 1.39229","m = 0.00507 
 p = 0.83460","m = 0.03216 
 p = 4.15542"
"SMURF1","m = 0.07969 
 p = 25.15084","m = 0.08547 
 p = 25.04221","m = 0.14877 
 p = 28.47416","m = 0.05434 
 p = 10.21938","m = 0.11078 
 p = 21.15830","m = 0.12183 
 p = 19.01944","m = 0.09690 
 p = 22.61116","m = 0.14935 
 p = 25.15856","m = 0.22618 
 p = 54.19883","m = 0.10859 
 p = 23.10504","m = 0.05584 
 p = 9.25688","m = 0.12384 
 p = 17.05343"
"CDC42","m = 0.06394 
 p = 21.29555","m = 0.06370 
 p = 20.10854","m = 0.08345 
 p = 18.07758","m = 0.24573 
 p = 42.63108","m = 0.19315 
 p = 38.30116","m = 0.10921 
 p = 19.47071","m = 0.13185 
 p = 33.77483","m = 0.08901 
 p = 16.49049","m = 0.09205 
 p = 30.50260","m = 0.20795 
 p = 41.69681","m = 0.20181 
 p = 33.72924","m = 0.06392 
 p = 9.17431"
"CTNNA1","m = 0.22864 
 p = 53.58193","m = 0.27500 
 p = 60.93335","m = 0.20021 
 p = 37.31846","m = 0.23839 
 p = 42.27064","m = 0.26716 
 p = 49.72973","m = 0.16341 
 p = 27.11941","m = 0.18138 
 p = 40.01892","m = 0.40399 
 p = 57.05225","m = 0.25484 
 p = 59.31936","m = 0.20921 
 p = 41.64625","m = 0.03964 
 p = 7.34692","m = 0.09298 
 p = 13.27577"
"ACTB","m = 0.37170 
 p = 64.26129","m = 0.31932 
 p = 62.35331","m = 0.27049 
 p = 42.42584","m = 0.69446 
 p = 72.48850","m = 0.37841 
 p = 50.88803","m = 0.38514 
 p = 40.16234","m = 0.45887 
 p = 64.23841","m = 0.24392 
 p = 34.20417","m = 0.13126 
 p = 32.51930","m = 0.59534 
 p = 63.19177","m = 0.64001 
 p = 61.74063","m = 0.04641 
 p = 6.69185"
"ACTN4","m = 0.22861 
 p = 52.00932","m = 0.21400 
 p = 51.72985","m = 0.07724 
 p = 17.31122","m = 0.25852 
 p = 44.29033","m = 0.14250 
 p = 30.50193","m = 0.13130 
 p = 22.50055","m = 0.14944 
 p = 36.32923","m = 0.06962 
 p = 13.92329","m = 0.15913 
 p = 41.76776","m = 0.08191 
 p = 20.38657","m = 0.12436 
 p = 22.12102","m = 0.07984 
 p = 11.38694"
"CTNND1","m = 0.12655 
 p = 35.85197","m = 0.08174 
 p = 24.93210","m = 0.09465 
 p = 20.88443","m = 0.16496 
 p = 31.34938","m = 0.17255 
 p = 35.21236","m = 0.05857 
 p = 10.52939","m = 0.08773 
 p = 23.84106","m = 0.12524 
 p = 22.56116","m = 0.09875 
 p = 31.47944","m = 0.14671 
 p = 31.41018","m = 0.01382 
 p = 2.70444","m = 0.02935 
 p = 4.47922"
"CTNNB1","m = 0.11814 
 p = 34.90885","m = 0.08287 
 p = 25.04169","m = 0.11497 
 p = 23.51309","m = 0.21392 
 p = 37.67765","m = 0.18302 
 p = 36.75676","m = 0.09794 
 p = 17.06711","m = 0.18340 
 p = 39.16746","m = 0.11734 
 p = 21.14165","m = 0.10859 
 p = 32.88168","m = 0.22927 
 p = 44.70501","m = 0.10146 
 p = 17.69120","m = 0.09091 
 p = 12.89800"
"RAP1B","m = 0.10244 
 p = 31.52186","m = 0.07925 
 p = 24.11672","m = 0.18024 
 p = 34.37108","m = 0.20876 
 p = 38.32250","m = 0.27066 
 p = 49.18919","m = 0.14484 
 p = 24.91276","m = 0.21158 
 p = 44.74929","m = 0.13278 
 p = 23.98067","m = 0.23316 
 p = 56.26280","m = 0.28505 
 p = 51.98149","m = 0.31320 
 p = 48.27462","m = 0.13138 
 p = 18.45656"
"WASL","m = 0.09097 
 p = 29.13463","m = 0.08102 
 p = 25.00708","m = 0.07381 
 p = 16.86647","m = 0.06142 
 p = 13.92723","m = 0.06538 
 p = 16.37066","m = 0.05693 
 p = 10.53512","m = 0.06209 
 p = 19.58373","m = 0.05325 
 p = 10.94835","m = 0.09732 
 p = 31.57397","m = 0.06800 
 p = 16.61611","m = 0.03117 
 p = 5.79007","m = 0.04355 
 p = 6.36805"
"EP300","m = 0.09193 
 p = 29.47660","m = 0.08737 
 p = 26.67978","m = 0.10925 
 p = 23.19655","m = 0.06668 
 p = 14.26562","m = 0.09768 
 p = 21.38996","m = 0.08780 
 p = 14.87576","m = 0.08871 
 p = 23.36802","m = 0.11044 
 p = 20.25068","m = 0.14307 
 p = 41.83079","m = 0.14998 
 p = 32.63913","m = 0.09049 
 p = 15.61672","m = 0.08762 
 p = 12.57420"
"SMURF2","m = 0.08270 
 p = 26.71037","m = 0.07557 
 p = 23.04599","m = 0.14862 
 p = 28.27858","m = 0.08899 
 p = 16.99479","m = 0.12772 
 p = 25.17375","m = 0.06328 
 p = 10.52939","m = 0.10622 
 p = 24.40870","m = 0.09645 
 p = 17.38146","m = 0.11998 
 p = 35.38680","m = 0.13214 
 p = 27.81278","m = 0.09117 
 p = 14.98275","m = 0.09158 
 p = 12.95197"
