,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CDC42,0.5190489,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
CTNNA2,0.57038677,0.002444170098219089,0.001674041041243802,0.0012925695879554538,0.00020630092084836127,0.006028891139048867,0.0008149994247044688,0.00706484593105632,0.002655390452011875,0.004492522800308673,0.00028894709569730155,0.00014538346678341443,0.004589572508658065
CTNNB1,0.43989974,0.14163336230241955,0.07126588285560032,0.09283862583886182,0.276809093026733,0.23102517127990724,0.057407581028193315,0.24669057779303113,0.08519387648423177,0.12262339825440115,0.3519945122654795,0.06164049895715105,0.04026887430349557
RHOA,0.5744079,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
CTNNA1,0.51600057,0.4207298513701085,0.5754645934484219,0.25659713297483305,0.3460724505846602,0.4562769786731617,0.15219018296803907,0.24928702514128745,0.7915593940878304,0.519158881358956,0.2992183523985625,0.010001092142301486,0.04239298791674364
AFDN,0.6816934,0.18172695619690066,0.11176948147842453,0.12229696011483694,0.6039004611595515,0.47861198062602156,0.0038860972195733506,0.3728781773892911,0.00979476530083498,0.1902672564521331,0.013523836131726495,0.0037122994356994002,0.00357840380280068
ACTB,0.49720523,0.8203124175939269,0.6837776705287473,0.39410421854557426,1.7288168092693361,0.6613164047476868,0.5312123421931174,1.0123318607444005,0.28652201823797946,0.1465878678960877,1.2919916803656104,1.3570496151453229,0.010665893265188416
RAC1,0.68541086,0.02969000503725597,0.02921826995264208,0.0960699204641105,0.7956355194225815,0.29931239179662755,0.12898443173593083,0.23719775490639,0.09982321144266455,0.0905370282266616,0.3879713352792939,0.0683292451354763,0.014449721918965569
SMURF1,0.543654,0.06883525000167229,0.07350215131794798,0.14548242628792402,0.019071895527837845,0.08049440061723863,0.07957482377415312,0.0752464353248773,0.1290383700588541,0.42100596694621734,0.08616811777456533,0.017753066691026557,0.07252789450798303
WASL,0.3577256,0.09102537509899684,0.06958283247560643,0.04275444860516402,0.02937631269769657,0.03675791968710174,0.020596763046104454,0.041757582419868225,0.02002354224114863,0.1055320877718591,0.0388028283159397,0.006198106357978307,0.009524474192875112
CTNND1,0.45836422,0.15581089513562696,0.06998625017976444,0.06788264225516323,0.17759748220688482,0.20866532749190753,0.021180647812127584,0.07182904584518332,0.09704012567994819,0.10675789622672997,0.15825946466608334,0.0012836510547377805,0.004514802369920872
