#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0.097	0.900	0	0.905
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0.178	0.900	0	0.914
ACTB	IQGAP1	9606.ENSP00000494750	9606.ENSP00000268182	0	0.457	0.900	0	0.943
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTB	CTNNA1	9606.ENSP00000494750	9606.ENSP00000304669	0	0.100	0.900	0	0.906
ACTB	BAIAP2	9606.ENSP00000494750	9606.ENSP00000316338	0	0.456	0.500	0	0.716
ACTB	TJP1	9606.ENSP00000494750	9606.ENSP00000348416	0	0.331	0.900	0	0.930
ACTB	AFDN	9606.ENSP00000494750	9606.ENSP00000355771	0	0	0.900	0	0.900
ACTB	WAS	9606.ENSP00000494750	9606.ENSP00000365891	0	0.049	0.900	0	0.900
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0.345	0.900	0	0.931
ACTB	CTNNA2	9606.ENSP00000494750	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTB	CTNNA3	9606.ENSP00000494750	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTG1	VCL	9606.ENSP00000458162	9606.ENSP00000211998	0	0.223	0.900	0	0.918
ACTG1	WASL	9606.ENSP00000458162	9606.ENSP00000223023	0	0.609	0.500	0	0.796
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0.900	0	0.900
ACTG1	IQGAP1	9606.ENSP00000458162	9606.ENSP00000268182	0	0.163	0.900	0	0.912
ACTG1	MYL9	9606.ENSP00000458162	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTG1	CTNNA1	9606.ENSP00000458162	9606.ENSP00000304669	0	0	0.900	0	0.900
ACTG1	TJP1	9606.ENSP00000458162	9606.ENSP00000348416	0	0	0.900	0	0.900
ACTG1	AFDN	9606.ENSP00000458162	9606.ENSP00000355771	0	0	0.900	0	0.900
ACTG1	WAS	9606.ENSP00000458162	9606.ENSP00000365891	0	0.049	0.900	0	0.900
ACTG1	ACTN1	9606.ENSP00000458162	9606.ENSP00000377941	0	0	0.900	0	0.900
ACTG1	CTNNA2	9606.ENSP00000458162	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTG1	CTNNA3	9606.ENSP00000458162	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTG1	CDC42	9606.ENSP00000458162	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0.933	0.900	0	0.993
ACTN1	CTNNA1	9606.ENSP00000377941	9606.ENSP00000304669	0	0.548	0.900	0	0.952
ACTN1	SSX2IP	9606.ENSP00000377941	9606.ENSP00000340279	0	0.292	0.900	0	0.926
ACTN1	LMO7	9606.ENSP00000377941	9606.ENSP00000366757	0	0	0.900	0	0.900
ACTN1	CTNNA2	9606.ENSP00000377941	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTN1	CTNNA3	9606.ENSP00000377941	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTN4	VCL	9606.ENSP00000252699	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN4	SSX2IP	9606.ENSP00000252699	9606.ENSP00000340279	0	0	0.900	0	0.900
ACTN4	CTNNA2	9606.ENSP00000252699	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTN4	CTNNA3	9606.ENSP00000252699	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTN4	CTNNA1	9606.ENSP00000252699	9606.ENSP00000304669	0	0	0.900	0	0.900
ACTN4	LMO7	9606.ENSP00000252699	9606.ENSP00000366757	0	0.214	0.900	0	0.918
AFDN	RAP1B	9606.ENSP00000355771	9606.ENSP00000250559	0	0	0.900	0	0.900
AFDN	NECTIN2	9606.ENSP00000355771	9606.ENSP00000252483	0	0.457	0.900	0	0.943
AFDN	NECTIN1	9606.ENSP00000355771	9606.ENSP00000264025	0	0.457	0.900	0	0.943
AFDN	CTNNA1	9606.ENSP00000355771	9606.ENSP00000304669	0	0.457	0.900	0	0.943
AFDN	SSX2IP	9606.ENSP00000355771	9606.ENSP00000340279	0	0.292	0.900	0	0.926
AFDN	TJP1	9606.ENSP00000355771	9606.ENSP00000348416	0	0.457	0.900	0	0.943
AFDN	CTNNA3	9606.ENSP00000355771	9606.ENSP00000389714	0	0	0.900	0	0.900
AFDN	CTNNA2	9606.ENSP00000355771	9606.ENSP00000384638	0	0	0.900	0	0.900
AFDN	RAP1A	9606.ENSP00000355771	9606.ENSP00000358723	0	0.292	0.900	0	0.926
AFDN	LMO7	9606.ENSP00000355771	9606.ENSP00000366757	0	0	0.900	0	0.900
AFDN	NECTIN4	9606.ENSP00000355771	9606.ENSP00000356991	0	0.230	0.900	0	0.919
