,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
SLC9A1,0.74765915,0.02428676144597588,0.009148080047069778,0.004009713208447423,0.0010284868743450379,0.001221323332616261,0.0008389206672391107,0.004034896813819401,0.0009998182243800026,0.023190013396377464,0.0017665465407391365,0.0011738967397088424,0.03305354338044807
ATP1A1,0.5777848,0.09434450366232142,0.12896946927846167,0.1549112401153327,0.26265098605064024,0.045379591172266184,0.006818694352551432,0.3650226752602389,0.026686856814001087,0.08554829284490066,0.07409359997973829,0.04982644102611853,0.0023210026963105795
TPM3,0.57123584,0.2899644833836023,0.01956064494428384,0.0257971430853679,0.2220779313755046,0.17933337716062095,0.01281092112375261,0.10481686465787571,0.02332426663189991,0.024664043450479487,0.39271607873913883,0.19012264470286455,0.01884236544193735
ATP1A2,0.7745306,0.17409423914908823,0.3702581088932739,0.00018633073571906015,4.8169400542974465e-05,6.749812355372897e-05,0.06863062597190275,0.0010149571040157111,0.06334821290748063,0.4288597470177277,0.0001271828790722467,1.632206063622237e-05,5.209399864712857e-05
ATP1B1,0.79445744,0.2922391716810918,0.5110300703170222,0.003815516549503612,0.003416736112473188,0.001251213252544403,0.0002718239638138023,0.18005633997037485,0.032295211026744874,0.0025175871817318496,0.030026413920170202,0.0028657063921939964,0.001262538710029075
CACNA1S,0.4928378,5.486452212137979e-06,2.347297825739253e-06,2.6775519601548188e-06,4.078746509638516e-07,5.023204811406412e-06,1.8232764776599817e-06,1.1401858697085867e-06,6.857362433219381e-07,4.840000588766736e-06,7.355427709851979e-07,3.7202658763263116e-07,3.16750296405117e-06
TNNT2,0.8797382,2.71616674441165,2.852208013911095,0.0059569251396573925,0.002283848948516953,0.0044082330920981625,0.0010924776697360434,0.030007984013408567,0.020549413414204527,0.012093859093009309,0.006634076136459813,0.0007664105602983352,0.00019406190637601627
PPP2R5A,0.6542515,0.24429035849921346,0.20666736241254827,0.015949108026308403,0.037463069729222837,0.112044772586307,0.019697771257778524,0.016911713295425013,0.013052929463936677,0.521249856463526,0.04331733760137205,0.055605970283025684,0.0824044803413776
CALM2,0.6037932,0.038310251138968535,0.01592277598383543,0.05633990847038164,0.5368281417398652,0.18210369923860412,0.15701569426329046,0.14661338087964307,0.14485533210094223,0.03814340590003233,0.3381204434550222,0.23660996221690528,0.001813251161279385
CREB1,0.2998911,0.11773081205911694,0.1624105419774316,0.04931503668935308,0.05250281370400902,0.07306754876748014,0.028790646237143423,0.040273757959833206,0.04352540683256684,0.1473586907889386,0.10416076394020457,0.04071158144391948,0.05077983380264677
SCN5A,0.8892594,0.4010703315409985,0.4444020256633733,0.00011400309688178611,2.7666829964377243e-05,0.0006749982222857162,3.0208532869013447e-05,0.0030429669732515157,0.0026464667165614227,0.0006702490278880803,0.0001846959977092904,2.0347832062409248e-05,1.8621865243797234e-05
CACNA1D,0.9064421,0.14017677006970036,0.0030891128625500203,0.0007255607041647388,6.283473542564148e-05,0.0017607280186244419,0.0006692220808251147,0.0021176226084651875,0.002228799721322294,0.002739494271741921,0.0006346138520834535,6.628662482921675e-05,0.0012611824791944806
ATP1B3,0.42852208,0.01663826849846394,0.015395622059939622,0.1616887021257317,0.20818650666753907,0.20152778676117705,0.2152219195805984,0.16392280047190222,0.027820693644574315,0.38514342808772284,0.30139710655435126,0.0770486439475469,0.016793731734743647
PPP2CA,0.5180231,0.02982840231816118,0.011539157574818498,0.015923051263166003,0.03455245869147732,0.02497483201929041,0.008485689834762524,0.030001311902178834,0.00928593077928917,0.020547305784470383,0.07151888332177603,0.031007045066650356,0.0013686820655594758
CAMK2A,0.8301305,0.0045953661703865565,0.0030777583259036876,3.385091090713087e-05,1.1908304100503287e-06,0.0,2.230692378958712e-06,0.000464103678937441,0.00014851219576314582,3.4926961317989456e-05,9.885727205256044e-06,1.5859361217783155e-06,4.6914556961862445e-05
PLN,0.8802731,1.0708722343338055,1.2845477238592031,0.0014898968271376588,0.00047599748193408626,0.0006805031988266352,0.013638082322079755,0.020692899301577652,0.006827017505591602,0.004158256667907808,0.001785370758016946,0.00017347798153821427,5.8378364852616044e-05
CAMK2B,0.91490835,0.2863800553993425,0.1612959357139592,8.457507566440577e-05,2.3292900103429647e-05,4.0772601847022653e-05,1.4935514391099447e-05,0.0010117481417721357,0.0006097501238886233,0.0006043590092862781,0.00017200765243314512,9.874360648657023e-06,1.1830907807566317e-05
