#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTC1	MYL2	9606.ENSP00000290378	9606.ENSP00000228841	0	0	0.900	0	0.900
ACTC1	MYL4	9606.ENSP00000290378	9606.ENSP00000347055	0	0.052	0.900	0	0.901
ACTC1	MYL3	9606.ENSP00000290378	9606.ENSP00000499406	0	0.052	0.900	0	0.901
ACTC1	TNNT2	9606.ENSP00000290378	9606.ENSP00000499593	0	0.900	0	0	0.900
ACTC1	TPM2	9606.ENSP00000290378	9606.ENSP00000496494	0	0.081	0.900	0	0.904
ACTC1	TPM4	9606.ENSP00000290378	9606.ENSP00000494125	0	0.081	0.900	0	0.904
ACTC1	MYH6	9606.ENSP00000290378	9606.ENSP00000386041	0	0.123	0.900	0	0.908
ACTC1	TNNI3	9606.ENSP00000290378	9606.ENSP00000341838	0	0	0.900	0	0.900
ACTC1	TPM3	9606.ENSP00000290378	9606.ENSP00000498577	0	0.904	0.900	0	0.990
ACTC1	MYH7	9606.ENSP00000290378	9606.ENSP00000347507	0	0.908	0.900	0	0.990
ACTC1	TPM1	9606.ENSP00000290378	9606.ENSP00000351022	0	0.944	0.900	0	0.994
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0.599	0.500	0	0.791
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY8	CALM1	9606.ENSP00000286355	9606.ENSP00000499717	0	0	0.700	0	0.700
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0.483	0.900	0	0.946
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0.900	0	0.900
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0.292	0.900	0	0.926
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0.230	0.900	0	0.919
AGT	AGTR1	9606.ENSP00000355627	9606.ENSP00000398832	0	0.734	0.900	0	0.972
AGT	AGTR2	9606.ENSP00000355627	9606.ENSP00000360973	0	0.734	0.900	0	0.972
AGTR1	AGTR2	9606.ENSP00000398832	9606.ENSP00000360973	0	0	0.900	0	0.900
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ATF2	CREB3L3	9606.ENSP00000264110	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF2	CREB3L4	9606.ENSP00000264110	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF2	CREB3L1	9606.ENSP00000264110	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF2	CREB3L2	9606.ENSP00000264110	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF2	ATF6B	9606.ENSP00000264110	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF2	ATF4	9606.ENSP00000264110	9606.ENSP00000336790	0	0.193	0.900	0	0.915
ATF2	CREB3	9606.ENSP00000264110	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0.302	0.900	0	0.927
ATF2	CREB5	9606.ENSP00000264110	9606.ENSP00000350359	0	0.680	0.900	0	0.966
ATF4	CREB3L3	9606.ENSP00000336790	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF4	CREB3L4	9606.ENSP00000336790	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF4	CREB3L2	9606.ENSP00000336790	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF4	CREB5	9606.ENSP00000336790	9606.ENSP00000350359	0	0	0.900	0	0.900
ATF4	CREB3L1	9606.ENSP00000336790	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF4	ATF6B	9606.ENSP00000336790	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF4	CREB3	9606.ENSP00000336790	9606.ENSP00000342136	0	0.133	0.900	0	0.909
ATF4	CREB1	9606.ENSP00000336790	9606.ENSP00000387699	0	0	0.900	0	0.900
ATF6B	CREB3L3	9606.ENSP00000364349	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF6B	CREB3L4	9606.ENSP00000364349	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF6B	CREB3L2	9606.ENSP00000364349	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF6B	CREB3	9606.ENSP00000364349	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF6B	CREB5	9606.ENSP00000364349	9606.ENSP00000350359	0	0	0.900	0	0.900
ATF6B	CREB1	9606.ENSP00000364349	9606.ENSP00000387699	0	0	0.900	0	0.900
ATF6B	CREB3L1	9606.ENSP00000364349	9606.ENSP00000481956	0	0	0.900	0	0.900
ATP1A1	ATP1B4	9606.ENSP00000445306	9606.ENSP00000218008	0	0.185	0.900	0	0.915
ATP1A1	ATP1B2	9606.ENSP00000445306	9606.ENSP00000250111	0	0.337	0.900	0	0.930
ATP1A1	SLC9A1	9606.ENSP00000445306	9606.ENSP00000263980	0	0	0.720	0	0.720
