"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"PMAIP1","m = 0.00019 
 p = 0.03049","m = 0.00031 
 p = 0.02832","m = 0.00321 
 p = 0.46865","m = 0.05614 
 p = 5.88723","m = 0.00015 
 p = 0.07722","m = 0.00344 
 p = 0.34419","m = 0.03056 
 p = 6.33869","m = 0.00225 
 p = 0.21142","m = 0.00059 
 p = 0.12604","m = 0.06122 
 p = 6.24392","m = 0.25333 
 p = 18.39339","m = 0.00089 
 p = 0.05397"
"CASP8","m = 0.01351 
 p = 2.56801","m = 0.01493 
 p = 2.43301","m = 0.03855 
 p = 4.46489","m = 0.03109 
 p = 3.31622","m = 0.02331 
 p = 2.54826","m = 0.01117 
 p = 0.95800","m = 0.05134 
 p = 9.08231","m = 0.01516 
 p = 1.63093","m = 0.05762 
 p = 10.50890","m = 0.08775 
 p = 9.93855","m = 0.33776 
 p = 25.60388","m = 0.15284 
 p = 10.09174"
"TNF","m = 0.00005 
 p = 0.01525","m = 0.00012 
 p = 0.01626","m = 0.00038 
 p = 0.12386","m = 0.03131 
 p = 3.10254","m = 0.00240 
 p = 0.23166","m = 0.00073 
 p = 0.07649","m = 0.00147 
 p = 0.66225","m = 0.00039 
 p = 0.03020","m = 0.00050 
 p = 0.09453","m = 0.03166 
 p = 3.46906","m = 0.04322 
 p = 3.59923","m = 0.00569 
 p = 0.43173"
"BIRC3","m = 0.01815 
 p = 3.31947","m = 0.01643 
 p = 2.63437","m = 0.06105 
 p = 5.77016","m = 0.12176 
 p = 11.29767","m = 0.03933 
 p = 3.93822","m = 0.00769 
 p = 0.72854","m = 0.36551 
 p = 32.45033","m = 0.14917 
 p = 11.88463","m = 0.01636 
 p = 2.97778","m = 0.10452 
 p = 10.27496","m = 0.27064 
 p = 19.86999","m = 0.10282 
 p = 6.26012"
"FAS","m = 0.00134 
 p = 0.22653","m = 0.00058 
 p = 0.09596","m = 0.09475 
 p = 10.31980","m = 0.05574 
 p = 5.80358","m = 0.00839 
 p = 1.15830","m = 0.05699 
 p = 5.00512","m = 0.17067 
 p = 22.13813","m = 0.06407 
 p = 6.08577","m = 0.02924 
 p = 6.31795","m = 0.02371 
 p = 2.97515","m = 0.07630 
 p = 6.38793","m = 0.01334 
 p = 0.80950"
"CASP10","m = 0.00150 
 p = 0.25920","m = 0.00093 
 p = 0.14210","m = 0.01303 
 p = 1.66455","m = 0.12394 
 p = 12.32425","m = 0.13185 
 p = 14.82625","m = 0.00259 
 p = 0.25814","m = 0.01525 
 p = 3.21665","m = 0.00489 
 p = 0.63425","m = 0.01635 
 p = 3.38743","m = 0.09043 
 p = 10.59970","m = 0.07586 
 p = 6.69689","m = 0.02365 
 p = 1.61900"
"APAF1","m = 0.01849 
 p = 3.46976","m = 0.01766 
 p = 2.90389","m = 0.05631 
 p = 6.23664","m = 0.04030 
 p = 4.27436","m = 0.04922 
 p = 5.71429","m = 0.02780 
 p = 2.32712","m = 0.03401 
 p = 5.77105","m = 0.04886 
 p = 4.69647","m = 0.04439 
 p = 8.69702","m = 0.13968 
 p = 15.49022","m = 0.07835 
 p = 6.68084","m = 0.05265 
 p = 3.66972"
"BAK1","m = 0.01267 
 p = 2.34584","m = 0.00970 
 p = 1.60034","m = 0.01046 
 p = 1.31252","m = 0.02556 
 p = 2.92460","m = 0.01554 
 p = 2.47104","m = 0.01246 
 p = 1.29645","m = 0.01631 
 p = 3.40587","m = 0.00696 
 p = 0.75506","m = 0.00716 
 p = 1.59130","m = 0.02627 
 p = 3.52156","m = 0.04385 
 p = 4.37766","m = 0.00496 
 p = 0.43173"
"BID","m = 0.01727 
 p = 3.02542","m = 0.01955 
 p = 3.03917","m = 0.02645 
 p = 3.19510","m = 0.10027 
 p = 10.22166","m = 0.15018 
 p = 16.44788","m = 0.01665 
 p = 1.41023","m = 0.06277 
 p = 10.69063","m = 0.00986 
 p = 0.96648","m = 0.04055 
 p = 6.86939","m = 0.17000 
 p = 18.75510","m = 0.10548 
 p = 9.46553","m = 0.04762 
 p = 3.18403"
"FADD","m = 0.00472 
 p = 0.92353","m = 0.00522 
 p = 0.85470","m = 0.01245 
 p = 1.41683","m = 0.03648 
 p = 4.11239","m = 0.01924 
 p = 2.62548","m = 0.01277 
 p = 1.28498","m = 0.02837 
 p = 6.05487","m = 0.00901 
 p = 0.95137","m = 0.01031 
 p = 2.01670","m = 0.01124 
 p = 1.56341","m = 0.02064 
 p = 1.97015","m = 0.00436 
 p = 0.32380"
"HRAS","m = 0.01360 
 p = 2.25001","m = 0.01668 
 p = 2.66373","m = 0.02172 
 p = 2.48814","m = 0.08347 
 p = 9.26353","m = 0.06679 
 p = 8.72587","m = 0.04465 
 p = 4.59400","m = 0.04059 
 p = 8.13623","m = 0.03200 
 p = 3.06554","m = 0.01687 
 p = 3.35592","m = 0.02731 
 p = 3.47879","m = 0.02941 
 p = 2.90908","m = 0.00822 
 p = 0.53967"
"TNFRSF10B","m = 0.05350 
 p = 8.94775","m = 0.04250 
 p = 6.57490","m = 0.09461 
 p = 9.99022","m = 0.20983 
 p = 19.01297","m = 0.14404 
 p = 14.20849","m = 0.02765 
 p = 2.36153","m = 0.16507 
 p = 19.11069","m = 0.03091 
 p = 3.14105","m = 0.11612 
 p = 18.22908","m = 0.11164 
 p = 12.64535","m = 0.04806 
 p = 4.28136","m = 0.05503 
 p = 3.72369"
"TRADD","m = 0.01374 
 p = 2.43732","m = 0.01115 
 p = 1.88821","m = 0.03055 
 p = 3.45732","m = 0.04720 
 p = 5.33440","m = 0.04808 
 p = 6.10039","m = 0.03304 
 p = 3.33674","m = 0.06321 
 p = 11.92053","m = 0.02404 
 p = 2.37088","m = 0.02370 
 p = 4.52182","m = 0.03963 
 p = 5.21721","m = 0.08157 
 p = 7.50341","m = 0.01191 
 p = 0.80950"
"BCL2L11","m = 0.03574 
 p = 6.67378","m = 0.02220 
 p = 3.90750","m = 0.02339 
 p = 2.71196","m = 0.02208 
 p = 2.52538","m = 0.09250 
 p = 9.72973","m = 0.01378 
 p = 1.20085","m = 0.03489 
 p = 5.86566","m = 0.02633 
 p = 2.67291","m = 0.02569 
 p = 5.45139","m = 0.05943 
 p = 7.11702","m = 0.09006 
 p = 7.63984","m = 0.05785 
 p = 4.04749"
"TNFRSF1A","m = 0.03920 
 p = 7.31415","m = 0.02426 
 p = 4.13140","m = 0.24592 
 p = 23.76661","m = 0.28846 
 p = 27.11152","m = 0.22039 
 p = 23.70656","m = 0.17408 
 p = 14.95320","m = 0.38140 
 p = 40.77578","m = 0.17181 
 p = 14.67834","m = 0.25237 
 p = 35.76493","m = 0.32805 
 p = 33.58807","m = 0.08184 
 p = 7.36297","m = 0.02220 
 p = 1.61900"
"CFLAR","m = 1.00000 
 p = 79.33611","m = 0.97429 
 p = 80.35237","m = 0.41050 
 p = 35.85817","m = 0.75095 
 p = 55.41690","m = 0.39139 
 p = 35.44402","m = 0.14850 
 p = 12.53621","m = 0.31968 
 p = 33.01798","m = 0.30112 
 p = 24.49411","m = 0.70810 
 p = 67.60674","m = 0.48722 
 p = 44.42305","m = 0.52969 
 p = 39.11805","m = 0.23280 
 p = 15.21856"
"KRAS","m = 0.06056 
 p = 10.42452","m = 0.06328 
 p = 9.93446","m = 0.09282 
 p = 10.11264","m = 0.21245 
 p = 20.86309","m = 0.18030 
 p = 19.15058","m = 0.06791 
 p = 6.21265","m = 0.11480 
 p = 16.27247","m = 0.08428 
 p = 8.13953","m = 0.08873 
 p = 15.23554","m = 0.17802 
 p = 20.42935","m = 0.16052 
 p = 13.99165","m = 0.07490 
 p = 5.07285"
