,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CASP9,0.36856243,0.002773875110197835,0.002741342795847015,0.0007475847322043831,0.00017381213961771734,0.0001678644704657632,0.0018238982773989803,0.0014169744886422676,0.0010602152888074955,0.0025655332467340755,0.002000353978023559,0.0006477060363721469,0.0003021757364176572
BCL2L11,0.59566885,0.00380298189486341,0.0013827946429097353,0.0010112136609957284,0.0008889215479415704,0.014350437312512785,0.0002638864601040117,0.0032632828266302596,0.0011222614912072613,0.002232493239020445,0.006743859925204433,0.010970059390933257,0.003733070485828634
CFLAR,0.52234304,1.2649504358139947,1.2482145898124979,0.23469723443154997,0.663520708798791,0.22118280854464498,0.02968183411911161,0.16829378185344396,0.11760000014585947,0.7632830794897721,0.3450904834049333,0.33037003670292864,0.05648746457668619
CASP10,0.74599475,6.189897576881432e-06,2.108164879834622e-06,0.0003457922017983173,0.024353400083994357,0.031169201324345062,1.0656856657414863e-05,0.0007821999511407476,4.948247676955469e-05,0.0008831345785085809,0.015282170350048677,0.008099628621218302,0.0006104162977118783
CASP8,0.8661589,0.0005531748330164552,0.0005790953334005044,0.0027446069884622315,0.00164395641886931,0.0009472016345810247,0.0001705650914733496,0.007434039264776398,0.00039425814410092713,0.009654843919442848,0.01390506556293898,0.13788584653183789,0.02459246945490531
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
CASP3,0.49341723,0.008669698898994951,0.008171842240879678,0.004127923130259424,0.006628261988928805,0.020929995236709773,0.001742886336602928,0.0054953499655737105,0.002058519405456008,0.008103939393373553,0.011230326657260363,0.012349540236630319,0.004438937820104155
RIPK1,0.48298776,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
BAK1,0.69308203,0.00047397147955387584,0.00024756136298129615,0.00021887285775395012,0.001191955872812333,0.0006124153100385629,0.0002576060603172202,0.0008856520310481315,8.375559573724746e-05,0.00018176733869346124,0.0014747910156491962,0.0030609051433949652,3.4119196023030086e-05
MAP3K5,0.49745455,0.017920758474504358,0.45679186355848256,0.13537201913012473,0.0009496860123125756,0.006912213811312864,0.09432637373537599,0.28361992956673976,0.07311712122150722,0.4903256784598058,0.1680748486506806,0.13993585313479082,0.13405572345175745
CASP2,0.36987332,0.0032141418058827405,0.004632947343230641,0.0019982887943260468,0.004660816411728016,0.004805111672197069,0.002597253813979336,0.0029834374827716072,0.004031904050768124,0.0033617252221309576,0.006067609939719426,0.006389193934591076,0.0019101828449298675
XIAP,0.40639982,0.08227413762789644,0.0747585953067992,0.04605088506033859,0.03276523014134017,0.07710004888446174,0.018886487594824117,0.03460067527521976,0.022312623123789944,0.15580310039920697,0.07064049124801162,0.020492608763080816,0.0237837706024558
TNFRSF10B,0.6147918,0.007632611824082672,0.0044554989226484746,0.015070552300234241,0.06361063924457976,0.032630324363708496,0.0010411834765919861,0.05029644730413648,0.0015478837763712291,0.03374903637235589,0.022509656577626665,0.0032809290751825604,0.0032672010325960903
TRAF2,0.2521662,0.0022979857404644196,0.003570150240754132,0.0013709560883420383,0.002556633979505896,0.002588196452635135,0.000751963291347962,0.002376873032062146,0.0005694323887964707,0.0033005165531632655,0.0011827416831881534,0.002274068721023209,0.0012426645295464279
HRAS,0.6538075,0.000487851624127095,0.0007085249505366321,0.0008618577958321193,0.012328172992569454,0.009292221259196293,0.003270699683638333,0.005265849639812277,0.001564083510643584,0.0009027888635368596,0.0015146284409547424,0.0013642708668762567,7.07504650627158e-05
FADD,0.655225,6.949388530821913e-05,7.114340511397419e-05,0.0002811556464970978,0.0023916269653147426,0.0008054423401254485,0.0002617160221265545,0.002738806472821628,0.00013665821261499194,0.000331486907365173,0.00028023472408502303,0.0006484573956762231,2.2501767152107156e-05
BIRC3,0.7741869,0.0009603621457011052,0.000690204863042963,0.005616748359529651,0.021932662410734452,0.002469675570841462,8.931556678290835e-05,0.18911465982727657,0.028266219385654604,0.0007769241224729641,0.017123072090020227,0.08574102488559777,0.010262427108711123
BIRC2,0.33953702,0.022705307700771567,0.016527901863265467,0.02383984417507949,0.0263551419522163,0.022077806380264544,0.007220626549829587,0.03333455924730653,0.024217450042229624,0.03518068110527759,0.04588029777109379,0.020551299336236683,0.004780952207024395
FAS,0.77390575,4.851956926045231e-06,8.838151061351576e-07,0.015589651292825633,0.0051576224457949744,0.00015494592027544515,0.0045478851791002275,0.0602411949194707,0.00621713805697325,0.0029459082163026317,0.0011248004941891072,0.00777117540524272,0.00017221015865456651
TNFRSF1A,0.55938333,0.004571300144790007,0.0015978779027287417,0.0931898400009937,0.1246926823429162,0.08330209248314493,0.04150336915683308,0.2479645440120571,0.040210426285777416,0.14391078692788267,0.17568241465037462,0.00960772152281278,0.0005731835189344299
