#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
APAF1	CYCS	9606.ENSP00000448165	9606.ENSP00000307786	0	0.948	0.900	0	0.994
APAF1	CASP3	9606.ENSP00000448165	9606.ENSP00000311032	0	0.704	0	0	0.704
APAF1	CASP9	9606.ENSP00000448165	9606.ENSP00000330237	0	0.968	0.900	0	0.996
APAF1	XIAP	9606.ENSP00000448165	9606.ENSP00000360242	0	0.457	0.500	0	0.716
ATF4	DDIT3	9606.ENSP00000336790	9606.ENSP00000448665	0	0.424	0.720	0	0.832
BAD	BCL2L1	9606.ENSP00000378040	9606.ENSP00000365230	0	0.971	0.500	0	0.985
BAD	BCL2	9606.ENSP00000378040	9606.ENSP00000381185	0	0.615	0.900	0	0.959
BAK1	BCL2A1	9606.ENSP00000363591	9606.ENSP00000267953	0	0.940	0	0	0.940
BAK1	BAX	9606.ENSP00000363591	9606.ENSP00000293288	0	0.671	0.900	0	0.965
BAK1	BID	9606.ENSP00000363591	9606.ENSP00000318822	0	0.954	0.900	0	0.995
BAK1	MCL1	9606.ENSP00000363591	9606.ENSP00000358022	0	0.568	0.900	0	0.954
BAK1	BCL2	9606.ENSP00000363591	9606.ENSP00000381185	0	0.483	0.720	0	0.849
BAK1	BCL2L11	9606.ENSP00000363591	9606.ENSP00000376943	0	0.955	0.900	0	0.995
BAK1	BCL2L1	9606.ENSP00000363591	9606.ENSP00000365230	0	0.977	0.900	0	0.997
BAX	BBC3	9606.ENSP00000293288	9606.ENSP00000404503	0	0.441	0.540	0	0.732
BAX	BCL2L11	9606.ENSP00000293288	9606.ENSP00000376943	0	0.751	0.900	0	0.974
BAX	BID	9606.ENSP00000293288	9606.ENSP00000318822	0	0.689	0.900	0	0.967
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0.946	0.720	0	0.984
BAX	BCL2L1	9606.ENSP00000293288	9606.ENSP00000365230	0	0.966	0.900	0	0.996
BAX	MCL1	9606.ENSP00000293288	9606.ENSP00000358022	0	0.960	0.900	0	0.995
BBC3	BID	9606.ENSP00000404503	9606.ENSP00000318822	0	0	0.900	0	0.900
BBC3	PMAIP1	9606.ENSP00000404503	9606.ENSP00000326119	0	0	0.900	0	0.900
BBC3	MCL1	9606.ENSP00000404503	9606.ENSP00000358022	0	0.794	0.540	0	0.901
BBC3	BCL2L1	9606.ENSP00000404503	9606.ENSP00000365230	0	0.701	0.540	0	0.856
BBC3	BCL2L11	9606.ENSP00000404503	9606.ENSP00000376943	0	0	0.900	0	0.900
BBC3	BCL2	9606.ENSP00000404503	9606.ENSP00000381185	0	0.727	0.500	0	0.857
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0.618	0.900	0	0.960
BCL2	BID	9606.ENSP00000381185	9606.ENSP00000318822	0	0.656	0.900	0	0.964
BCL2	PMAIP1	9606.ENSP00000381185	9606.ENSP00000326119	0	0.549	0.500	0	0.764
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0.690	0.900	0	0.967
BCL2	BCL2L11	9606.ENSP00000381185	9606.ENSP00000376943	0	0.753	0.500	0	0.871
BCL2A1	BID	9606.ENSP00000267953	9606.ENSP00000318822	0	0.963	0	0	0.963
BCL2A1	BCL2L11	9606.ENSP00000267953	9606.ENSP00000376943	0	0.971	0	0	0.971
BCL2A1	PMAIP1	9606.ENSP00000267953	9606.ENSP00000326119	0	0.900	0	0	0.900
BCL2L1	KRAS	9606.ENSP00000365230	9606.ENSP00000256078	0	0.165	0.900	0	0.912
BCL2L1	TP53	9606.ENSP00000365230	9606.ENSP00000269305	0	0.955	0	0	0.955
BCL2L1	BID	9606.ENSP00000365230	9606.ENSP00000318822	0	0.967	0.500	0	0.983
