#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTB	ITGB8	9606.ENSP00000494750	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTB	ITGB6	9606.ENSP00000494750	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTB	CTNNA1	9606.ENSP00000494750	9606.ENSP00000304669	0	0.100	0.900	0	0.906
ACTB	DMD	9606.ENSP00000494750	9606.ENSP00000354923	0	0	0.900	0	0.900
ACTB	ACTN2	9606.ENSP00000494750	9606.ENSP00000355537	0	0.961	0	0	0.961
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTB	CTNNA2	9606.ENSP00000494750	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTB	CTNNA3	9606.ENSP00000494750	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTG1	ITGB8	9606.ENSP00000458162	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTG1	ITGB7	9606.ENSP00000458162	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTG1	ITGB6	9606.ENSP00000458162	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTG1	ITGB5	9606.ENSP00000458162	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTG1	CTNNA1	9606.ENSP00000458162	9606.ENSP00000304669	0	0	0.900	0	0.900
ACTG1	DMD	9606.ENSP00000458162	9606.ENSP00000354923	0	0	0.900	0	0.900
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTG1	CTNNA2	9606.ENSP00000458162	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTG1	CTNNA3	9606.ENSP00000458162	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTN2	ACTN3	9606.ENSP00000355537	9606.ENSP00000422007	0	0.292	0.900	0	0.926
ATP2A1	ATP2A3	9606.ENSP00000349595	9606.ENSP00000353072	0	0.127	0.900	0	0.908
ATP2A1	ATP2A2	9606.ENSP00000349595	9606.ENSP00000440045	0	0.360	0.900	0	0.933
ATP2A2	ATP2A3	9606.ENSP00000440045	9606.ENSP00000353072	0	0.189	0.900	0	0.915
CACNA1C	CACNG3	9606.ENSP00000266376	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1C	CACNG1	9606.ENSP00000266376	9606.ENSP00000226021	0	0.375	0.720	0	0.817
CACNA1C	CACNG6	9606.ENSP00000266376	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1C	CACNG4	9606.ENSP00000266376	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1C	CACNG2	9606.ENSP00000266376	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1C	CACNB1	9606.ENSP00000266376	9606.ENSP00000377840	0	0.541	0.540	0	0.780
CACNA1C	CACNG8	9606.ENSP00000266376	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1C	CACNG7	9606.ENSP00000266376	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1C	CACNA2D4	9606.ENSP00000266376	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1C	CACNB4	9606.ENSP00000266376	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1C	CACNA2D2	9606.ENSP00000266376	9606.ENSP00000418081	0	0.268	0.800	0	0.847
CACNA1C	CACNA1D	9606.ENSP00000266376	9606.ENSP00000288139	0	0.355	0.900	0	0.932
CACNA1C	CACNA1F	9606.ENSP00000266376	9606.ENSP00000365441	0	0	0.900	0	0.900
CACNA1C	CACNB3	9606.ENSP00000266376	9606.ENSP00000301050	0	0.746	0.900	0	0.973
CACNA1C	CACNA1S	9606.ENSP00000266376	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1C	CACNB2	9606.ENSP00000266376	9606.ENSP00000320025	0	0.641	0.720	0	0.895
CACNA1C	CACNA2D1	9606.ENSP00000266376	9606.ENSP00000349320	0	0.339	0.900	0	0.931
CACNA1D	CACNG3	9606.ENSP00000288139	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1D	CACNG1	9606.ENSP00000288139	9606.ENSP00000226021	0	0.375	0.720	0	0.817
CACNA1D	CACNG6	9606.ENSP00000288139	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1D	CACNG4	9606.ENSP00000288139	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1D	CACNG8	9606.ENSP00000288139	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1D	CACNB1	9606.ENSP00000288139	9606.ENSP00000377840	0	0.379	0.540	0	0.702
CACNA1D	CACNG2	9606.ENSP00000288139	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1D	CACNA2D2	9606.ENSP00000288139	9606.ENSP00000418081	0	0.268	0.800	0	0.847
CACNA1D	CACNA2D4	9606.ENSP00000288139	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1D	CACNB4	9606.ENSP00000288139	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1D	CACNB2	9606.ENSP00000288139	9606.ENSP00000320025	0	0.461	0.800	0	0.887
CACNA1D	CACNG7	9606.ENSP00000288139	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1D	CACNA1S	9606.ENSP00000288139	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1D	CACNA1F	9606.ENSP00000288139	9606.ENSP00000365441	0	0	0.900	0	0.900
CACNA1D	CACNB3	9606.ENSP00000288139	9606.ENSP00000301050	0	0.922	0.900	0	0.991
CACNA1D	CACNA2D1	9606.ENSP00000288139	9606.ENSP00000349320	0	0.931	0.900	0	0.992
CACNA1F	CACNG3	9606.ENSP00000365441	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1F	CACNG1	9606.ENSP00000365441	9606.ENSP00000226021	0	0.364	0.720	0	0.814
CACNA1F	CACNG6	9606.ENSP00000365441	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1F	CACNG4	9606.ENSP00000365441	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1F	CACNG8	9606.ENSP00000365441	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1F	CACNG2	9606.ENSP00000365441	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1F	CACNB3	9606.ENSP00000365441	9606.ENSP00000301050	0	0.252	0.900	0	0.922
CACNA1F	CACNB2	9606.ENSP00000365441	9606.ENSP00000320025	0	0.252	0.720	0	0.781
CACNA1F	CACNA2D1	9606.ENSP00000365441	9606.ENSP00000349320	0	0.268	0.900	0	0.923
CACNA1F	CACNA1S	9606.ENSP00000365441	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1F	CACNG7	9606.ENSP00000365441	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1F	CACNA2D4	9606.ENSP00000365441	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1F	CACNB4	9606.ENSP00000365441	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1S	CACNG3	9606.ENSP00000355192	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1S	CACNG1	9606.ENSP00000355192	9606.ENSP00000226021	0	0.717	0.720	0	0.917
