"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"PDGFRA","m = 0.00090 
 p = 0.63166","m = 0.00034 
 p = 0.20869","m = 0.16241 
 p = 38.61360","m = 0.00151 
 p = 0.60758","m = 0.00686 
 p = 2.39382","m = 0.00241 
 p = 0.70655","m = 0.02006 
 p = 8.23084","m = 0.01813 
 p = 5.58744","m = 0.02035 
 p = 9.26422","m = 0.00180 
 p = 0.81282","m = 0.00080 
 p = 0.30094","m = 0.00169 
 p = 0.37777"
"PDGFRB","m = 0.00185 
 p = 0.92788","m = 0.00191 
 p = 0.82376","m = 0.13503 
 p = 35.43081","m = 0.00441 
 p = 1.50565","m = 0.00643 
 p = 1.69884","m = 0.42946 
 p = 76.37222","m = 0.00974 
 p = 5.48723","m = 0.04387 
 p = 11.85442","m = 0.03381 
 p = 15.18828","m = 0.00282 
 p = 1.08505","m = 0.00568 
 p = 1.70532","m = 0.00431 
 p = 0.91743"
"NOS3","m = 0.00034 
 p = 0.20039","m = 0.00020 
 p = 0.11221","m = 0.00042 
 p = 0.23831","m = 0.04354 
 p = 13.80480","m = 0.01649 
 p = 6.56371","m = 0.00035 
 p = 0.11760","m = 0.00328 
 p = 1.70293","m = 0.00044 
 p = 0.21142","m = 0.00141 
 p = 0.94533","m = 0.00049 
 p = 0.21390","m = 0.00061 
 p = 0.20865","m = 0.00221 
 p = 0.59363"
"RYR3","m = 0.00903 
 p = 4.39110","m = 0.00831 
 p = 3.98721","m = 0.01151 
 p = 3.80356","m = 0.00373 
 p = 1.04331","m = 0.01148 
 p = 2.85714","m = 0.00574 
 p = 1.45325","m = 0.01215 
 p = 5.29801","m = 0.00635 
 p = 1.99336","m = 0.01169 
 p = 6.57003","m = 0.00334 
 p = 1.21534","m = 0.00313 
 p = 0.79047","m = 0.14324 
 p = 26.76740"
"CACNA1H","m = 0.00170 
 p = 1.17619","m = 0.00067 
 p = 0.38278","m = 0.00085 
 p = 0.43533","m = 0.00049 
 p = 0.20912","m = 0.00076 
 p = 0.15444","m = 0.03384 
 p = 9.12872","m = 0.00248 
 p = 2.17597","m = 0.00143 
 p = 0.66445","m = 0.00070 
 p = 0.51993","m = 0.00020 
 p = 0.09528","m = 0.00047 
 p = 0.15649","m = 0.01466 
 p = 3.13006"
"CAMK2B","m = 0.11970 
 p = 46.87765","m = 0.08694 
 p = 36.35258","m = 0.00180 
 p = 0.92282","m = 0.00102 
 p = 0.44637","m = 0.00172 
 p = 0.46332","m = 0.00088 
 p = 0.33081","m = 0.00551 
 p = 3.59508","m = 0.00527 
 p = 2.26518","m = 0.00445 
 p = 2.66268","m = 0.00269 
 p = 1.25423","m = 0.00068 
 p = 0.28489","m = 0.00107 
 p = 0.21587"
"EGF","m = 0.08752 
 p = 34.74549","m = 0.06219 
 p = 25.93467","m = 0.00124 
 p = 0.62222","m = 0.00078 
 p = 0.35968","m = 0.00113 
 p = 0.30888","m = 0.00057 
 p = 0.19887","m = 0.00414 
 p = 2.74361","m = 0.00378 
 p = 1.91785","m = 0.00406 
 p = 2.12699","m = 0.00237 
 p = 1.00338","m = 0.00067 
 p = 0.25680","m = 0.00213 
 p = 0.43173"
"TRDN","m = 0.54120 
 p = 93.35671","m = 0.45137 
 p = 90.55320","m = 0.00636 
 p = 2.04049","m = 0.00390 
 p = 0.97107","m = 0.00861 
 p = 2.23938","m = 0.00363 
 p = 0.91402","m = 0.02379 
 p = 8.13623","m = 0.04077 
 p = 9.71006","m = 0.02685 
 p = 10.00473","m = 0.00973 
 p = 2.41318","m = 0.00322 
 p = 0.74232","m = 0.01090 
 p = 2.21263"
"CHRM1","m = 0.00015 
 p = 0.07188","m = 0.00007 
 p = 0.03461","m = 0.00009 
 p = 0.03404","m = 0.00008 
 p = 0.02585","m = 0.00000 
 p = 0.00000","m = 0.00005 
 p = 0.01147","m = 0.00100 
 p = 0.37843","m = 0.00005 
 p = 0.01510","m = 0.00021 
 p = 0.12604","m = 0.00004 
 p = 0.01167","m = 0.00005 
 p = 0.01204","m = 0.00030 
 p = 0.05397"
"NTRK1","m = 0.00024 
 p = 0.14158","m = 0.00027 
 p = 0.14682","m = 0.01640 
 p = 5.59415","m = 0.00022 
 p = 0.07756","m = 0.00043 
 p = 0.07722","m = 0.00372 
 p = 0.96756","m = 0.00201 
 p = 1.70293","m = 0.00200 
 p = 0.83056","m = 0.00486 
 p = 3.40318","m = 0.00056 
 p = 0.21973","m = 0.00092 
 p = 0.27285","m = 0.00396 
 p = 0.86346"
"RYR1","m = 0.00350 
 p = 1.57479","m = 0.00275 
 p = 1.29778","m = 0.00239 
 p = 0.89964","m = 0.00200 
 p = 0.62583","m = 0.00768 
 p = 2.23938","m = 0.00164 
 p = 0.40729","m = 0.00388 
 p = 2.45979","m = 0.00743 
 p = 2.15947","m = 0.00355 
 p = 2.00095","m = 0.03859 
 p = 12.41979","m = 0.00290 
 p = 0.83460","m = 0.01554 
 p = 3.39989"
"RYR2","m = 0.91960 
 p = 96.58034","m = 1.00000 
 p = 98.61046","m = 0.03343 
 p = 8.53283","m = 0.01116 
 p = 2.23414","m = 0.06346 
 p = 16.13900","m = 0.02760 
 p = 5.49176","m = 0.17204 
 p = 37.46452","m = 0.06245 
 p = 11.03896","m = 0.05696 
 p = 14.63684","m = 0.02717 
 p = 4.45494","m = 0.00847 
 p = 1.42444","m = 0.01981 
 p = 3.77766"
"FGFR4","m = 0.00014 
 p = 0.09584","m = 0.00006 
 p = 0.03251","m = 0.00306 
 p = 0.95397","m = 0.00014 
 p = 0.04563","m = 0.00076 
 p = 0.30888","m = 0.00156 
 p = 0.43884","m = 0.00002 
 p = 0.09461","m = 0.00062 
 p = 0.21142","m = 0.00047 
 p = 0.29935","m = 0.00007 
 p = 0.03500","m = 0.00016 
 p = 0.04815","m = 0.00044 
 p = 0.10793"
"GRIN2A","m = 0.03353 
 p = 15.88290","m = 0.02194 
 p = 10.30255","m = 0.00339 
 p = 1.24298","m = 0.00109 
 p = 0.37109","m = 0.00920 
 p = 1.77606","m = 0.00418 
 p = 1.14730","m = 0.06482 
 p = 20.15137","m = 0.01241 
 p = 3.74509","m = 0.00525 
 p = 2.86750","m = 0.00194 
 p = 0.75059","m = 0.00112 
 p = 0.34106","m = 0.00451 
 p = 0.97140"
"HRC","m = 0.02619 
 p = 13.20381","m = 0.03845 
 p = 17.94295","m = 0.00199 
 p = 0.90688","m = 0.00194 
 p = 0.78096","m = 0.00160 
 p = 0.61776","m = 0.02136 
 p = 6.41343","m = 0.00162 
 p = 2.08136","m = 0.00343 
 p = 1.60072","m = 0.00148 
 p = 1.15015","m = 0.00193 
 p = 0.91588","m = 0.00080 
 p = 0.28088","m = 0.00039 
 p = 0.10793"
"KDR","m = 0.00036 
 p = 0.20257","m = 0.00026 
 p = 0.12375","m = 0.00159 
 p = 0.69030","m = 0.10638 
 p = 28.45291","m = 0.09749 
 p = 29.57529","m = 0.00142 
 p = 0.46370","m = 0.07345 
 p = 25.63860","m = 0.00187 
 p = 0.72486","m = 0.00205 
 p = 1.51253","m = 0.00116 
 p = 0.45502","m = 0.00061 
 p = 0.18859","m = 0.00137 
 p = 0.26983"
"FGFR2","m = 0.01249 
 p = 6.36013","m = 0.00110 
 p = 0.50967","m = 0.00696 
 p = 2.30995","m = 0.00092 
 p = 0.33079","m = 0.00178 
 p = 0.61776","m = 0.00094 
 p = 0.25432","m = 0.02836 
 p = 10.78524","m = 0.00275 
 p = 1.28360","m = 0.01805 
 p = 8.53947","m = 0.00056 
 p = 0.20029","m = 0.00101 
 p = 0.25279","m = 0.00601 
 p = 1.24123"
"CAMK2A","m = 0.01222 
 p = 7.37078","m = 0.01039 
 p = 5.80253","m = 0.00122 
 p = 0.54326","m = 0.00020 
 p = 0.11711","m = 0.00000 
 p = 0.00000","m = 0.00034 
 p = 0.12812","m = 0.00418 
 p = 2.17597","m = 0.00247 
 p = 1.17789","m = 0.00103 
 p = 0.66173","m = 0.00058 
 p = 0.33252","m = 0.00028 
 p = 0.11235","m = 0.00213 
 p = 0.43173"
"TGFA","m = 0.00305 
 p = 1.84705","m = 0.00481 
 p = 2.54156","m = 0.00047 
 p = 0.24338","m = 0.00041 
 p = 0.15209","m = 0.00384 
 p = 1.54440","m = 0.00022 
 p = 0.06693","m = 0.00104 
 p = 1.04068","m = 0.00353 
 p = 1.05708","m = 0.00181 
 p = 1.16591","m = 0.00856 
 p = 3.19488","m = 0.00413 
 p = 1.07937","m = 0.01681 
 p = 3.61576"
"NOS2","m = 0.00012 
 p = 0.06752","m = 0.00013 
 p = 0.06240","m = 0.00026 
 p = 0.09779","m = 0.00077 
 p = 0.24106","m = 0.00127 
 p = 0.46332","m = 0.00014 
 p = 0.03824","m = 0.00040 
 p = 0.37843","m = 0.00015 
 p = 0.04530","m = 0.00030 
 p = 0.18907","m = 0.00016 
 p = 0.05250","m = 0.00011 
 p = 0.02809","m = 0.00000 
 p = 0.00000"
"CACNA1C","m = 0.65255 
 p = 93.00386","m = 0.70421 
 p = 96.78465","m = 0.09975 
 p = 24.20919","m = 0.03027 
 p = 6.54196","m = 0.03504 
 p = 10.03861","m = 0.37466 
 p = 63.73084","m = 0.08715 
 p = 23.27342","m = 0.06280 
 p = 12.88130","m = 0.05235 
 p = 16.81109","m = 0.01776 
 p = 3.28044","m = 0.00536 
 p = 1.05128","m = 0.02067 
 p = 4.15542"
"ORAI1","m = 0.00094 
 p = 0.53364","m = 0.00101 
 p = 0.53327","m = 0.00173 
 p = 0.75550","m = 0.02900 
 p = 10.38744","m = 0.00543 
 p = 2.39382","m = 0.00106 
 p = 0.37287","m = 0.00329 
 p = 2.64901","m = 0.00849 
 p = 2.56720","m = 0.00432 
 p = 2.55239","m = 0.01230 
 p = 5.09664","m = 0.03399 
 p = 10.00321","m = 0.00234 
 p = 0.53967"
