,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
NTRK1,0.8936392,1.7185112355679692e-06,2.008221010567101e-06,0.004683132418222383,8.525322067658714e-07,1.7086283077259321e-06,0.00018380003769842944,0.0001743449816302297,8.491419435190997e-05,0.0008445271046232648,6.267740285975979e-06,1.2818609566350263e-05,0.0001746466110927378
CACNA1S,0.4928378,5.486452212137979e-06,2.347297825739253e-06,2.6775519601548188e-06,4.078746509638516e-07,5.023204811406412e-06,1.8232764776599817e-06,1.1401858697085867e-06,6.857362433219381e-07,4.840000588766736e-06,7.355427709851979e-07,3.7202658763263116e-07,3.16750296405117e-06
RYR2,0.87253165,4.532720148221942,5.032631987149212,0.014559716639267115,0.0012726914192700061,0.05226760212058726,0.007735605669232688,0.3289494103943275,0.03518129885196686,0.042547113485593244,0.006176718803597772,0.0006158218139314832,0.003820203578414238
ADCY3,0.80447,4.890298809661356e-05,4.319641120641194e-05,0.0897668754494068,0.00029513032648786474,0.0005314230170949545,0.1689651212970085,0.03132833310648757,0.0075250442691959666,0.12287351508788166,0.0021150074940487324,0.0018339081683880962,0.0005570342990429543
CALM2,0.6037932,0.038310251138968535,0.01592277598383543,0.05633990847038164,0.5368281417398652,0.18210369923860412,0.15701569426329046,0.14661338087964307,0.14485533210094223,0.03814340590003233,0.3381204434550222,0.23660996221690528,0.001813251161279385
PPP3R1,0.67269605,0.03220470076237114,0.00894539680504429,0.0261506763497938,0.02153806092972438,0.03948081667358811,0.001958776715403733,0.015273179044786667,0.010426607904424122,0.06296630685247172,0.15503429476839192,0.024530859198757565,0.008461291459979588
TGFA,0.8275417,0.0002879741759283718,0.0006244140461549787,5.841465043354992e-06,3.1841193271958735e-06,0.00030265938361178957,7.667731629483527e-07,5.545480619118592e-05,0.00019063899415618018,0.00010773839380011627,0.0013960326859838407,0.0002276816460438567,0.0031027680095053983
PDGFRA,0.9581101,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
PPP3CA,0.5106406,0.057828676395240114,0.08347384928531836,0.40873416346135205,0.22652498414174607,0.646085077086931,0.033857981915758555,0.2572221488127081,0.17738471899605776,0.9041967838040033,0.4112309961381001,0.2303667772199874,0.758206108423162
