#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0.599	0.500	0	0.791
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	GNAL	9606.ENSP00000384484	9606.ENSP00000334051	0	0.129	0.700	0	0.727
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY8	CALM1	9606.ENSP00000286355	9606.ENSP00000499717	0	0	0.700	0	0.700
ADORA2A	NTRK2	9606.ENSP00000480012	9606.ENSP00000277120	0	0	0.700	0	0.700
ADORA2A	ADORA2B	9606.ENSP00000480012	9606.ENSP00000304501	0	0.322	0.900	0	0.929
ADORA2A	GNAS	9606.ENSP00000480012	9606.ENSP00000360141	0	0.913	0	0	0.913
ADORA2A	NTRK1	9606.ENSP00000480012	9606.ENSP00000431418	0	0	0.700	0	0.700
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0.483	0.900	0	0.946
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0.900	0	0.900
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0.292	0.900	0	0.926
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0.230	0.900	0	0.919
ADRB1	ADRB3	9606.ENSP00000358301	9606.ENSP00000343782	0	0	0.900	0	0.900
ADRB2	ADRB3	9606.ENSP00000305372	9606.ENSP00000343782	0	0	0.900	0	0.900
ASPH	CASQ2	9606.ENSP00000368767	9606.ENSP00000261448	0	0	0.900	0	0.900
ASPH	TRDN	9606.ENSP00000368767	9606.ENSP00000333984	0	0	0.800	0	0.800
ASPH	RYR1	9606.ENSP00000368767	9606.ENSP00000352608	0	0	0.800	0	0.800
ASPH	RYR2	9606.ENSP00000368767	9606.ENSP00000355533	0	0	0.800	0	0.800
ASPH	CASQ1	9606.ENSP00000368767	9606.ENSP00000357057	0	0	0.900	0	0.900
ASPH	RYR3	9606.ENSP00000368767	9606.ENSP00000489262	0	0	0.800	0	0.800
ATP2A1	HRC	9606.ENSP00000349595	9606.ENSP00000252825	0	0	0.900	0	0.900
