"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CACNA1D","m = 0.12029 
 p = 32.42360","m = 0.01598 
 p = 5.37780","m = 0.00869 
 p = 2.32371","m = 0.00278 
 p = 0.62963","m = 0.01670 
 p = 2.93436","m = 0.01019 
 p = 1.82708","m = 0.01325 
 p = 4.44655","m = 0.01567 
 p = 3.95651","m = 0.01344 
 p = 5.67197","m = 0.00829 
 p = 2.12927","m = 0.00295 
 p = 0.62595","m = 0.01586 
 p = 2.21263"
"ACTC1","m = 0.62092 
 p = 82.27440","m = 0.46842 
 p = 74.79629","m = 0.02740 
 p = 5.57821","m = 0.01820 
 p = 3.18239","m = 0.01836 
 p = 4.63320","m = 0.01531 
 p = 2.76405","m = 0.09098 
 p = 18.25922","m = 0.05368 
 p = 9.27212","m = 0.03341 
 p = 7.97227","m = 0.02887 
 p = 5.59056","m = 0.00930 
 p = 1.66118","m = 0.00688 
 p = 1.02536"
"CACNB2","m = 0.74284 
 p = 90.48376","m = 0.78282 
 p = 93.45865","m = 0.02842 
 p = 5.99978","m = 0.00797 
 p = 1.40299","m = 0.02575 
 p = 4.47876","m = 0.22032 
 p = 31.57764","m = 0.27124 
 p = 46.45222","m = 0.05503 
 p = 8.77378","m = 0.05716 
 p = 15.33008","m = 0.01426 
 p = 2.32567","m = 0.00614 
 p = 0.97103","m = 0.02743 
 p = 3.77766"
"CACNA1C","m = 0.92664 
 p = 93.00386","m = 1.00000 
 p = 96.78465","m = 0.14165 
 p = 24.20919","m = 0.04298 
 p = 6.54196","m = 0.04976 
 p = 10.03861","m = 0.53202 
 p = 63.73084","m = 0.12375 
 p = 23.27342","m = 0.08918 
 p = 12.88130","m = 0.07433 
 p = 16.81109","m = 0.02522 
 p = 3.28044","m = 0.00761 
 p = 1.05128","m = 0.02936 
 p = 4.15542"
"COX6A1","m = 0.01206 
 p = 5.15563","m = 0.00689 
 p = 2.95685","m = 0.03181 
 p = 8.08011","m = 0.20403 
 p = 37.31949","m = 0.13205 
 p = 27.02703","m = 0.11459 
 p = 18.43909","m = 0.10254 
 p = 22.32734","m = 0.04372 
 p = 8.53217","m = 0.03330 
 p = 11.23365","m = 0.10758 
 p = 22.35056","m = 0.15596 
 p = 27.62218","m = 0.00435 
 p = 0.80950"
"COX6C","m = 0.09524 
 p = 28.22417","m = 0.07488 
 p = 22.33024","m = 0.05280 
 p = 12.19297","m = 0.26004 
 p = 44.60287","m = 0.14725 
 p = 28.33977","m = 0.11467 
 p = 18.73452","m = 0.13751 
 p = 30.46358","m = 0.04995 
 p = 10.45002","m = 0.04668 
 p = 16.22814","m = 0.12703 
 p = 25.93630","m = 0.16747 
 p = 29.21916","m = 0.00570 
 p = 0.91743"
"CACNG1","m = 0.00034 
 p = 0.15465","m = 0.00057 
 p = 0.19873","m = 0.00018 
 p = 0.05215","m = 0.00006 
 p = 0.01065","m = 0.00059 
 p = 0.07722","m = 0.00021 
 p = 0.04111","m = 0.00046 
 p = 0.18921","m = 0.00019 
 p = 0.04530","m = 0.00068 
 p = 0.22058","m = 0.00011 
 p = 0.03695","m = 0.00027 
 p = 0.05618","m = 0.00081 
 p = 0.10793"
"COX5A","m = 0.11889 
 p = 34.00057","m = 0.14715 
 p = 40.43889","m = 0.02663 
 p = 6.94940","m = 0.09003 
 p = 20.34828","m = 0.07429 
 p = 19.22780","m = 0.04624 
 p = 9.83622","m = 0.07258 
 p = 22.61116","m = 0.03479 
 p = 7.77711","m = 0.06143 
 p = 21.77407","m = 0.07951 
 p = 19.16540","m = 0.07199 
 p = 14.70187","m = 0.00608 
 p = 0.97140"
"UQCRQ","m = 0.06958 
 p = 20.95358","m = 0.07153 
 p = 21.69367","m = 0.03371 
 p = 8.23005","m = 0.16208 
 p = 30.84674","m = 0.09529 
 p = 21.69884","m = 0.07913 
 p = 14.39771","m = 0.13659 
 p = 30.36897","m = 0.04071 
 p = 8.38115","m = 0.04804 
 p = 17.44131","m = 0.10248 
 p = 21.01855","m = 0.10833 
 p = 20.25921","m = 0.00249 
 p = 0.43173"
"COX8A","m = 0.04121 
 p = 13.21688","m = 0.02566 
 p = 8.40386","m = 0.02515 
 p = 6.55391","m = 0.13271 
 p = 27.71073","m = 0.09134 
 p = 21.85328","m = 0.08832 
 p = 15.75536","m = 0.06801 
 p = 17.97540","m = 0.03623 
 p = 7.65630","m = 0.02265 
 p = 8.14558","m = 0.11737 
 p = 24.19204","m = 0.12789 
 p = 23.40101","m = 0.00295 
 p = 0.48570"
