,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
COX7A2L,0.55117893,0.02121623647602202,0.011612803589178178,0.00930398127633406,0.08237334432508922,0.05521269723715468,0.01900941860727328,0.049816187770725315,0.007197930513282299,0.017947423255253874,0.025932961206394805,0.037785230496991416,0.001112517960574649
COX5B,0.53395265,0.15809928853391694,0.13350733013409607,0.01788859241775798,0.32418609750546873,0.11730137824091673,0.1277768577983466,0.26283682441530976,0.02981635413296595,0.04919404471805194,0.11841633310362222,0.10765757958269667,0.00012552861226808041
CACNA1D,0.9064421,0.14017677006970036,0.0030891128625500203,0.0007255607041647388,6.283473542564148e-05,0.0017607280186244419,0.0006692220808251147,0.0021176226084651875,0.002228799721322294,0.002739494271741921,0.0006346138520834535,6.628662482921675e-05,0.0012611824791944806
COX7C,0.525261,0.16232964038155603,0.1355379914185415,0.029614012612707952,0.29139943253581074,0.16361938885280064,0.08435906140535515,0.3835397908568044,0.027277810381496466,0.038608317987851616,0.15761679168232068,0.2770999605430281,0.0001733927312520666
UQCRQ,0.5580789,0.052401357878919114,0.05576719705537559,0.009971289116329184,0.17968296597681183,0.07431011982405968,0.04094372558924048,0.14908108972330192,0.012261118605953443,0.030114332465500424,0.07741445316002425,0.07887765879032556,3.870536009813732e-05
COX7B,0.46695718,0.13568836549374752,0.12154745985781426,0.00722680780616338,0.16749009499463385,0.05097253621775211,0.07695273515605819,0.15402235455860364,0.010627355632447866,0.021985699266678933,0.092751935583376,0.09254353738416592,6.1318021985369e-05
UQCRB,0.45074466,0.20508537445987327,0.10611908279176115,0.014243627925183529,0.24531514758569858,0.14032756389338077,0.057716818426071896,0.2191996700716335,0.0190415938849789,0.014169511906608966,0.17435885610869,0.2166890764220187,0.00013406109316118717
COX6C,0.6436945,0.09661048509879824,0.060098463435970896,0.023137827529784955,0.41685254247663306,0.14997713331089976,0.0772097867185274,0.15055735498074665,0.018761207423012845,0.027225487120831053,0.11841369411684143,0.17586145087886457,0.00018810222796890715
COX8A,0.5569377,0.019574152665382216,0.007751097886149544,0.005923731069477435,0.13216615859140782,0.07173833890771314,0.05001001486002732,0.04393530489705933,0.00997036759387471,0.0066296905408285735,0.10204742701443612,0.10756141804030137,5.146201762294872e-05
CACNB2,0.830851,2.415693666879349,2.6294054763705037,0.006128921554143942,0.0004020987629458721,0.0041441142213850864,0.2500350090579148,0.4528282015190558,0.017351568123250883,0.031490320804946646,0.001191680075448837,0.00021424103190739898,0.0037242316566025706
CACNA1C,0.8143184,3.097327435238116,3.4784236912984636,0.12324408067701381,0.010106419749502165,0.017951438785980104,1.2185832795861287,0.10350920388240688,0.041285044457105236,0.04491185139948615,0.0029737776734202327,0.00028742447880515795,0.00438425420138621
COX6A1,0.66811234,0.0022350402487606737,0.0007325103382601617,0.009236912066558457,0.27365700632513923,0.12827026682931025,0.07593869970518019,0.08228424380382729,0.013407462821360336,0.013445422120247933,0.0864182804575954,0.15482618536863824,0.00012655653003191086
ACTC1,0.8871452,1.8360102545633175,1.25919625285438,0.005492334762446274,0.0020819738595654566,0.0030572605409217154,0.0015207698918407392,0.05970304178086338,0.017889552729722417,0.00957157050922797,0.005800937012035575,0.0005549412639553786,0.00025369555031487696
COX5A,0.57836956,0.14527922373959845,0.21386281725031522,0.00665124695321607,0.06583692209085426,0.05133906432560512,0.016346029144646283,0.0589842488716093,0.009724935232620878,0.04807586312688428,0.054769593730151056,0.03803827842771792,0.00021228638537433168
COX4I1,0.45511702,0.2316454956504573,0.19713560277155143,0.02565255127084894,0.380398061075055,0.20254923965940141,0.08903915426463566,0.38284137283954967,0.034615474456892524,0.048581468823276505,0.23772326529394605,0.32824290155092084,0.000510787672759775
CACNG1,0.5892672,1.909292406846352e-06,4.049483600004342e-06,3.284897936827754e-07,2.3561400603529196e-08,1.6455094484633922e-06,3.167991983747339e-07,3.1070322037983752e-06,3.0301805121227264e-07,5.382647418273383e-06,1.452047527023652e-07,5.475468166386557e-07,3.1399761748294606e-06
COX6B1,0.4626746,0.07957669182693672,0.08174884749752157,0.012847580526144587,0.1862708843405684,0.08196306757945351,0.06590124976852327,0.18825509712847208,0.018247103275254715,0.016499435749507727,0.13677162380423052,0.1491015065626122,0.00012972165970659487
MT-CO1,0.4182596,0.4321446765450895,0.18980342706119527,1.252579608690967,1.6648288856363627,1.7419683714170713,0.6911224612061988,1.7833668696169824,1.0266466551372848,0.824459897940302,2.396812116135907,2.445951306124425,0.2980888605246464
MT-CO2,0.41772825,0.18439022349287207,0.08482940566601649,0.9562802577605047,1.5459246900243806,1.6698548760653462,0.5049014121489772,1.2041451548672895,0.7629318378260401,0.6988830690743022,1.93808193691821,1.847936590576371,0.20810767347209205
