#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTC1	MYL2	9606.ENSP00000290378	9606.ENSP00000228841	0	0	0.900	0	0.900
ACTC1	MYL4	9606.ENSP00000290378	9606.ENSP00000347055	0	0.052	0.900	0	0.901
ACTC1	MYL3	9606.ENSP00000290378	9606.ENSP00000499406	0	0.052	0.900	0	0.901
ACTC1	TNNT2	9606.ENSP00000290378	9606.ENSP00000499593	0	0.900	0	0	0.900
ACTC1	TPM2	9606.ENSP00000290378	9606.ENSP00000496494	0	0.081	0.900	0	0.904
ACTC1	TPM4	9606.ENSP00000290378	9606.ENSP00000494125	0	0.081	0.900	0	0.904
ACTC1	MYH6	9606.ENSP00000290378	9606.ENSP00000386041	0	0.123	0.900	0	0.908
ACTC1	TNNI3	9606.ENSP00000290378	9606.ENSP00000341838	0	0	0.900	0	0.900
ACTC1	TPM3	9606.ENSP00000290378	9606.ENSP00000498577	0	0.904	0.900	0	0.990
ACTC1	MYH7	9606.ENSP00000290378	9606.ENSP00000347507	0	0.908	0.900	0	0.990
ACTC1	TPM1	9606.ENSP00000290378	9606.ENSP00000351022	0	0.944	0.900	0	0.994
ASPH	CASQ2	9606.ENSP00000368767	9606.ENSP00000261448	0	0	0.900	0	0.900
ASPH	TRDN	9606.ENSP00000368767	9606.ENSP00000333984	0	0	0.800	0	0.800
ASPH	RYR2	9606.ENSP00000368767	9606.ENSP00000355533	0	0	0.800	0	0.800
ATP1A1	ATP1B4	9606.ENSP00000445306	9606.ENSP00000218008	0	0.185	0.900	0	0.915
ATP1A1	ATP1B2	9606.ENSP00000445306	9606.ENSP00000250111	0	0.337	0.900	0	0.930
ATP1A1	SLC9A1	9606.ENSP00000445306	9606.ENSP00000263980	0	0	0.720	0	0.720
ATP1A1	ATP1B3	9606.ENSP00000445306	9606.ENSP00000286371	0	0.663	0.900	0	0.964
ATP1A1	FXYD2	9606.ENSP00000445306	9606.ENSP00000292079	0	0.376	0.900	0	0.934
ATP1A1	ATP1A2	9606.ENSP00000445306	9606.ENSP00000354490	0	0	0.900	0	0.900
ATP1A1	ATP1B1	9606.ENSP00000445306	9606.ENSP00000356790	0	0.732	0.900	0	0.972
ATP1A1	ATP1A4	9606.ENSP00000445306	9606.ENSP00000357060	0	0	0.900	0	0.900
ATP1A1	ATP2A2	9606.ENSP00000445306	9606.ENSP00000440045	0	0	0.720	0	0.720
ATP1A1	ATP1A3	9606.ENSP00000445306	9606.ENSP00000444688	0	0.138	0.900	0	0.910
ATP1A2	ATP1B4	9606.ENSP00000354490	9606.ENSP00000218008	0	0.185	0.900	0	0.915
ATP1A2	ATP1B2	9606.ENSP00000354490	9606.ENSP00000250111	0	0.185	0.900	0	0.915
ATP1A2	SLC9A1	9606.ENSP00000354490	9606.ENSP00000263980	0	0	0.720	0	0.720
ATP1A2	ATP1B3	9606.ENSP00000354490	9606.ENSP00000286371	0	0.185	0.900	0	0.915
ATP1A2	FXYD2	9606.ENSP00000354490	9606.ENSP00000292079	0	0.376	0.900	0	0.934
ATP1A2	ATP2A2	9606.ENSP00000354490	9606.ENSP00000440045	0	0	0.720	0	0.720
ATP1A2	ATP1A4	9606.ENSP00000354490	9606.ENSP00000357060	0	0	0.900	0	0.900
ATP1A2	ATP1B1	9606.ENSP00000354490	9606.ENSP00000356790	0	0.375	0.900	0	0.934
ATP1A2	ATP1A3	9606.ENSP00000354490	9606.ENSP00000444688	0	0.131	0.900	0	0.909
ATP1A3	ATP1B4	9606.ENSP00000444688	9606.ENSP00000218008	0	0.405	0.900	0	0.937
ATP1A3	ATP1B2	9606.ENSP00000444688	9606.ENSP00000250111	0	0.288	0.900	0	0.925
ATP1A3	SLC9A1	9606.ENSP00000444688	9606.ENSP00000263980	0	0	0.720	0	0.720
ATP1A3	ATP1B3	9606.ENSP00000444688	9606.ENSP00000286371	0	0.353	0.900	0	0.932
ATP1A3	FXYD2	9606.ENSP00000444688	9606.ENSP00000292079	0	0.376	0.900	0	0.934
ATP1A3	ATP1B1	9606.ENSP00000444688	9606.ENSP00000356790	0	0.485	0.900	0	0.946
ATP1A3	ATP1A4	9606.ENSP00000444688	9606.ENSP00000357060	0	0	0.900	0	0.900
ATP1A3	ATP2A2	9606.ENSP00000444688	9606.ENSP00000440045	0	0	0.720	0	0.720
ATP1A4	ATP1B4	9606.ENSP00000357060	9606.ENSP00000218008	0	0.411	0.900	0	0.938
ATP1A4	ATP1B2	9606.ENSP00000357060	9606.ENSP00000250111	0	0.185	0.900	0	0.915
ATP1A4	ATP1B3	9606.ENSP00000357060	9606.ENSP00000286371	0	0.185	0.900	0	0.915
ATP1A4	FXYD2	9606.ENSP00000357060	9606.ENSP00000292079	0	0.376	0.900	0	0.934
ATP1A4	ATP1B1	9606.ENSP00000357060	9606.ENSP00000356790	0	0.375	0.900	0	0.934
ATP1B1	ATP1B4	9606.ENSP00000356790	9606.ENSP00000218008	0	0	0.900	0	0.900
ATP1B1	ATP1B2	9606.ENSP00000356790	9606.ENSP00000250111	0	0	0.900	0	0.900
ATP1B1	SLC9A1	9606.ENSP00000356790	9606.ENSP00000263980	0	0	0.720	0	0.720
ATP1B1	ATP1B3	9606.ENSP00000356790	9606.ENSP00000286371	0	0	0.900	0	0.900
ATP1B1	FXYD2	9606.ENSP00000356790	9606.ENSP00000292079	0	0.749	0.900	0	0.973
ATP1B1	ATP2A2	9606.ENSP00000356790	9606.ENSP00000440045	0	0.255	0.720	0	0.782
ATP1B2	ATP1B4	9606.ENSP00000250111	9606.ENSP00000218008	0	0	0.900	0	0.900
ATP1B2	SLC9A1	9606.ENSP00000250111	9606.ENSP00000263980	0	0	0.720	0	0.720
ATP1B2	ATP2A2	9606.ENSP00000250111	9606.ENSP00000440045	0	0.084	0.720	0	0.732
ATP1B2	ATP1B3	9606.ENSP00000250111	9606.ENSP00000286371	0	0	0.900	0	0.900
ATP1B2	FXYD2	9606.ENSP00000250111	9606.ENSP00000292079	0	0.358	0.900	0	0.933
ATP1B3	ATP1B4	9606.ENSP00000286371	9606.ENSP00000218008	0	0	0.900	0	0.900
ATP1B3	SLC9A1	9606.ENSP00000286371	9606.ENSP00000263980	0	0	0.720	0	0.720
