"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CCL21","m = 0.00033 
 p = 0.06970","m = 0.00020 
 p = 0.04929","m = 0.00273 
 p = 0.48604","m = 0.00255 
 p = 0.46614","m = 1.00000 
 p = 72.12355","m = 0.00712 
 p = 0.90637","m = 0.00515 
 p = 0.85147","m = 0.00086 
 p = 0.15101","m = 0.00267 
 p = 0.55144","m = 0.00104 
 p = 0.17501","m = 0.00114 
 p = 0.16050","m = 0.00049 
 p = 0.05397"
"XCL2","m = 0.00003 
 p = 0.00871","m = 0.00007 
 p = 0.01783","m = 0.00006 
 p = 0.01449","m = 0.00006 
 p = 0.01293","m = 0.00000 
 p = 0.00000","m = 0.00006 
 p = 0.01052","m = 0.00017 
 p = 0.09461","m = 0.00007 
 p = 0.01510","m = 0.00025 
 p = 0.07878","m = 0.00371 
 p = 0.80504","m = 0.07832 
 p = 10.37236","m = 0.00033 
 p = 0.05397"
"CCL5","m = 0.00285 
 p = 1.06293","m = 0.00095 
 p = 0.27843","m = 0.00159 
 p = 0.36362","m = 0.00119 
 p = 0.22661","m = 0.00321 
 p = 0.54054","m = 0.00061 
 p = 0.09752","m = 0.00237 
 p = 1.04068","m = 0.00334 
 p = 0.57384","m = 0.00323 
 p = 0.99259","m = 0.02521 
 p = 3.87742","m = 0.45567 
 p = 44.49081","m = 0.00307 
 p = 0.43173"
"CCR1","m = 0.00013 
 p = 0.04138","m = 0.00008 
 p = 0.02674","m = 0.00104 
 p = 0.36652","m = 0.00028 
 p = 0.05475","m = 0.00389 
 p = 1.08108","m = 0.00008 
 p = 0.01530","m = 0.00155 
 p = 0.94607","m = 0.00057 
 p = 0.10571","m = 0.00108 
 p = 0.36238","m = 0.09458 
 p = 19.21596","m = 0.00693 
 p = 1.21178","m = 0.00273 
 p = 0.32380"
"CCL11","m = 0.00011 
 p = 0.03049","m = 0.00038 
 p = 0.11955","m = 0.03576 
 p = 4.79229","m = 0.00016 
 p = 0.03346","m = 0.00280 
 p = 0.46332","m = 0.00101 
 p = 0.14819","m = 0.00262 
 p = 0.66225","m = 0.00250 
 p = 0.37753","m = 0.00170 
 p = 0.44115","m = 0.00047 
 p = 0.11862","m = 0.00010 
 p = 0.01605","m = 0.00000 
 p = 0.00000"
"CCL13","m = 0.00012 
 p = 0.02832","m = 0.00010 
 p = 0.02517","m = 0.00207 
 p = 0.36435","m = 0.00014 
 p = 0.02661","m = 0.00170 
 p = 0.30888","m = 0.00047 
 p = 0.08414","m = 0.00039 
 p = 0.18921","m = 0.00065 
 p = 0.10571","m = 0.00043 
 p = 0.09453","m = 0.01827 
 p = 3.15210","m = 0.00022 
 p = 0.04013","m = 0.00000 
 p = 0.00000"
"RAC2","m = 0.00016 
 p = 0.05445","m = 0.00022 
 p = 0.05506","m = 0.00038 
 p = 0.15646","m = 0.00076 
 p = 0.16653","m = 0.00250 
 p = 0.38610","m = 0.00030 
 p = 0.04780","m = 0.00314 
 p = 1.98675","m = 0.00131 
 p = 0.27182","m = 0.00114 
 p = 0.40964","m = 0.05997 
 p = 11.96671","m = 0.23402 
 p = 31.51834","m = 0.05884 
 p = 7.50135"
"CCR5","m = 0.00003 
 p = 0.01089","m = 0.00005 
 p = 0.00839","m = 0.00012 
 p = 0.05143","m = 0.00007 
 p = 0.01369","m = 0.00000 
 p = 0.00000","m = 0.00004 
 p = 0.00669","m = 0.00067 
 p = 0.37843","m = 0.00015 
 p = 0.03020","m = 0.00016 
 p = 0.07878","m = 0.00893 
 p = 2.24206","m = 0.01553 
 p = 2.52789","m = 0.00033 
 p = 0.05397"
"CXCL2","m = 0.00167 
 p = 0.50968","m = 0.00084 
 p = 0.15836","m = 0.03875 
 p = 5.67672","m = 0.50082 
 p = 48.19208","m = 0.07001 
 p = 10.88803","m = 0.01737 
 p = 2.59482","m = 0.10027 
 p = 15.98865","m = 0.00706 
 p = 1.20809","m = 0.01424 
 p = 3.60800","m = 0.12707 
 p = 18.87956","m = 0.01162 
 p = 1.90996","m = 0.00188 
 p = 0.26983"
"CCL8","m = 0.00013 
 p = 0.04138","m = 0.00008 
 p = 0.01888","m = 0.00128 
 p = 0.29336","m = 0.00908 
 p = 1.30870","m = 0.00069 
 p = 0.07722","m = 0.00892 
 p = 1.26299","m = 0.00045 
 p = 0.56764","m = 0.00048 
 p = 0.09061","m = 0.00072 
 p = 0.25209","m = 0.02845 
 p = 4.49578","m = 0.00074 
 p = 0.11235","m = 0.00000 
 p = 0.00000"
