,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
GNB1,0.43074006,0.10201903047590935,0.09065305024071349,0.18730819782004113,0.27460342706154023,0.48331527709960936,0.12952998594211368,0.1562025783867236,0.11371177217096981,0.356909857014887,0.5114424747858907,0.12834621928455875,0.11188107712874847
CDC42,0.5190489,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
XCL2,0.9944189,7.512423780210351e-09,3.702012346457286e-08,2.4456691533464182e-08,2.4524203804823526e-08,0.0,1.8736883712375577e-08,4.583419630587693e-07,3.232096400780238e-08,5.681544591615346e-07,8.721581973477097e-05,0.023717425662559907,5.147909718936061e-07
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
CXCR2,0.8981213,8.034859185224161e-07,9.093578907260062e-07,3.0588308753810903e-07,6.888752667160617e-08,2.311681573455398e-05,1.1959619216035593e-07,1.8522671142781582e-06,1.8224300019503792e-06,4.465339436237316e-06,3.132659395570558e-05,0.00036275371264592475,7.324778418073253e-06
CCL20,0.9104111,1.1012395115212253e-06,1.050174340144152e-06,0.0004484011672477937,2.0500670451795387e-06,0.0,9.027546978483611e-07,0.0008185800982598663,7.610479907006952e-07,0.0001981884079109464,0.004371284714863774,4.764765455581032e-05,4.678009607147122e-07
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
CCR3,0.80682635,4.459758258344836e-06,2.126483692347638e-06,3.656078626716661e-06,2.2664423536584775e-07,1.3660761063853746e-05,6.786622699696068e-07,2.7555181220166785e-06,3.262892824225522e-06,0.00029492403385121557,3.668440446860001e-05,1.2244870801751567e-05,1.1696190212909042e-05
CCR1,0.9823568,1.6052174296692827e-07,6.188272959264826e-08,1.1174175686593776e-05,4.435947212271942e-07,0.00012281301456528742,3.354728440795476e-08,4.268447844736285e-05,1.7667503044970066e-06,1.1405284830964944e-05,0.053059828158312845,0.00024516113346384136,2.5804618477049352e-05
CCR2,0.92421156,3.5840098419668145e-08,1.2435473300642894e-08,7.288697905297998e-08,4.285280927896731e-08,1.5993487506989806e-06,9.068972336693649e-09,2.2586998763223698e-06,4.451933219281794e-07,2.8534487082941506e-06,0.000514101518487349,0.0007727432189750381,0.0
CCR5,0.9381849,9.245285535111672e-09,1.1534446690339582e-08,1.8203288859714292e-07,2.937939363685059e-08,0.0,8.0809918586411e-09,7.384113946272273e-06,1.3539958078604347e-07,3.601478880316216e-07,0.0005848036275401683,0.0011457730691239324,5.223157806085755e-07
RHOA,0.5744079,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
CXCL8,0.83248425,2.865856389842975e-05,3.089670126393432e-06,0.01285879955249955,0.008235827139006708,0.0010759163547206568,0.00042534325519276255,0.06378917972660335,0.00018943810728031213,0.0010753154891981972,0.08095747981928508,0.00028561652884582064,3.297654665600462e-06
PF4,0.8778372,2.551578540680426e-09,2.1430735311584076e-09,3.543409408996343e-09,3.138284800664621e-06,0.0,2.9677647953464092e-08,0.0,0.0,1.4100110014744735e-08,1.879296902487754e-07,5.446198789063378e-08,8.706480774302709e-07
PPBP,0.86104876,0.0,7.226546113322895e-09,2.0399687557811884e-09,9.324062104451965e-07,0.0,2.0539985284426943e-08,0.0,1.3464744322618503e-07,0.0,3.359123975127195e-07,3.62642649458027e-08,1.0650989202972496e-06
CXCL2,0.9290664,2.4892582282680706e-05,3.884338782723733e-06,0.006421557582278274,0.7046256078830179,0.02225356655461448,0.0013161456043950723,0.04680280963993343,0.00024897434836750266,0.0014995875070935368,0.07003847781619618,0.0006478081214639369,1.4820964670203794e-05
CXCL11,0.786913,4.273734733863823e-06,2.1843673718194554e-06,1.1044002874170803e-06,3.011182689508337e-05,1.152331174915822e-06,1.105720208511136e-06,8.27943290739744e-07,3.48568385060763e-07,1.1955098787092855e-05,7.541270658965811e-06,2.9629564376355255e-07,6.586661425615669e-07
CCL28,0.7205015,2.0347490008640574e-05,1.3846266624749654e-05,0.0003264818827198224,3.960833506134815e-05,0.005919118495981666,4.263746136705764e-06,0.000460127911326901,0.0017044751468074893,0.002330266846053635,2.9073218927201733e-05,0.0007874754078649763,0.0027316718151681307
PIK3R1,0.46614665,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
RAC1,0.68541086,0.02969000503725597,0.02921826995264208,0.0960699204641105,0.7956355194225815,0.29931239179662755,0.12898443173593083,0.23719775490639,0.09982321144266455,0.0905370282266616,0.3879713352792939,0.0683292451354763,0.014449721918965569
GNAI1,0.7108908,0.0051313624195250635,0.0011785233860071563,0.0026337307869237427,0.03486057361864435,0.02108896756724501,0.028199552818375585,0.02841710409919609,0.0038437048849185333,0.15864641769337653,0.00048171279505193664,6.26189026127475e-05,0.04123996374289281
