#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0.900	0	0.900
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ARRB1	GRK7	9606.ENSP00000409581	9606.ENSP00000264952	0	0	0.800	0	0.800
ARRB1	CCR5	9606.ENSP00000409581	9606.ENSP00000292303	0	0.292	0.650	0	0.741
ARRB1	GRK2	9606.ENSP00000409581	9606.ENSP00000312262	0	0.457	0.800	0	0.886
ARRB1	GRK3	9606.ENSP00000409581	9606.ENSP00000317578	0	0	0.800	0	0.800
ARRB1	CXCR2	9606.ENSP00000409581	9606.ENSP00000319635	0	0.292	0.650	0	0.741
ARRB1	GRK1	9606.ENSP00000409581	9606.ENSP00000334876	0	0	0.800	0	0.800
ARRB1	GRK6	9606.ENSP00000409581	9606.ENSP00000347655	0	0	0.800	0	0.800
ARRB1	GRK5	9606.ENSP00000409581	9606.ENSP00000376609	0	0.292	0.800	0	0.852
ARRB1	GRK4	9606.ENSP00000409581	9606.ENSP00000381129	0	0	0.800	0	0.800
ARRB1	ARRB2	9606.ENSP00000409581	9606.ENSP00000403701	0	0.544	0.900	0	0.952
ARRB2	MAPK1	9606.ENSP00000403701	9606.ENSP00000215832	0	0.542	0.500	0	0.761
ARRB2	MAPK3	9606.ENSP00000403701	9606.ENSP00000263025	0	0.657	0.500	0	0.821
ARRB2	GRK7	9606.ENSP00000403701	9606.ENSP00000264952	0	0	0.800	0	0.800
ARRB2	GRK2	9606.ENSP00000403701	9606.ENSP00000312262	0	0.457	0.800	0	0.886
ARRB2	GRK3	9606.ENSP00000403701	9606.ENSP00000317578	0	0	0.800	0	0.800
ARRB2	GRK1	9606.ENSP00000403701	9606.ENSP00000334876	0	0	0.800	0	0.800
ARRB2	GRK6	9606.ENSP00000403701	9606.ENSP00000347655	0	0	0.800	0	0.800
ARRB2	GRK5	9606.ENSP00000403701	9606.ENSP00000376609	0	0	0.800	0	0.800
ARRB2	GRK4	9606.ENSP00000403701	9606.ENSP00000381129	0	0	0.800	0	0.800
