"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CCL21","m = 0.00033 
 p = 0.06970","m = 0.00020 
 p = 0.04929","m = 0.00273 
 p = 0.48604","m = 0.00255 
 p = 0.46614","m = 1.00000 
 p = 72.12355","m = 0.00712 
 p = 0.90637","m = 0.00515 
 p = 0.85147","m = 0.00086 
 p = 0.15101","m = 0.00267 
 p = 0.55144","m = 0.00104 
 p = 0.17501","m = 0.00114 
 p = 0.16050","m = 0.00049 
 p = 0.05397"
"XCL2","m = 0.00003 
 p = 0.00871","m = 0.00007 
 p = 0.01783","m = 0.00006 
 p = 0.01449","m = 0.00006 
 p = 0.01293","m = 0.00000 
 p = 0.00000","m = 0.00006 
 p = 0.01052","m = 0.00017 
 p = 0.09461","m = 0.00007 
 p = 0.01510","m = 0.00025 
 p = 0.07878","m = 0.00371 
 p = 0.80504","m = 0.07832 
 p = 10.37236","m = 0.00033 
 p = 0.05397"
"LEP","m = 0.00042 
 p = 0.10673","m = 0.00040 
 p = 0.10749","m = 0.00080 
 p = 0.18978","m = 0.00019 
 p = 0.03422","m = 0.00253 
 p = 0.38610","m = 0.00023 
 p = 0.03346","m = 0.00091 
 p = 0.47304","m = 0.00119 
 p = 0.22652","m = 0.10785 
 p = 23.49141","m = 0.00038 
 p = 0.07389","m = 0.00028 
 p = 0.04414","m = 0.00045 
 p = 0.05397"
"CXCR3","m = 0.00007 
 p = 0.02178","m = 0.00005 
 p = 0.01363","m = 0.00007 
 p = 0.02245","m = 0.00004 
 p = 0.00913","m = 0.00000 
 p = 0.00000","m = 0.00001 
 p = 0.00191","m = 0.00000 
 p = 0.00000","m = 0.00007 
 p = 0.01510","m = 0.00052 
 p = 0.22058","m = 0.00094 
 p = 0.25473","m = 0.02016 
 p = 3.36650","m = 0.00000 
 p = 0.00000"
"XCL1","m = 0.00017 
 p = 0.06099","m = 0.00033 
 p = 0.10487","m = 0.00011 
 p = 0.03477","m = 0.00010 
 p = 0.02053","m = 0.00000 
 p = 0.00000","m = 0.00007 
 p = 0.00956","m = 0.00035 
 p = 0.37843","m = 0.00030 
 p = 0.04530","m = 0.00036 
 p = 0.14180","m = 0.00243 
 p = 0.53086","m = 0.04730 
 p = 6.38392","m = 0.00061 
 p = 0.10793"
"CCL5","m = 0.00285 
 p = 1.06293","m = 0.00095 
 p = 0.27843","m = 0.00159 
 p = 0.36362","m = 0.00119 
 p = 0.22661","m = 0.00321 
 p = 0.54054","m = 0.00061 
 p = 0.09752","m = 0.00237 
 p = 1.04068","m = 0.00334 
 p = 0.57384","m = 0.00323 
 p = 0.99259","m = 0.02521 
 p = 3.87742","m = 0.45567 
 p = 44.49081","m = 0.00307 
 p = 0.43173"
"CXCL6","m = 0.00007 
 p = 0.01525","m = 0.00005 
 p = 0.01416","m = 0.00701 
 p = 1.19083","m = 0.00008 
 p = 0.01445","m = 0.00077 
 p = 0.15444","m = 0.00022 
 p = 0.03824","m = 0.06105 
 p = 14.19111","m = 0.00019 
 p = 0.04530","m = 0.00062 
 p = 0.18907","m = 0.00036 
 p = 0.07389","m = 0.00009 
 p = 0.02408","m = 0.00000 
 p = 0.00000"
"IL2RG","m = 0.00004 
 p = 0.02396","m = 0.00010 
 p = 0.02045","m = 0.00016 
 p = 0.08765","m = 0.00261 
 p = 0.54599","m = 0.00376 
 p = 0.84942","m = 0.00013 
 p = 0.02295","m = 0.00037 
 p = 0.47304","m = 0.00072 
 p = 0.13591","m = 0.00116 
 p = 0.36238","m = 0.02475 
 p = 5.23860","m = 0.21009 
 p = 29.39170","m = 0.00490 
 p = 0.59363"
"CCR1","m = 0.00013 
 p = 0.04138","m = 0.00008 
 p = 0.02674","m = 0.00104 
 p = 0.36652","m = 0.00028 
 p = 0.05475","m = 0.00389 
 p = 1.08108","m = 0.00008 
 p = 0.01530","m = 0.00155 
 p = 0.94607","m = 0.00057 
 p = 0.10571","m = 0.00108 
 p = 0.36238","m = 0.09458 
 p = 19.21596","m = 0.00693 
 p = 1.21178","m = 0.00273 
 p = 0.32380"
"CCR4","m = 0.00019 
 p = 0.05881","m = 0.00013 
 p = 0.03723","m = 0.00019 
 p = 0.05433","m = 0.00011 
 p = 0.02433","m = 0.00012 
 p = 0.07722","m = 0.00008 
 p = 0.01434","m = 0.00017 
 p = 0.28382","m = 0.00035 
 p = 0.06040","m = 0.00047 
 p = 0.14180","m = 0.00042 
 p = 0.11473","m = 0.01021 
 p = 1.61705","m = 0.00043 
 p = 0.05397"
