name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
CCL5,0.1916107341381286,0.9836309523809524,1.0,0.5520833333333334,1.0,0.2336065573770492
CCL11,0.1255478043849573,0.9771825396825397,0.7741935483870968,0.5833333333333334,0.6738868832731648,0.2762962962962963
CCL21,0.1045552159918275,0.9737103174603174,0.6451612903225806,0.626984126984127,0.4741275571600481,0.3076923076923077
PF4,0.0431499477390938,0.9771825396825397,0.7419354838709677,0.6545138888888888,0.2990373044524669,0.2931286549707602
CXCL12,0.0616164134871292,0.9751984126984128,0.6774193548387096,0.6609848484848485,0.32190132370637786,0.3066115702479339
CCL13,0.0396474851144345,0.9756944444444444,0.6129032258064516,0.6833333333333332,0.2743682310469314,0.3052631578947368
CXCL11,0.0434667113358623,0.9747023809523808,0.6451612903225806,0.6408730158730158,0.25691937424789413,0.3024691358024691
CCL28,0.0370717827890982,0.9732142857142856,0.6129032258064516,0.68125,0.23044524669073405,0.3273584905660377
CXCL14,0.0224583297745655,0.9717261904761904,0.5483870967741935,0.7291666666666666,0.16726835138387486,0.3557692307692308
CCL26,0.0083744940952703,0.9737103174603174,0.5806451612903226,0.7609649122807016,0.10409145607701564,0.3502392344497607
XCL1,0.0207955964151896,0.9717261904761904,0.5483870967741935,0.7314814814814817,0.14139590854392298,0.3568376068376068
CXCL9,0.0083719978163371,0.9732142857142856,0.5806451612903226,0.7434210526315788,0.09807460890493382,0.3489278752436647
CXCL2,0.0276642643271739,0.9712301587301588,0.5161290322580645,0.6838235294117646,0.2069795427196149,0.334841628959276
CXCL10,0.007973113058924,0.972718253968254,0.5806451612903226,0.736842105263158,0.08965102286401926,0.35253227408143
CNTF,0.4954954954954955,0.9121621621621622,0.3548387096774194,0.34722222222222227,0.30685920577617326,0.3218390804597701
CCR5,0.0971261672567897,0.96875,0.3870967741935484,0.49358974358974367,0.5300842358604091,0.2553846153846154
CXCL17,0.0125786920277297,0.970734126984127,0.5161290322580645,0.7107843137254902,0.11371841155234658,0.3540945790080738
