,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
XCL2,0.9944189,7.512423780210351e-09,3.702012346457286e-08,2.4456691533464182e-08,2.4524203804823526e-08,0.0,1.8736883712375577e-08,4.583419630587693e-07,3.232096400780238e-08,5.681544591615346e-07,8.721581973477097e-05,0.023717425662559907,5.147909718936061e-07
XCL1,0.9907057,3.1123092008040525e-07,1.0076071769131929e-06,1.1045584226914436e-07,6.167962007841547e-08,0.0,2.0073666751916e-08,3.858488370279377e-06,3.9971625308327016e-07,1.4757917340236216e-06,3.7662403352915886e-05,0.008815402743684548,1.922563920616782e-06
ACVR2A,0.39109227,0.04446406819456838,0.04095451815565509,0.033184575476406714,0.01165936579518815,0.02058478036902586,0.00927443347527457,0.028278916369323587,0.013680522372016227,0.0843969319906125,0.04707804980981504,0.011876187405433369,0.006239961223607441
ACVR1,0.48269236,0.09471074342260286,0.049005293660715585,0.02920523176310327,0.008294410512663195,0.0133148391964813,0.007096103702560799,0.012765340154590535,0.01586350820209281,0.08559956435276726,0.04204407940127442,0.003977542519318274,0.004845522476799476
BMPR2,0.42166588,0.32713986273485535,0.3089114538899791,0.19656262455965426,0.4176129302708016,0.28516216719932996,0.12163902472204195,0.14423116035019326,0.14554421572626197,0.5072736405792885,0.13440658320975138,0.020286746419970407,0.03871153093194936
CXCR2,0.8981213,8.034859185224161e-07,9.093578907260062e-07,3.0588308753810903e-07,6.888752667160617e-08,2.311681573455398e-05,1.1959619216035593e-07,1.8522671142781582e-06,1.8224300019503792e-06,4.465339436237316e-06,3.132659395570558e-05,0.00036275371264592475,7.324778418073253e-06
CXCR1,0.96118104,2.3193123538720714e-08,8.516149568349939e-09,1.799969679838002e-08,9.479412258669639e-09,0.0,1.261659272820894e-08,7.522932664370526e-07,0.0,0.0,8.042583725449687e-06,0.0003051610253814058,7.18354282190011e-06
CCL20,0.9104111,1.1012395115212253e-06,1.050174340144152e-06,0.0004484011672477937,2.0500670451795387e-06,0.0,9.027546978483611e-07,0.0008185800982598663,7.610479907006952e-07,0.0001981884079109464,0.004371284714863774,4.764765455581032e-05,4.678009607147122e-07
TGFBR2,0.5856665,0.4311642912362641,0.3045971806095228,0.4548364808729439,0.3227509131853465,1.2457139254536866,0.0657824599183161,0.22211294069308202,0.5453781460534767,0.425525323263168,0.2558562953409178,0.1580011215057661,0.19741211603991224
CCR4,0.9764425,3.193786081303721e-07,1.3769907924658145e-07,2.9805688022067423e-07,8.056162292116709e-08,2.640670320040701e-07,3.4056602971366145e-08,1.3801424912562067e-06,6.129657323673318e-07,1.9276021658841297e-06,1.4141316921376853e-06,0.00048215493439358084,6.807486778471963e-07
ACVR2B,0.36449215,0.0014020855314819463,0.0010924025448248674,0.0007108919302792297,0.0005014133301077131,0.001422363116934493,0.0009512404250426524,0.00042152706826195587,0.0017162057596709715,0.0032373560128558317,0.0013109347784658976,0.0002601741329636689,0.0003199785429113823
CCR8,0.8396931,7.477153824884793e-09,7.908800423475807e-09,1.236409785439229e-07,4.030791660891523e-09,1.835090946046542e-06,4.726683002960744e-08,0.0,0.0,2.8094408553248035e-07,1.177625468881493e-08,7.17467693816017e-07,7.464755246093064e-07
CCR3,0.80682635,4.459758258344836e-06,2.126483692347638e-06,3.656078626716661e-06,2.2664423536584775e-07,1.3660761063853746e-05,6.786622699696068e-07,2.7555181220166785e-06,3.262892824225522e-06,0.00029492403385121557,3.668440446860001e-05,1.2244870801751567e-05,1.1696190212909042e-05
CCR1,0.9823568,1.6052174296692827e-07,6.188272959264826e-08,1.1174175686593776e-05,4.435947212271942e-07,0.00012281301456528742,3.354728440795476e-08,4.268447844736285e-05,1.7667503044970066e-06,1.1405284830964944e-05,0.053059828158312845,0.00024516113346384136,2.5804618477049352e-05
CCR2,0.92421156,3.5840098419668145e-08,1.2435473300642894e-08,7.288697905297998e-08,4.285280927896731e-08,1.5993487506989806e-06,9.068972336693649e-09,2.2586998763223698e-06,4.451933219281794e-07,2.8534487082941506e-06,0.000514101518487349,0.0007727432189750381,0.0
CCR5,0.9381849,9.245285535111672e-09,1.1534446690339582e-08,1.8203288859714292e-07,2.937939363685059e-08,0.0,8.0809918586411e-09,7.384113946272273e-06,1.3539958078604347e-07,3.601478880316216e-07,0.0005848036275401683,0.0011457730691239324,5.223157806085755e-07
THPO,0.8848625,6.443520284559006e-07,2.5812556634478694e-07,1.468641127519306e-05,5.7077024737951955e-08,0.0,7.121538163335858e-05,4.81183183368017e-07,2.1479813532796344e-06,1.1579855282827495e-05,8.215586999039715e-08,7.446815036322442e-08,2.9615012459412693e-06
CXCL8,0.83248425,2.865856389842975e-05,3.089670126393432e-06,0.01285879955249955,0.008235827139006708,0.0010759163547206568,0.00042534325519276255,0.06378917972660335,0.00018943810728031213,0.0010753154891981972,0.08095747981928508,0.00028561652884582064,3.297654665600462e-06
CXCL6,0.9859266,2.985936807607001e-08,1.8782547737483627e-08,0.00024368014501120427,3.546216679313254e-08,3.46120389386954e-06,2.4052320624086686e-07,0.025293962675778506,2.52533972033248e-07,3.4314911147544042e-06,7.80356957329461e-07,6.187771209033938e-08,0.0
PF4V1,0.88652456,1.5382757487605658e-10,6.851147141493749e-10,6.47474597407041e-08,4.963918604388137e-09,0.0,0.0,8.99440526095278e-07,0.0,1.954199095924708e-08,1.779645525092309e-09,5.5727505136419e-10,0.0
CXCL1,0.8890205,5.635539503797987e-06,4.784665206844463e-07,0.009765023843734623,0.04407866877442752,0.0008100845437482517,4.908271204350141e-05,0.13626277852757654,6.726477295160294e-05,0.0006363927198147538,0.00791784898197109,1.991844052402082e-05,7.41693072616089e-07
PF4,0.8778372,2.551578540680426e-09,2.1430735311584076e-09,3.543409408996343e-09,3.138284800664621e-06,0.0,2.9677647953464092e-08,0.0,0.0,1.4100110014744735e-08,1.879296902487754e-07,5.446198789063378e-08,8.706480774302709e-07
PPBP,0.86104876,0.0,7.226546113322895e-09,2.0399687557811884e-09,9.324062104451965e-07,0.0,2.0539985284426943e-08,0.0,1.3464744322618503e-07,0.0,3.359123975127195e-07,3.62642649458027e-08,1.0650989202972496e-06
CXCL5,0.9246054,1.2881478276939899e-08,2.8384755360166517e-09,3.834065442640319e-06,8.787897336388273e-05,4.996264238327626e-07,5.935555273898684e-08,2.3668249513929257e-05,4.858327206062185e-08,9.300470867503698e-07,0.0003664140086332011,6.913380081071851e-07,7.254963276301663e-07
CXCL3,0.8733435,2.0711129473126373e-06,1.7083128791174106e-07,0.0006456281805646351,0.038364323917566015,0.0001866125131320769,4.9216052685923635e-05,0.0020183248193397087,1.0288673349240153e-05,0.00013828380595366186,0.03574574168465665,7.487616741884942e-05,8.092745605813962e-06
CXCL2,0.9290664,2.4892582282680706e-05,3.884338782723733e-06,0.006421557582278274,0.7046256078830179,0.02225356655461448,0.0013161456043950723,0.04680280963993343,0.00024897434836750266,0.0014995875070935368,0.07003847781619618,0.0006478081214639369,1.4820964670203794e-05
CXCL9,0.80353427,1.237163382378762e-07,4.0270993094150007e-08,1.1210873863887105e-06,1.0008769802680318e-05,0.0,3.200526517296476e-07,0.0,7.222270847888052e-07,2.2959763774648603e-07,8.014420716239261e-06,4.498100253676308e-07,5.614954105709542e-07
CXCL10,0.80963,2.8505806994797536e-08,3.0736235998307994e-07,7.019026788407418e-05,0.00024048334161032607,1.2959888506982778e-06,1.9349918740992965e-06,3.6513602912651554e-05,6.385026339298647e-06,5.01303368707177e-07,0.00018306364141712064,5.276254355090095e-06,5.298704627641973e-07
CXCL11,0.786913,4.273734733863823e-06,2.1843673718194554e-06,1.1044002874170803e-06,3.011182689508337e-05,1.152331174915822e-06,1.105720208511136e-06,8.27943290739744e-07,3.48568385060763e-07,1.1955098787092855e-05,7.541270658965811e-06,2.9629564376355255e-07,6.586661425615669e-07
