#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACKR3	CXCR4	9606.ENSP00000272928	9606.ENSP00000386884	0	0.483	0.900	0	0.946
ACKR3	CXCL12	9606.ENSP00000272928	9606.ENSP00000379140	0	0.900	0.700	0	0.968
ACKR4	CCR7	9606.ENSP00000249887	9606.ENSP00000246657	0	0	0.900	0	0.900
ACKR4	CCR9	9606.ENSP00000249887	9606.ENSP00000350256	0	0	0.900	0	0.900
ACVR1	ACVR2A	9606.ENSP00000405004	9606.ENSP00000241416	0	0.457	0.900	0	0.943
ACVR1	ACVR1C	9606.ENSP00000405004	9606.ENSP00000243349	0	0	0.900	0	0.900
ACVR1	AMHR2	9606.ENSP00000405004	9606.ENSP00000257863	0	0	0.800	0	0.800
ACVR1	ACVR2B	9606.ENSP00000405004	9606.ENSP00000340361	0	0.312	0.800	0	0.856
ACVR1	BMPR1A	9606.ENSP00000405004	9606.ENSP00000361107	0	0.520	0.900	0	0.949
ACVR1	BMPR2	9606.ENSP00000405004	9606.ENSP00000363708	0	0.654	0.900	0	0.963
ACVR1	ACVRL1	9606.ENSP00000405004	9606.ENSP00000373574	0	0.465	0.540	0	0.743
ACVR1	BMPR1B	9606.ENSP00000405004	9606.ENSP00000401907	0	0	0.900	0	0.900
ACVR1	ACVR1B	9606.ENSP00000405004	9606.ENSP00000442656	0	0.520	0.720	0	0.859
ACVR1B	ACVR2A	9606.ENSP00000442656	9606.ENSP00000241416	0	0.457	0.540	0	0.739
ACVR1B	INHBA	9606.ENSP00000442656	9606.ENSP00000242208	0	0.943	0.500	0	0.970
ACVR1B	ACVR1C	9606.ENSP00000442656	9606.ENSP00000243349	0	0.165	0.720	0	0.756
ACVR1B	ACVR2B	9606.ENSP00000442656	9606.ENSP00000340361	0	0.886	0.540	0	0.945
ACVR1C	ACVR2A	9606.ENSP00000243349	9606.ENSP00000241416	0	0	0.900	0	0.900
ACVR1C	ACVR2B	9606.ENSP00000243349	9606.ENSP00000340361	0	0	0.900	0	0.900
ACVR2A	INHBB	9606.ENSP00000241416	9606.ENSP00000295228	0	0.538	0.500	0	0.759
ACVR2A	INHA	9606.ENSP00000241416	9606.ENSP00000243786	0	0.292	0.720	0	0.793
ACVR2A	BMPR1B	9606.ENSP00000241416	9606.ENSP00000401907	0	0	0.900	0	0.900
ACVR2A	TGFBR1	9606.ENSP00000241416	9606.ENSP00000447297	0	0	0.800	0	0.800
ACVR2A	ACVRL1	9606.ENSP00000241416	9606.ENSP00000373574	0	0.292	0.800	0	0.852
ACVR2A	BMPR2	9606.ENSP00000241416	9606.ENSP00000363708	0	0.292	0.900	0	0.926
ACVR2A	BMP2	9606.ENSP00000241416	9606.ENSP00000368104	0	0.952	0.500	0	0.974
ACVR2A	INHBA	9606.ENSP00000241416	9606.ENSP00000242208	0	0.943	0.500	0	0.970
ACVR2A	BMPR1A	9606.ENSP00000241416	9606.ENSP00000361107	0	0.852	0.900	0	0.984
ACVR2A	ACVR2B	9606.ENSP00000241416	9606.ENSP00000340361	0	0.184	0.900	0	0.914
ACVR2A	BMP7	9606.ENSP00000241416	9606.ENSP00000379204	0	0.943	0	0	0.943
ACVR2B	INHBA	9606.ENSP00000340361	9606.ENSP00000242208	0	0.952	0.500	0	0.974
ACVR2B	GDF11	9606.ENSP00000340361	9606.ENSP00000257868	0	0.942	0	0	0.942
