"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB7","m = 0.00016 
 p = 0.06752","m = 0.00034 
 p = 0.11746","m = 0.00043 
 p = 0.13473","m = 0.00029 
 p = 0.08213","m = 0.00111 
 p = 0.30888","m = 0.00022 
 p = 0.04398","m = 0.00003 
 p = 0.09461","m = 0.00099 
 p = 0.24162","m = 0.00211 
 p = 0.92957","m = 0.00433 
 p = 1.37868","m = 0.05087 
 p = 10.39644","m = 0.00045 
 p = 0.05397"
"MYH7","m = 0.13698 
 p = 29.21304","m = 0.63006 
 p = 89.68591","m = 0.02121 
 p = 3.95567","m = 0.01613 
 p = 2.80294","m = 0.01825 
 p = 4.24710","m = 0.01078 
 p = 1.91122","m = 0.00437 
 p = 1.89215","m = 0.03435 
 p = 6.25189","m = 0.02008 
 p = 4.97873","m = 0.02493 
 p = 4.30716","m = 0.01033 
 p = 1.69328","m = 0.00540 
 p = 0.80950"
"ACTG2","m = 0.00086 
 p = 0.24395","m = 0.00040 
 p = 0.12847","m = 0.00079 
 p = 0.19847","m = 0.00025 
 p = 0.05247","m = 0.00084 
 p = 0.15444","m = 0.01924 
 p = 3.28798","m = 0.00157 
 p = 0.66225","m = 0.00124 
 p = 0.27182","m = 0.00112 
 p = 0.45691","m = 0.00032 
 p = 0.07973","m = 0.00020 
 p = 0.04414","m = 0.00167 
 p = 0.26983"
"MYL3","m = 0.06615 
 p = 16.12685","m = 0.38333 
 p = 71.07598","m = 0.01827 
 p = 3.77313","m = 0.00944 
 p = 1.75887","m = 0.01392 
 p = 3.32046","m = 0.00985 
 p = 1.83664","m = 0.01182 
 p = 3.78430","m = 0.02185 
 p = 4.43975","m = 0.01479 
 p = 3.92311","m = 0.01693 
 p = 3.39711","m = 0.00635 
 p = 1.13153","m = 0.00336 
 p = 0.48570"
"MYH6","m = 0.88336 
 p = 94.95546","m = 0.25704 
 p = 50.78286","m = 0.01821 
 p = 3.64565","m = 0.01014 
 p = 1.70336","m = 0.00820 
 p = 2.08494","m = 0.00599 
 p = 1.06508","m = 0.05858 
 p = 11.35289","m = 0.05307 
 p = 8.01873","m = 0.03590 
 p = 7.32630","m = 0.01861 
 p = 3.63824","m = 0.00543 
 p = 0.95899","m = 0.00497 
 p = 0.75553"
"XIRP2","m = 0.08798 
 p = 25.28152","m = 0.22686 
 p = 51.27681","m = 0.00575 
 p = 1.36467","m = 0.00364 
 p = 0.79617","m = 0.00878 
 p = 1.69884","m = 0.00254 
 p = 0.52872","m = 0.00877 
 p = 3.50047","m = 0.01151 
 p = 3.09574","m = 0.00937 
 p = 3.32441","m = 0.00813 
 p = 1.90954","m = 0.00247 
 p = 0.54972","m = 0.00405 
 p = 0.53967"
"ITGB4","m = 0.00229 
 p = 0.81898","m = 0.00108 
 p = 0.35132","m = 0.00175 
 p = 0.48459","m = 0.02162 
 p = 5.40816","m = 0.07539 
 p = 17.37452","m = 0.00095 
 p = 0.19887","m = 0.01303 
 p = 4.54115","m = 0.17849 
 p = 30.32317","m = 0.00453 
 p = 1.74886","m = 0.00068 
 p = 0.20807","m = 0.00064 
 p = 0.14445","m = 0.00269 
 p = 0.43173"
"ITGB8","m = 0.00143 
 p = 0.46612","m = 0.00358 
 p = 1.22699","m = 0.03724 
 p = 8.25685","m = 0.00127 
 p = 0.28516","m = 0.03334 
 p = 7.10425","m = 0.00217 
 p = 0.42163","m = 0.13089 
 p = 28.19300","m = 0.42835 
 p = 54.13772","m = 0.02048 
 p = 7.05845","m = 0.01559 
 p = 3.19877","m = 0.00148 
 p = 0.29693","m = 0.05326 
 p = 7.60928"
"ACTA1","m = 0.08933 
 p = 16.61693","m = 0.25377 
 p = 44.51471","m = 0.01922 
 p = 3.62102","m = 0.01048 
 p = 1.86001","m = 0.01436 
 p = 3.62934","m = 0.00876 
 p = 1.48289","m = 0.00945 
 p = 3.50047","m = 0.02160 
 p = 3.80550","m = 0.01665 
 p = 4.01765","m = 0.01629 
 p = 3.37767","m = 0.00589 
 p = 1.01918","m = 0.00534 
 p = 0.75553"
"TNNI1","m = 0.01312 
 p = 3.89231","m = 0.00480 
 p = 1.47134","m = 0.00061 
 p = 0.19123","m = 0.00035 
 p = 0.09201","m = 0.00050 
 p = 0.15444","m = 0.00031 
 p = 0.06693","m = 0.00212 
 p = 0.66225","m = 0.00207 
 p = 0.57384","m = 0.00103 
 p = 0.37813","m = 0.00062 
 p = 0.18084","m = 0.00061 
 p = 0.12439","m = 0.00000 
 p = 0.00000"
