name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
ACTB,0.4707188346341444,0.9604895104895104,0.84,0.5363636363636364,1.0,0.1664904862579281
ACTG1,0.2102358213270234,0.9541958041958042,0.72,0.6,0.8446585672392124,0.2071086807928913
ITGB1,0.1430012524004314,0.9423076923076924,1.0,0.46307692307692305,0.3207373271889401,0.2898032200357782
MYH9,0.0682552058364559,0.93986013986014,0.8,0.6076190476190476,0.2673229995810641,0.3587301587301587
MYH11,0.0493863208237577,0.9391608391608391,0.8,0.6057142857142856,0.25094260578131544,0.3743078626799557
ITGB3,0.0964614038713383,0.9395104895104894,0.8,0.5695238095238094,0.2510682865521575,0.3463203463203463
MYH10,0.0402607315867689,0.9388111888111887,0.76,0.6359999999999999,0.23841642228739002,0.3840909090909091
MYH14,0.0346582835852754,0.9384615384615383,0.72,0.6673684210526316,0.22144951822371178,0.4019138755980861
MYL9,0.0346582835852754,0.9384615384615383,0.72,0.6673684210526316,0.22144951822371178,0.4019138755980861
MYH7,0.0301029315953536,0.9192307692307692,0.84,0.5618181818181818,0.18307498952660242,0.4179292929292929
MYH6,0.0199265294850021,0.9185314685314686,0.8,0.5714285714285715,0.16740678676162546,0.436734693877551
ITGB5,0.0230780234607902,0.938111888111888,0.76,0.6040000000000001,0.1683284457478006,0.3744186046511628
ITGB4,0.0404113149477893,0.9377622377622378,0.72,0.6042105263157894,0.171889400921659,0.3822055137844611
MYL3,0.0119913603560567,0.9174825174825176,0.72,0.616842105263158,0.10167574361122748,0.4829721362229102
ITGB7,0.0244668215676749,0.9377622377622378,0.72,0.6189473684210526,0.1618349392542941,0.3831089351285189
ITGB8,0.0147176813642474,0.9370629370629372,0.64,0.6776470588235294,0.13632174277335568,0.4172366621067031
ITGB6,0.0147176813642474,0.9370629370629372,0.64,0.6776470588235294,0.13632174277335568,0.4172366621067031
ACTA1,0.2002452485196905,0.9402097902097902,0.6,0.325,0.44868035190615835,0.1901595744680851
DMD,0.2099030088948158,0.9342657342657342,0.44,0.3,0.31248428990364474,0.2274774774774774
ACTG2,0.0049517812497944,0.9171328671328672,0.24,0.702857142857143,0.017385839966485128,0.4642857142857143
MYBPC3,0.0073441488249441,0.927972027972028,0.12,0.72,0.05588604943443653,0.4573170731707317
ACTC1,0.0336737646524444,0.9195804195804196,0.52,0.40857142857142853,0.09736070381231672,0.2670068027210884
VCL,0.0199140446097629,0.9353146853146854,0.24,0.5714285714285715,0.06204440720569753,0.3396825396825397
TNNT2,0.0205192078040133,0.913986013986014,0.48,0.32615384615384607,0.08127356514453289,0.3156498673740053
TNNI1,0.0078296737743149,0.8916083916083916,0.24,0.5371428571428571,0.01994134897360704,0.4372294372294372
TNNI3,0.0174432545392422,0.9132867132867132,0.44,0.33666666666666667,0.06455802262253875,0.3363095238095238
TPM1,0.0176029701767094,0.9185314685314686,0.4,0.4072727272727273,0.058902387934646,0.2662337662337662
TNNC1,0.0125798806467026,0.9115384615384616,0.36,0.34,0.052408881441139504,0.38
TPM3,0.0053630459541135,0.9122377622377622,0.32,0.3911111111111112,0.02287390029325513,0.3849206349206349
TNNC2,0.0091809385724371,0.906993006993007,0.28,0.355,0.033850020946795144,0.4488636363636363
DAG1,0.0632134770657068,0.9090909090909092,0.4,0.2,0.07695852534562211,0.3232323232323232
SGCB,0.0181818181818181,0.901048951048951,0.28,0.26,0.0245915374947633,0.4609375
THBS1,0.0535446205170975,0.903846153846154,0.08,0.3466666666666666,0.05693338919145371,0.4057971014492754
SPTBN2,0.0914105855223453,0.926923076923077,0.2,0.28,0.0634268956849602,0.2797619047619047
XIRP2,0.0117587222341183,0.9062937062937062,0.08,0.4,0.012400502723083368,0.4102564102564102
LAMA1,0.0455598768432992,0.9146853146853148,0.12,0.37,0.047716799329702554,0.2708333333333333
CAPZA1,0.0178482068390325,0.9311188811188812,0.16,0.35200000000000004,0.021281943862589026,0.28
CAPZB,0.0178482068390325,0.9311188811188812,0.16,0.35200000000000004,0.021281943862589026,0.28
ACTN2,0.1221017514595496,0.9272727272727272,0.12,0.25,0.0860913280268119,0.25
