#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA1	VCL	9606.ENSP00000355645	9606.ENSP00000211998	0	0.900	0	0	0.900
ACTA1	TNNC1	9606.ENSP00000355645	9606.ENSP00000232975	0	0.900	0	0	0.900
ACTA1	TMOD1	9606.ENSP00000355645	9606.ENSP00000259365	0	0.900	0	0	0.900
ACTA1	CAPZA1	9606.ENSP00000355645	9606.ENSP00000263168	0	0.900	0	0	0.900
ACTA1	ACTC1	9606.ENSP00000355645	9606.ENSP00000290378	0	0.800	0.540	0	0.904
ACTA1	FMNL3	9606.ENSP00000355645	9606.ENSP00000335655	0	0.900	0	0	0.900
ACTA1	TNNI3	9606.ENSP00000355645	9606.ENSP00000341838	0	0.900	0	0	0.900
ACTA1	TPM1	9606.ENSP00000355645	9606.ENSP00000351022	0	0.904	0	0	0.904
ACTA1	ACTB	9606.ENSP00000355645	9606.ENSP00000494750	0	0.900	0	0	0.900
ACTA1	TNNT2	9606.ENSP00000355645	9606.ENSP00000499593	0	0.900	0	0	0.900
ACTA1	TNNC2	9606.ENSP00000355645	9606.ENSP00000361636	0	0.900	0	0	0.900
ACTA1	LMOD1	9606.ENSP00000355645	9606.ENSP00000356257	0	0.900	0	0	0.900
ACTA1	CAPZB	9606.ENSP00000355645	9606.ENSP00000401010	0	0.901	0	0	0.901
ACTA1	TPM3	9606.ENSP00000355645	9606.ENSP00000498577	0	0.904	0	0	0.904
ACTA1	ACTG1	9606.ENSP00000355645	9606.ENSP00000458162	0	0.918	0	0	0.918
ACTA1	ACTG2	9606.ENSP00000355645	9606.ENSP00000386857	0	0.800	0.540	0	0.904
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0.097	0.900	0	0.905
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0.488	0.900	0	0.946
ACTB	ITGB8	9606.ENSP00000494750	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTB	CAPZA1	9606.ENSP00000494750	9606.ENSP00000263168	0	0.915	0	0	0.915
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTB	ITGB6	9606.ENSP00000494750	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTB	ZYX	9606.ENSP00000494750	9606.ENSP00000324422	0	0.124	0.900	0	0.908
ACTB	MYH10	9606.ENSP00000494750	9606.ENSP00000353590	0	0.097	0.900	0	0.905
ACTB	DMD	9606.ENSP00000494750	9606.ENSP00000354923	0	0	0.900	0	0.900
