"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CCL5","m = 0.00624 
 p = 1.06293","m = 0.00209 
 p = 0.27843","m = 0.00348 
 p = 0.36362","m = 0.00261 
 p = 0.22661","m = 0.00705 
 p = 0.54054","m = 0.00135 
 p = 0.09752","m = 0.00520 
 p = 1.04068","m = 0.00733 
 p = 0.57384","m = 0.00708 
 p = 0.99259","m = 0.05533 
 p = 3.87742","m = 1.00000 
 p = 44.49081","m = 0.00674 
 p = 0.43173"
"CCL4","m = 0.00081 
 p = 0.11544","m = 0.00064 
 p = 0.06187","m = 0.00207 
 p = 0.29988","m = 0.00414 
 p = 0.34219","m = 0.00822 
 p = 0.84942","m = 0.00117 
 p = 0.08892","m = 0.00776 
 p = 1.41911","m = 0.00782 
 p = 0.49834","m = 0.00328 
 p = 0.47266","m = 0.22140 
 p = 13.45428","m = 0.94421 
 p = 40.18939","m = 0.00942 
 p = 0.53967"
"NLRP3","m = 0.00091 
 p = 0.12415","m = 0.00061 
 p = 0.07551","m = 0.00172 
 p = 0.25642","m = 0.00074 
 p = 0.07148","m = 0.00761 
 p = 0.69498","m = 0.00079 
 p = 0.06023","m = 0.00763 
 p = 1.22990","m = 0.00142 
 p = 0.13591","m = 0.00170 
 p = 0.23633","m = 0.18514 
 p = 15.14992","m = 0.02521 
 p = 1.94607","m = 0.00960 
 p = 0.53967"
"CCL4L2","m = 0.00025 
 p = 0.03049","m = 0.00028 
 p = 0.02202","m = 0.00053 
 p = 0.10141","m = 0.00060 
 p = 0.05247","m = 0.00106 
 p = 0.07722","m = 0.00025 
 p = 0.02008","m = 0.00352 
 p = 0.75686","m = 0.00071 
 p = 0.04530","m = 0.00055 
 p = 0.06302","m = 0.06315 
 p = 4.59106","m = 0.23237 
 p = 11.97737","m = 0.00194 
 p = 0.10793"
"MEFV","m = 0.00041 
 p = 0.06099","m = 0.00039 
 p = 0.05768","m = 0.00066 
 p = 0.14704","m = 0.00045 
 p = 0.04715","m = 0.00701 
 p = 0.54054","m = 0.00019 
 p = 0.01339","m = 0.00092 
 p = 0.56764","m = 0.00025 
 p = 0.01510","m = 0.00088 
 p = 0.11029","m = 0.05337 
 p = 5.39805","m = 0.00120 
 p = 0.10834","m = 0.00585 
 p = 0.32380"
"ZBP1","m = 0.00148 
 p = 0.15029","m = 0.00072 
 p = 0.09281","m = 0.00105 
 p = 0.11662","m = 0.00135 
 p = 0.12547","m = 0.00249 
 p = 0.23166","m = 0.00047 
 p = 0.03346","m = 0.00323 
 p = 0.47304","m = 0.00193 
 p = 0.16611","m = 0.00283 
 p = 0.44115","m = 0.00703 
 p = 0.68059","m = 0.09220 
 p = 6.50429","m = 0.03596 
 p = 1.99676"
"PYCARD","m = 0.00065 
 p = 0.06752","m = 0.00060 
 p = 0.07026","m = 0.01333 
 p = 1.21328","m = 0.05375 
 p = 5.05076","m = 0.03993 
 p = 4.40154","m = 0.00568 
 p = 0.54593","m = 0.06534 
 p = 9.27152","m = 0.00730 
 p = 0.52854","m = 0.00232 
 p = 0.34662","m = 0.26876 
 p = 20.46241","m = 0.15034 
 p = 11.22703","m = 0.01310 
 p = 0.75553"
"IFNA13","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00002 
 p = 0.00290","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00002 
 p = 0.00096","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00002 
 p = 0.00194","m = 0.00004 
 p = 0.00401","m = 0.00000 
 p = 0.00000"
"CASP8","m = 0.01619 
 p = 2.56801","m = 0.01789 
 p = 2.43301","m = 0.04621 
 p = 4.46489","m = 0.03726 
 p = 3.31622","m = 0.02794 
 p = 2.54826","m = 0.01338 
 p = 0.95800","m = 0.06153 
 p = 9.08231","m = 0.01817 
 p = 1.63093","m = 0.06906 
 p = 10.50890","m = 0.10517 
 p = 9.93855","m = 0.40482 
 p = 25.60388","m = 0.18318 
 p = 10.09174"
"POLR3G","m = 0.01920 
 p = 2.85552","m = 0.01763 
 p = 2.35174","m = 0.02524 
 p = 2.46641","m = 0.00908 
 p = 0.85320","m = 0.02793 
 p = 2.47104","m = 0.00409 
 p = 0.30977","m = 0.02190 
 p = 3.12204","m = 0.09853 
 p = 6.87104","m = 0.02541 
 p = 4.03340","m = 0.00782 
 p = 0.81282","m = 0.00746 
 p = 0.56978","m = 0.02221 
 p = 1.18726"
