name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
POLR2K,0.0,1.0,1.0,1.0,0.0,1.0
POLR3H,0.0,1.0,1.0,1.0,0.0,1.0
POLR3GL,0.0,1.0,1.0,1.0,0.0,1.0
POLR3A,0.0,1.0,1.0,1.0,0.0,1.0
POLR3F,0.0,1.0,1.0,1.0,0.0,1.0
POLR3D,0.0,1.0,1.0,1.0,0.0,1.0
POLR2F,0.0,1.0,1.0,1.0,0.0,1.0
POLR2H,0.0,1.0,1.0,1.0,0.0,1.0
POLR2E,0.0,1.0,1.0,1.0,0.0,1.0
POLR1C,0.0,1.0,1.0,1.0,0.0,1.0
POLR3G,0.0,1.0,1.0,1.0,0.0,1.0
POLR3E,0.0,1.0,1.0,1.0,0.0,1.0
POLR3C,0.0,1.0,1.0,1.0,0.0,1.0
POLR2L,0.0,1.0,1.0,1.0,0.0,1.0
POLR1D,0.0,1.0,1.0,1.0,0.0,1.0
POLR3B,0.0,1.0,1.0,1.0,0.0,1.0
POLR3K,0.0,1.0,1.0,1.0,0.0,1.0
MAVS,0.9017390442688331,0.9130434782608696,0.5333333333333333,0.29629629629629634,0.96875,0.2962962962962963
CASP8,1.0,0.893719806763285,0.4,0.24761904761904763,1.0,0.2773109243697479
IKBKG,0.6999157727847,0.9130434782608696,0.4666666666666667,0.325,0.90625,0.3026315789473684
RIPK1,0.7202293952981395,0.9130434782608696,0.4666666666666667,0.30833333333333335,0.796875,0.28125
PYCARD,0.7289617757078799,0.893719806763285,0.4,0.2571428571428571,0.78125,0.3047619047619048
RIPK3,0.45265935045953354,0.8792270531400965,0.26666666666666666,0.26666666666666666,0.453125,0.32
NLRP3,0.3479574900289837,0.8695652173913043,0.26666666666666666,0.32,0.359375,0.4
ZBP1,0.2957861619639801,0.8599033816425121,0.26666666666666666,0.3466666666666667,0.375,0.4133333333333333
TBK1,0.18515123739688316,0.8743961352657005,0.4,0.32380952380952377,0.328125,0.3904761904761905
IRF3,0.14719944509128738,0.8550724637681159,0.4,0.26666666666666666,0.1953125,0.4166666666666667
IKBKE,0.08327346594990934,0.8550724637681159,0.26666666666666666,0.4,0.15625,0.5
CASP1,0.14011444992196592,0.8599033816425121,0.26666666666666666,0.29333333333333333,0.1875,0.4153846153846154
FADD,0.05592439368791325,0.8695652173913043,0.2,0.4,0.1015625,0.4666666666666667
IKBKB,0.020809076721083793,0.8695652173913043,0.2,0.4,0.0390625,0.4666666666666667
IRF7,0.010404538360541699,0.8164251207729468,0.2,0.3333333333333333,0.0234375,0.6
CHUK,0.0,0.8454106280193237,0.13333333333333333,0.3777777777777778,0.0,0.6060606060606061
MEFV,0.0,0.7874396135265701,0.0,0.4,0.0,0.0
CCL5,0.0,1.0,0.0,0.0,0.0,0.0
CCL4L2,0.0,1.0,0.0,0.0,0.0,0.0
CCL4,0.0,1.0,0.0,0.0,0.0,0.0
IFNA13,0.0,1.0,0.0,0.0,0.0,0.0
CXCL10,0.0,1.0,0.0,0.0,0.0,0.0
IFNA1,0.0,1.0,0.0,0.0,0.0,0.0
DNASE2,0.0,1.0,0.0,0.0,0.0,0.0
DNASE2B,0.0,1.0,0.0,0.0,0.0,0.0
