,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
DNASE2B,0.8262791037559509,5.291509660302189e-07,2.883923694459742e-07,7.46225693438274e-08,4.34463087625569e-08,0.0,9.778381577953793e-09,0.0,1.7593981899552854e-07,5.831941283596009e-07,1.0195252523712859e-05,1.9822444688807108e-07,2.928484528774322e-06
POLR3C,0.3239500820636749,0.003083718185147132,0.0030738497978911117,0.008101947016870741,0.0028695826518943994,0.004925161876273432,0.002251169201086957,0.004756136248443301,0.002847172852073397,0.013231752727639118,0.008760532870386266,0.002328312667079994,0.003046044741073172
POLR3GL,0.679481029510498,0.0040797345907106885,0.0014421583332285847,0.000858824116262081,0.01972385801873204,0.010673687494859732,0.0020889554820235977,0.004530229805744021,0.0017682632757111715,0.0021754223105004775,0.005326105357699998,0.024285688833682956,0.00020450135693959268
IKBKE,0.76759934425354,4.719570784227629e-05,8.46215484369958e-06,0.00037845612865613663,1.265597617349481e-06,0.0002631625556117319,9.5619683262301e-06,0.0011520014940113422,2.2212858698593815e-05,0.00018462498147144496,0.0035282814076885815,0.0034378635658277247,0.000299178657945722
NLRP3,0.9715445041656494,1.501076579715802e-06,6.129372726076333e-07,5.8709017817462746e-06,7.026795716975735e-07,7.036129393862942e-05,6.356403724489022e-07,0.0001248697562596092,2.5755862574051134e-06,5.341335441151228e-06,0.03731342070148033,0.0006526706181361945,6.893694931535676e-05
CASP8,0.8661589026451111,0.0005531748330164552,0.0005790953334005044,0.0027446069884622315,0.00164395641886931,0.0009472016345810247,0.0001705650914733496,0.007434039264776398,0.00039425814410092713,0.009654843919442848,0.01390506556293898,0.13788584653183789,0.02459246945490531
POLR2H,0.5162205696105957,0.0027850371550577364,0.002783770894011643,0.006573559097935706,0.013735390536200705,0.02421280483941774,0.00916163984988133,0.015178407025201884,0.0025662078292338878,0.00956870780529066,0.005858956369832642,0.005802614079983695,0.0004288987233969435
CXCL10,0.8096299767494202,2.8505806994797536e-08,3.0736235998307994e-07,7.019026788407418e-05,0.00024048334161032607,1.2959888506982778e-06,1.9349918740992965e-06,3.6513602912651554e-05,6.385026339298647e-06,5.01303368707177e-07,0.00018306364141712064,5.276254355090095e-06,5.298704627641973e-07
POLR3G,0.826559841632843,0.0007294925650964827,0.0005515873154095833,0.0008282181103420527,0.00010309231419635088,0.0009181887946994148,1.6866630648842458e-05,0.0009096969912919439,0.009006282696638248,0.0013632793135017192,8.457702912101342e-05,5.653705125039772e-05,0.0003507151733329987
RIPK1,0.48298776149749756,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
POLR1C,0.4086757004261017,0.012392789393209662,0.013838067784992164,0.02276813605103609,0.003441946728184832,0.008957811867868579,0.006589520634974169,0.03222485650736088,0.006319304691344652,0.037157956220248325,0.002932631874526761,0.003223031909935892,0.004093834099998617
IKBKG,0.3029748201370239,0.0013849050423595294,0.001270036704794911,0.0021201491746625804,0.003032161736142966,0.002526430825929384,0.0014614115821668184,0.004697800725839447,0.0010942546985492141,0.005572342376775097,0.0033870109744891263,0.0033427465498691365,0.000729700788670595
