#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	PYCARD	9606.ENSP00000357112	9606.ENSP00000247470	0	0.691	0.900	0	0.967
AIM2	NLRP3	9606.ENSP00000357112	9606.ENSP00000337383	0	0	0.900	0	0.900
AIM2	GSDMD	9606.ENSP00000357112	9606.ENSP00000433209	0	0	0.720	0	0.720
AIM2	CASP1	9606.ENSP00000357112	9606.ENSP00000433138	0	0.626	0.900	0	0.961
CASP1	PYCARD	9606.ENSP00000433138	9606.ENSP00000247470	0	0.967	0.900	0	0.996
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0.292	0.900	0	0.926
CASP1	CASP8	9606.ENSP00000433138	9606.ENSP00000351273	0	0.544	0.540	0	0.781
CASP1	GSDMD	9606.ENSP00000433138	9606.ENSP00000433209	0	0.926	0.720	0	0.978
CASP3	CASP7	9606.ENSP00000311032	9606.ENSP00000358327	0	0.421	0.900	0	0.939
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0.636	0.900	0	0.962
CASP7	CASP8	9606.ENSP00000358327	9606.ENSP00000351273	0	0.628	0.540	0	0.821
CASP8	RIPK3	9606.ENSP00000351273	9606.ENSP00000216274	0	0.734	0	0	0.734
CASP8	PYCARD	9606.ENSP00000351273	9606.ENSP00000247470	0	0.457	0.900	0	0.943
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0.564	0.900	0	0.954
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0.671	0.900	0	0.965
CCL4	CCL4L2	9606.ENSP00000482259	9606.ENSP00000483330	0	0	0.900	0	0.900
CCL5	CXCL10	9606.ENSP00000474412	9606.ENSP00000305651	0	0.734	0	0	0.734
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0.734	0.900	0	0.972
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0.734	0.900	0	0.972
DDX58	IRF3	9606.ENSP00000369213	9606.ENSP00000471896	0	0.457	0.500	0	0.716
DDX58	MAVS	9606.ENSP00000369213	9606.ENSP00000401980	0	0.943	0.500	0	0.970
DNASE2	DNASE2B	9606.ENSP00000222219	9606.ENSP00000359699	0	0	0.900	0	0.900
FADD	RIPK3	9606.ENSP00000301838	9606.ENSP00000216274	0	0.734	0	0	0.734
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0.457	0.900	0	0.943
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0.457	0.500	0	0.716
GSDMD	PYCARD	9606.ENSP00000433209	9606.ENSP00000247470	0	0	0.720	0	0.720
GSDMD	NLRP3	9606.ENSP00000433209	9606.ENSP00000337383	0	0	0.720	0	0.720
IFNA1	IFNA13	9606.ENSP00000276927	9606.ENSP00000480467	0	0.831	0	0	0.831
IKBKB	RIPK1	9606.ENSP00000430684	9606.ENSP00000259808	0	0.457	0.500	0	0.716
IKBKB	MAVS	9606.ENSP00000430684	9606.ENSP00000401980	0	0.509	0.500	0	0.744
IKBKB	IKBKG	9606.ENSP00000430684	9606.ENSP00000483825	0	0.972	0.900	0	0.997
IKBKE	TBK1	9606.ENSP00000464030	9606.ENSP00000329967	0	0.734	0.900	0	0.972
IKBKE	IRF7	9606.ENSP00000464030	9606.ENSP00000380697	0	0.457	0.900	0	0.943
IKBKE	MAVS	9606.ENSP00000464030	9606.ENSP00000401980	0	0.734	0.500	0	0.861
IKBKE	IRF3	9606.ENSP00000464030	9606.ENSP00000471896	0	0.457	0.900	0	0.943
IKBKE	IKBKG	9606.ENSP00000464030	9606.ENSP00000483825	0	0.457	0.800	0	0.886
