"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.608695652173913","0.0","0.3833333333333333","1.0","HUMAN|HGNC=357|UniProtKB=O14862","Interferon-inducible protein AIM2;AIM2;PTN002486730;orthologs","INTERFERON-INDUCIBLE PROTEIN AIM2 (PTHR12200:SF17)","DNA-binding transcription factor(PC00218)","Homo sapiens","4","4","false","AIM2","5.25","0","4","0","0.821256038647343","false","0","AIM2","0","0.65625"
"1.9565217391304348","0.18461634983374112","0.5111111111111111","0.3333333333333333","HUMAN|HGNC=16608|UniProtKB=Q9ULZ3","Apoptosis-associated speck-like protein containing a CARD;PYCARD;PTN002470791;orthologs","APOPTOSIS-ASSOCIATED SPECK-LIKE PROTEIN CONTAINING A CARD (PTHR46985:SF2)","defense/immunity protein(PC00090)","Homo sapiens","7","3","false","PYCARD","4.857142857142857","0","7","0","0.893719806763285","false","0","PYCARD","200","0.3047619047619048"
"2.1739130434782608","0.08812347073216638","0.46","0.6","HUMAN|HGNC=16400|UniProtKB=Q96P20","NACHT, LRR and PYD domains-containing protein 3;NLRP3;PTN002515881;orthologs","NACHT, LRR AND PYD DOMAINS-CONTAINING PROTEIN 3 (PTHR45690:SF19)","defense/immunity protein(PC00090)","Homo sapiens","5","4","false","NLRP3","5.8","0","5","0","0.8695652173913043","false","0","NLRP3","92","0.4"
"2.608695652173913","0.0","0.3833333333333333","1.0","HUMAN|HGNC=25697|UniProtKB=P57764","Gasdermin-D;GSDMD;PTN002497401;orthologs","GASDERMIN-D (PTHR16399:SF15)","transporter(PC00227)","Homo sapiens","4","4","false","GSDMD","5.25","0","4","0","0.821256038647343","false","0","GSDMD","0","0.65625"
"2.260869565217391","0.0354852876592007","0.44230769230769235","0.7","HUMAN|HGNC=1499|UniProtKB=P29466","Caspase-1;CASP1;PTN002470823;orthologs","CASPASE-1 (PTHR47901:SF3)",,"Homo sapiens","5","4","false","CASP1","5.4","0","5","0","0.8599033816425121","false","0","CASP1","48","0.4153846153846154"
"1.9565217391304348","0.2532593010853881","0.5111111111111111","0.23809523809523808","HUMAN|HGNC=1509|UniProtKB=Q14790","Caspase-8;CASP8;PTN002470814;orthologs","CASPASE-8 (PTHR10454:SF162)","protease(PC00190)","Homo sapiens","7","3","false","CASP8","4.714285714285714","0","7","0","0.893719806763285","false","0","CASP8","256","0.2773109243697479"
"2.869565217391304","0.0","0.3484848484848485","1.0","HUMAN|HGNC=1504|UniProtKB=P42574","Caspase-3;CASP3;PTN002470796;orthologs","CASPASE-3 (PTHR10454:SF198)","protease(PC00190)","Homo sapiens","2","4","false","CASP3","4.5","0","2","0","0.7922705314009661","false","0","CASP3","0","0.6428571428571429"
"2.869565217391304","0.0","0.3484848484848485","1.0","HUMAN|HGNC=1508|UniProtKB=P55210","Caspase-7;CASP7;PTN002470812;orthologs","CASPASE-7 (PTHR10454:SF31)","protease(PC00190)","Homo sapiens","2","4","false","CASP7","4.5","0","2","0","0.7922705314009661","false","0","CASP7","0","0.6428571428571429"
"2.0869565217391304","0.11464019072714725","0.4791666666666667","0.4","HUMAN|HGNC=10021|UniProtKB=Q9Y572","Receptor-interacting serine_threonine-protein kinase 3;RIPK3;PTN002554319;orthologs","RECEPTOR-INTERACTING SERINE_THREONINE-PROTEIN KINASE 3 (PTHR23257:SF974)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","5","3","false","RIPK3","5.0","0","5","0","0.8792270531400965","false","0","RIPK3","116","0.32"
"1.7826086956521738","0.1824047932743585","0.5609756097560976","0.35714285714285715","HUMAN|HGNC=10019|UniProtKB=Q13546","Receptor-interacting serine_threonine-protein kinase 1;RIPK1;PTN002551568;orthologs","RECEPTOR-INTERACTING SERINE_THREONINE-PROTEIN KINASE 1 (PTHR44329:SF6)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","8","3","false","RIPK1","5.625","0","8","0","0.9130434782608696","false","0","RIPK1","204","0.28125"
"2.1739130434782608","0.01416337285902503","0.46","0.6666666666666666","HUMAN|HGNC=3573|UniProtKB=Q13158","FAS-associated death domain protein;FADD;PTN002495467;orthologs","FAS-ASSOCIATED DEATH DOMAIN PROTEIN (PTHR15077:SF10)",,"Homo sapiens","4","3","false","FADD","7.0","0","4","0","0.8695652173913043","false","0","FADD","26","0.4666666666666667"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10630|UniProtKB=P13236","C-C motif chemokine 4;CCL4;PTN002485896;orthologs","C-C MOTIF CHEMOKINE 4-RELATED (PTHR12015:SF103)","cytokine(PC00083)","Homo sapiens","1","1","false","CCL4","1.0","0","1","0","1.0","false","0","CCL4","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10631|UniProtKB=Q8NHW4","C-C motif chemokine 4-like;CCL4L2;PTN002485895;orthologs","C-C MOTIF CHEMOKINE 4-RELATED (PTHR12015:SF103)","cytokine(PC00083)","Homo sapiens","1","1","false","CCL4L2","1.0","0","1","0","1.0","false","0","CCL4L2","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10632|UniProtKB=P13501","C-C motif chemokine 5;CCL5;PTN002485876;orthologs","C-C MOTIF CHEMOKINE 5 (PTHR12015:SF170)","cytokine(PC00083)","Homo sapiens","1","1","false","CCL5","1.0","0","1","0","1.0","false","0","CCL5","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10637|UniProtKB=P02778","C-X-C motif chemokine 10;CXCL10;PTN002468765;orthologs","C-X-C MOTIF CHEMOKINE 10 (PTHR12015:SF188)","cytokine(PC00083)","Homo sapiens","1","1","false","CXCL10","1.0","0","1","0","1.0","false","0","CXCL10","0","0.0"
"2.391304347826087","0.0","0.4181818181818182","1.0","HUMAN|HGNC=1974|UniProtKB=O15111","Inhibitor of nuclear factor kappa-B kinase subunit alpha;CHUK;PTN002506459;orthologs","INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE SUBUNIT ALPHA (PTHR22969:SF13)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","3","false","CHUK","6.666666666666667","0","3","0","0.8454106280193237","false","0","CHUK","0","0.6060606060606061"
"1.7826086956521738","0.17726017943409247","0.5609756097560976","0.32142857142857145","HUMAN|HGNC=5961|UniProtKB=Q9Y6K9","NF-kappa-B essential modulator;IKBKG;PTN002527037;orthologs","NF-KAPPA-B ESSENTIAL MODULATOR (PTHR31553:SF3)",,"Homo sapiens","8","3","false","IKBKG","5.875","0","8","0","0.9130434782608696","false","0","IKBKG","232","0.3026315789473684"
"2.1739130434782608","0.005270092226613965","0.46","0.8333333333333334","HUMAN|HGNC=5960|UniProtKB=O14920","Inhibitor of nuclear factor kappa-B kinase subunit beta;IKBKB;PTN002506460;orthologs","INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE SUBUNIT BETA (PTHR22969:SF7)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","4","3","false","IKBKB","7.0","0","4","0","0.8695652173913043","false","0","IKBKB","10","0.4666666666666667"
"2.608695652173913","0.0","0.3833333333333333","1.0",,,,,,"2","4","false","DDX58","8.0","0","2","0","0.821256038647343","false","0","DDX58","0","0.7272727272727273"
"2.3043478260869565","0.03727962858397641","0.4339622641509434","0.47619047619047616","HUMAN|HGNC=6118|UniProtKB=Q14653","Interferon regulatory factor 3;IRF3;PTN002485287;orthologs","INTERFERON REGULATORY FACTOR 3 (PTHR11949:SF1)","winged helix/forkhead transcription factor(PC00246)","Homo sapiens","7","4","false","IRF3","5.0","0","7","0","0.8550724637681159","false","0","IRF3","50","0.4166666666666667"
"1.7826086956521738","0.22837380011293051","0.5609756097560976","0.3055555555555556","HUMAN|HGNC=29233|UniProtKB=Q7Z434","Mitochondrial antiviral-signaling protein;MAVS;PTN002502010;orthologs","MITOCHONDRIAL ANTIVIRAL-SIGNALING PROTEIN (PTHR21446:SF6)",,"Homo sapiens","9","3","false","MAVS","5.444444444444445","0","9","0","0.9130434782608696","false","0","MAVS","248","0.2962962962962963"
