"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB4","m = 0.00224 
 p = 0.81898","m = 0.00105 
 p = 0.35132","m = 0.00171 
 p = 0.48459","m = 0.02114 
 p = 5.40816","m = 0.07370 
 p = 17.37452","m = 0.00093 
 p = 0.19887","m = 0.01274 
 p = 4.54115","m = 0.17450 
 p = 30.32317","m = 0.00443 
 p = 1.74886","m = 0.00066 
 p = 0.20807","m = 0.00063 
 p = 0.14445","m = 0.00263 
 p = 0.43173"
"ITGA6","m = 0.02154 
 p = 9.03487","m = 0.02547 
 p = 9.61879","m = 0.00409 
 p = 1.22705","m = 0.31219 
 p = 50.31900","m = 0.10473 
 p = 23.32046","m = 0.00338 
 p = 0.78017","m = 0.03909 
 p = 12.58278","m = 0.08584 
 p = 16.58109","m = 0.05854 
 p = 19.97794","m = 0.01394 
 p = 4.19632","m = 0.04452 
 p = 8.06918","m = 0.00755 
 p = 1.24123"
"THBS1","m = 0.04165 
 p = 10.72945","m = 0.05724 
 p = 12.96733","m = 0.17722 
 p = 27.96204","m = 0.01223 
 p = 2.63260","m = 0.03467 
 p = 7.41313","m = 0.02841 
 p = 5.19538","m = 0.05641 
 p = 12.67739","m = 0.05226 
 p = 9.46844","m = 0.09479 
 p = 20.81298","m = 0.37055 
 p = 44.37444","m = 0.01230 
 p = 2.51986","m = 0.02384 
 p = 3.34593"
"FN1","m = 0.00709 
 p = 2.58762","m = 0.00485 
 p = 1.60086","m = 0.35574 
 p = 51.59393","m = 0.08768 
 p = 16.38417","m = 0.11754 
 p = 24.78764","m = 0.13468 
 p = 22.00816","m = 0.11314 
 p = 25.07096","m = 0.09192 
 p = 17.04923","m = 0.06769 
 p = 19.00110","m = 0.04114 
 p = 7.14425","m = 0.00419 
 p = 0.89078","m = 0.01133 
 p = 1.83486"
"LAMA5","m = 0.04173 
 p = 15.22511","m = 0.03586 
 p = 12.41099","m = 0.00578 
 p = 1.64934","m = 0.10835 
 p = 22.79533","m = 0.00957 
 p = 2.62548","m = 0.03923 
 p = 7.85425","m = 0.04209 
 p = 13.52886","m = 0.01684 
 p = 3.89610","m = 0.01593 
 p = 6.82212","m = 0.00309 
 p = 1.07144","m = 0.00210 
 p = 0.56175","m = 0.00293 
 p = 0.43173"
"LAMC2","m = 0.00278 
 p = 1.04550","m = 0.00248 
 p = 0.91343","m = 0.02219 
 p = 5.08276","m = 0.00077 
 p = 0.20303","m = 0.01024 
 p = 2.77992","m = 0.00155 
 p = 0.30404","m = 0.02835 
 p = 8.60927","m = 0.00364 
 p = 1.02688","m = 0.01141 
 p = 4.33276","m = 0.00073 
 p = 0.23140","m = 0.00022 
 p = 0.06420","m = 0.00141 
 p = 0.21587"
"LAMA1","m = 0.00504 
 p = 1.65538","m = 0.00396 
 p = 1.35546","m = 0.01231 
 p = 3.07703","m = 0.00165 
 p = 0.30873","m = 0.00233 
 p = 0.61776","m = 0.00468 
 p = 0.83275","m = 0.02750 
 p = 7.85241","m = 0.00540 
 p = 1.16279","m = 0.00870 
 p = 3.40318","m = 0.00202 
 p = 0.50558","m = 0.00176 
 p = 0.33304","m = 0.00888 
 p = 1.34916"
"DAG1","m = 0.05172 
 p = 20.02352","m = 0.07359 
 p = 24.48430","m = 0.03396 
 p = 8.90225","m = 0.02236 
 p = 5.98761","m = 0.03774 
 p = 9.72973","m = 0.02396 
 p = 5.10168","m = 0.03049 
 p = 12.20435","m = 0.14026 
 p = 24.96225","m = 0.04690 
 p = 18.32362","m = 0.01861 
 p = 5.80446","m = 0.01062 
 p = 2.27109","m = 0.01245 
 p = 2.05073"
"LAMA2","m = 0.74322 
 p = 89.87389","m = 0.91142 
 p = 96.18373","m = 1.00000 
 p = 93.13752","m = 0.02433 
 p = 4.54964","m = 0.05550 
 p = 10.19305","m = 0.11475 
 p = 14.37955","m = 0.13602 
 p = 21.57048","m = 0.43880 
 p = 53.71489","m = 0.30789 
 p = 44.22562","m = 0.03953 
 p = 6.39560","m = 0.00915 
 p = 1.32814","m = 0.03718 
 p = 5.34269"
"LAMC1","m = 0.08567 
 p = 28.83405","m = 0.08991 
 p = 28.52866","m = 0.44682 
 p = 67.16816","m = 0.09210 
 p = 19.92548","m = 0.20310 
 p = 40.07722","m = 0.11944 
 p = 21.09128","m = 0.09515 
 p = 22.89499","m = 0.24463 
 p = 39.94262","m = 0.34963 
 p = 70.53726","m = 0.03048 
 p = 8.22152","m = 0.00500 
 p = 1.16764","m = 0.00985 
 p = 1.61900"
