#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGRN	DAG1	9606.ENSP00000368678	9606.ENSP00000442600	0	0.308	0.900	0	0.927
CD44	SPP1	9606.ENSP00000398632	9606.ENSP00000378517	0	0.358	0.900	0	0.933
COL1A1	COL2A1	9606.ENSP00000225964	9606.ENSP00000369889	0	0.075	0.720	0	0.729
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0.492	0.900	0	0.947
COL1A2	COL2A1	9606.ENSP00000297268	9606.ENSP00000369889	0	0	0.720	0	0.720
COL4A1	COL4A2	9606.ENSP00000364979	9606.ENSP00000353654	0	0.948	0.900	0	0.994
COL4A3	COL4A5	9606.ENSP00000379823	9606.ENSP00000331902	0	0	0.800	0	0.800
COL4A3	COL4A4	9606.ENSP00000379823	9606.ENSP00000379866	0	0	0.900	0	0.900
COL4A4	COL4A5	9606.ENSP00000379866	9606.ENSP00000331902	0	0	0.800	0	0.800
COL4A5	COL4A6	9606.ENSP00000331902	9606.ENSP00000378340	0	0.090	0.800	0	0.810
COL6A1	COL6A3	9606.ENSP00000355180	9606.ENSP00000295550	0	0	0.720	0	0.720
COL9A1	COL9A2	9606.ENSP00000349790	9606.ENSP00000361834	0	0.900	0.800	0	0.979
COL9A1	COL9A3	9606.ENSP00000349790	9606.ENSP00000496793	0	0.900	0.800	0	0.979
COL9A2	COL9A3	9606.ENSP00000361834	9606.ENSP00000496793	0	0.900	0.800	0	0.979
DAG1	HSPG2	9606.ENSP00000442600	9606.ENSP00000363827	0	0.082	0.700	0	0.712
DAG1	LAMA1	9606.ENSP00000442600	9606.ENSP00000374309	0	0	0.900	0	0.900
DAG1	LAMA2	9606.ENSP00000442600	9606.ENSP00000400365	0	0.292	0.900	0	0.926
FN1	THBS1	9606.ENSP00000346839	9606.ENSP00000260356	0	0.437	0.720	0	0.835
FN1	ITGAV	9606.ENSP00000346839	9606.ENSP00000261023	0	0.960	0	0	0.960
FN1	ITGA5	9606.ENSP00000346839	9606.ENSP00000293379	0	0.952	0.500	0	0.974
FN1	ITGB1	9606.ENSP00000346839	9606.ENSP00000379350	0	0.952	0.500	0	0.974
FN1	ITGB3	9606.ENSP00000346839	9606.ENSP00000452786	0	0.960	0.400	0	0.974
FRAS1	FREM2	9606.ENSP00000422834	9606.ENSP00000280481	0	0	0.800	0	0.800
FRAS1	NPNT	9606.ENSP00000422834	9606.ENSP00000389252	0	0	0.800	0	0.800
FRAS1	FREM1	9606.ENSP00000422834	9606.ENSP00000412940	0	0	0.800	0	0.800
FREM1	FREM2	9606.ENSP00000412940	9606.ENSP00000280481	0	0.292	0.900	0	0.926
FREM1	NPNT	9606.ENSP00000412940	9606.ENSP00000389252	0	0	0.800	0	0.800
FREM2	NPNT	9606.ENSP00000280481	9606.ENSP00000389252	0	0	0.800	0	0.800
GP1BA	VWF	9606.ENSP00000329380	9606.ENSP00000261405	0	0.961	0.500	0	0.979
GP1BA	GP9	9606.ENSP00000329380	9606.ENSP00000303942	0	0.483	0.900	0	0.946
GP1BA	GP5	9606.ENSP00000329380	9606.ENSP00000383931	0	0.292	0.900	0	0.926
GP1BA	GP1BB	9606.ENSP00000329380	9606.ENSP00000383382	0	0.483	0.900	0	0.946
GP1BB	GP9	9606.ENSP00000383382	9606.ENSP00000303942	0	0.292	0.900	0	0.926
GP1BB	GP5	9606.ENSP00000383382	9606.ENSP00000383931	0	0	0.900	0	0.900
GP5	GP9	9606.ENSP00000383931	9606.ENSP00000303942	0	0.292	0.900	0	0.926
ITGA1	ITGB4	9606.ENSP00000282588	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGA1	ITGB8	9606.ENSP00000282588	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA1	ITGAV	9606.ENSP00000282588	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA1	ITGB7	9606.ENSP00000282588	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGA1	ITGA8	9606.ENSP00000282588	9606.ENSP00000367316	0	0	0.720	0	0.720
ITGA1	ITGA5	9606.ENSP00000282588	9606.ENSP00000293379	0	0	0.900	0	0.900
ITGA1	ITGA4	9606.ENSP00000282588	9606.ENSP00000380227	0	0	0.900	0	0.900
ITGA1	ITGB6	9606.ENSP00000282588	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGA1	ITGB5	9606.ENSP00000282588	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGA1	ITGA11	9606.ENSP00000282588	9606.ENSP00000327290	0	0	0.900	0	0.900
ITGA1	ITGA3	9606.ENSP00000282588	9606.ENSP00000315190	0	0	0.900	0	0.900
ITGA1	ITGA10	9606.ENSP00000282588	9606.ENSP00000358310	0	0	0.900	0	0.900
ITGA1	ITGB3	9606.ENSP00000282588	9606.ENSP00000452786	0	0	0.900	0	0.900
ITGA1	ITGA2	9606.ENSP00000282588	9606.ENSP00000296585	0	0	0.900	0	0.900
ITGA1	ITGB1	9606.ENSP00000282588	9606.ENSP00000379350	0	0.457	0.900	0	0.943
ITGA10	ITGB4	9606.ENSP00000358310	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGA10	ITGB8	9606.ENSP00000358310	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA10	ITGAV	9606.ENSP00000358310	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA10	ITGB7	9606.ENSP00000358310	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGA10	ITGB6	9606.ENSP00000358310	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGA10	ITGA5	9606.ENSP00000358310	9606.ENSP00000293379	0	0	0.900	0	0.900
ITGA10	ITGB5	9606.ENSP00000358310	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGA10	ITGA2	9606.ENSP00000358310	9606.ENSP00000296585	0	0	0.900	0	0.900
ITGA10	ITGA3	9606.ENSP00000358310	9606.ENSP00000315190	0	0	0.900	0	0.900
ITGA10	ITGA11	9606.ENSP00000358310	9606.ENSP00000327290	0	0	0.900	0	0.900
ITGA10	ITGA8	9606.ENSP00000358310	9606.ENSP00000367316	0	0	0.720	0	0.720
ITGA10	ITGA4	9606.ENSP00000358310	9606.ENSP00000380227	0	0	0.900	0	0.900
ITGA10	ITGB3	9606.ENSP00000358310	9606.ENSP00000452786	0	0	0.900	0	0.900
ITGA10	ITGB1	9606.ENSP00000358310	9606.ENSP00000379350	0	0.292	0.900	0	0.926
ITGA11	ITGB4	9606.ENSP00000327290	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGA11	ITGB8	9606.ENSP00000327290	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA11	ITGAV	9606.ENSP00000327290	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA11	ITGB7	9606.ENSP00000327290	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGA11	ITGB6	9606.ENSP00000327290	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGA11	ITGA5	9606.ENSP00000327290	9606.ENSP00000293379	0	0	0.900	0	0.900
ITGA11	ITGB5	9606.ENSP00000327290	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGA11	ITGA2	9606.ENSP00000327290	9606.ENSP00000296585	0	0	0.900	0	0.900
ITGA11	ITGA3	9606.ENSP00000327290	9606.ENSP00000315190	0	0	0.900	0	0.900
ITGA11	ITGA8	9606.ENSP00000327290	9606.ENSP00000367316	0	0	0.720	0	0.720
ITGA11	ITGA4	9606.ENSP00000327290	9606.ENSP00000380227	0	0	0.900	0	0.900
ITGA11	ITGB3	9606.ENSP00000327290	9606.ENSP00000452786	0	0	0.900	0	0.900
ITGA11	ITGB1	9606.ENSP00000327290	9606.ENSP00000379350	0	0	0.900	0	0.900
ITGA2	ITGB4	9606.ENSP00000296585	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGA2	ITGB8	9606.ENSP00000296585	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA2	ITGAV	9606.ENSP00000296585	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA2	ITGB7	9606.ENSP00000296585	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGA2	ITGB6	9606.ENSP00000296585	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGA2	ITGA5	9606.ENSP00000296585	9606.ENSP00000293379	0	0	0.900	0	0.900
ITGA2	ITGB5	9606.ENSP00000296585	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGA2	ITGA8	9606.ENSP00000296585	9606.ENSP00000367316	0	0	0.720	0	0.720
ITGA2	ITGA4	9606.ENSP00000296585	9606.ENSP00000380227	0	0	0.900	0	0.900
ITGA2	ITGB3	9606.ENSP00000296585	9606.ENSP00000452786	0	0	0.900	0	0.900
ITGA2	ITGA3	9606.ENSP00000296585	9606.ENSP00000315190	0	0	0.900	0	0.900
ITGA2	ITGB1	9606.ENSP00000296585	9606.ENSP00000379350	0	0.457	0.900	0	0.943
ITGA2B	ITGAV	9606.ENSP00000262407	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA2B	ITGB1	9606.ENSP00000262407	9606.ENSP00000379350	0	0	0.800	0	0.800
ITGA2B	ITGB3	9606.ENSP00000262407	9606.ENSP00000452786	0	0.960	0.900	0	0.995
ITGA3	ITGB4	9606.ENSP00000315190	9606.ENSP00000200181	0	0.292	0.720	0	0.793
ITGA3	ITGB8	9606.ENSP00000315190	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA3	ITGAV	9606.ENSP00000315190	9606.ENSP00000261023	0	0	0.900	0	0.900
ITGA3	ITGB7	9606.ENSP00000315190	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGA3	ITGB6	9606.ENSP00000315190	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGA3	ITGA5	9606.ENSP00000315190	9606.ENSP00000293379	0	0	0.900	0	0.900
ITGA3	ITGB5	9606.ENSP00000315190	9606.ENSP00000296181	0	0.292	0.900	0	0.926
ITGA3	ITGA8	9606.ENSP00000315190	9606.ENSP00000367316	0	0	0.720	0	0.720
ITGA3	ITGA4	9606.ENSP00000315190	9606.ENSP00000380227	0	0	0.900	0	0.900
ITGA3	ITGB3	9606.ENSP00000315190	9606.ENSP00000452786	0	0	0.900	0	0.900
ITGA3	ITGB1	9606.ENSP00000315190	9606.ENSP00000379350	0	0.457	0.900	0	0.943
ITGA4	ITGB4	9606.ENSP00000380227	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGA4	ITGB8	9606.ENSP00000380227	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGA4	ITGAV	9606.ENSP00000380227	9606.ENSP00000261023	0	0.226	0.900	0	0.919
ITGA4	ITGB7	9606.ENSP00000380227	9606.ENSP00000267082	0	0.967	0.900	0	0.996
