"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ERBB3","m = 0.00306 
 p = 0.78195","m = 0.00293 
 p = 0.71732","m = 0.00360 
 p = 0.70986","m = 0.00096 
 p = 0.18326","m = 0.00333 
 p = 0.54054","m = 0.00111 
 p = 0.16636","m = 0.00923 
 p = 3.40587","m = 0.28188 
 p = 34.41558","m = 0.00656 
 p = 2.04821","m = 0.00102 
 p = 0.21001","m = 0.00165 
 p = 0.22871","m = 0.00499 
 p = 0.64760"
"PIK3R3","m = 0.07685 
 p = 18.47270","m = 0.03066 
 p = 8.27120","m = 0.00938 
 p = 1.90286","m = 0.33923 
 p = 40.92316","m = 0.05548 
 p = 9.03475","m = 0.00742 
 p = 1.15017","m = 0.02463 
 p = 5.58184","m = 0.01118 
 p = 2.34068","m = 0.01452 
 p = 3.48196","m = 0.02699 
 p = 5.40777","m = 0.00910 
 p = 1.43648","m = 0.00651 
 p = 0.80950"
"ERBB4","m = 1.00000 
 p = 89.95012","m = 0.70660 
 p = 82.13203","m = 0.04120 
 p = 6.11640","m = 0.00748 
 p = 0.93609","m = 0.07872 
 p = 9.34363","m = 0.02185 
 p = 2.59673","m = 0.20508 
 p = 27.62535","m = 0.05884 
 p = 6.94654","m = 0.06041 
 p = 11.43847","m = 0.01891 
 p = 2.32956","m = 0.00605 
 p = 0.75034","m = 0.03413 
 p = 3.50783"
"SHC1","m = 0.01560 
 p = 5.27107","m = 0.00612 
 p = 1.94903","m = 0.03020 
 p = 6.44453","m = 0.05806 
 p = 10.79883","m = 0.18858 
 p = 31.66023","m = 0.01801 
 p = 3.16465","m = 0.03253 
 p = 11.25828","m = 0.01450 
 p = 2.73331","m = 0.04754 
 p = 13.47093","m = 0.02396 
 p = 5.46805","m = 0.01686 
 p = 2.82883","m = 0.00464 
 p = 0.53967"
"NRG1","m = 0.01856 
 p = 4.23428","m = 0.01539 
 p = 3.62173","m = 0.02941 
 p = 4.74738","m = 0.01866 
 p = 2.04783","m = 0.04436 
 p = 4.63320","m = 0.00778 
 p = 0.99911","m = 0.01938 
 p = 4.82498","m = 0.05434 
 p = 7.14286","m = 0.02621 
 p = 6.63305","m = 0.01808 
 p = 2.98098","m = 0.00628 
 p = 0.85868","m = 0.12755 
 p = 11.11711"
"MAPK3","m = 0.00404 
 p = 1.23282","m = 0.00244 
 p = 0.68533","m = 0.03190 
 p = 5.64992","m = 0.13288 
 p = 21.53834","m = 0.06577 
 p = 12.97297","m = 0.03559 
 p = 5.39807","m = 0.06356 
 p = 15.98865","m = 0.02129 
 p = 3.54878","m = 0.01424 
 p = 4.60060","m = 0.02544 
 p = 5.34749","m = 0.01225 
 p = 2.09453","m = 0.00461 
 p = 0.53967"
"EGFR","m = 0.11629 
 p = 25.20311","m = 0.00254 
 p = 0.70578","m = 0.43884 
 p = 50.98910","m = 0.08896 
 p = 12.34098","m = 0.01596 
 p = 2.85714","m = 0.15340 
 p = 18.74504","m = 0.25783 
 p = 35.57237","m = 0.06012 
 p = 9.16641","m = 0.40945 
 p = 63.16370","m = 0.01120 
 p = 2.08260","m = 0.00285 
 p = 0.45743","m = 0.00587 
 p = 0.70157"
"GRB2","m = 0.10961 
 p = 26.35970","m = 0.06894 
 p = 16.67086","m = 0.09290 
 p = 15.92119","m = 0.08637 
 p = 14.45040","m = 0.11396 
 p = 19.92278","m = 0.07242 
 p = 10.21579","m = 0.08828 
 p = 20.24598","m = 0.08185 
 p = 12.45847","m = 0.16398 
 p = 37.89192","m = 0.42037 
 p = 56.05530","m = 0.14162 
 p = 19.35238","m = 0.20395 
 p = 21.64058"
"ERBB2","m = 0.07215 
 p = 18.79506","m = 0.05614 
 p = 13.86293","m = 0.02543 
 p = 4.78433","m = 0.01393 
 p = 2.63640","m = 0.00693 
 p = 1.15830","m = 0.01044 
 p = 1.69610","m = 0.03242 
 p = 9.55535","m = 0.06042 
 p = 9.36273","m = 0.01117 
 p = 4.30124","m = 0.00557 
 p = 1.26784","m = 0.01011 
 p = 1.61705","m = 0.00614 
 p = 0.75553"
"SRC","m = 0.00978 
 p = 3.24977","m = 0.00384 
 p = 1.00834","m = 0.02937 
 p = 5.85491","m = 0.00122 
 p = 0.25094","m = 0.01006 
 p = 1.77606","m = 0.02170 
 p = 3.06043","m = 0.01772 
 p = 6.90634","m = 0.04069 
 p = 6.13108","m = 0.02297 
 p = 7.62565","m = 0.02698 
 p = 5.62750","m = 0.00341 
 p = 0.69015","m = 0.00341 
 p = 0.43173"
