,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
PIK3R3,0.92691445,0.037699275928582146,0.006733275140552602,0.00047409962369595547,0.36863849352423284,0.013311022393491734,0.0002265172845416517,0.00365136939478913,0.0006946021177907502,0.001342566954759945,0.0038756706449048356,0.0003470032985683391,0.0001399955600178441
SHC1,0.870796,0.002182843636867671,0.00031687399401466145,0.005168961613797204,0.016648235062035194,0.15854114040904982,0.001513230621603305,0.009723516341471514,0.0010526862357748993,0.017006163176766002,0.0034790019573290227,0.0012667284722829857,6.643928088854921e-05
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
ERBB4,0.8873383,2.3885565608430217,1.5410705339214132,0.006692246397127647,0.00018581002514415183,0.01953215121532499,0.0015063289987703899,0.1504406209474706,0.010853467508587943,0.018350262782396022,0.0011698260368173052,0.00012052015085052827,0.003179458250918391
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
NCK1,0.4100255,0.04408796610832941,0.02606790349036682,0.050579189314948786,0.09036693772382734,0.09259418055817886,0.012159472965049165,0.08109591835043627,0.023079104980325022,0.19800997189842884,0.05755127109122129,0.054211374667911344,0.07375911146772272
PIK3CB,0.38062125,0.1364336877192106,0.11967782792391334,0.027882794346827004,0.02810412898117506,0.0390653116822703,0.005705877561546556,0.03397641524799387,0.02201572732509929,0.16422496965894257,0.11681343826637318,0.016492345954736448,0.06710256297589634
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
GAB1,0.6425796,0.4920700029207635,0.8186040393432693,0.11880536443325142,0.01020246164607737,0.15361317566462926,0.08967053993318155,0.13049531834466116,0.2990316422062675,0.21045396942894762,0.045917631952718,0.002077061091006716,0.006070990193810131
PIK3R1,0.46614665,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
EGFR,0.7670602,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
NRG1,0.81580424,0.0020866151293377584,0.0014803342001591662,0.0037071989352499917,0.001014938764819437,0.005457274586997897,0.00020627851096735437,0.0024836132392752476,0.010307753724711282,0.004615741977780677,0.0014309328557514224,0.0001431019433681602,0.03765445407248804
PTK2,0.3435817,0.5571818967772352,0.5126059166792899,0.5116697544544015,0.26872962115858035,0.5364340666178111,0.4829555846942427,0.3859880460019143,0.613455614342282,0.6095284473732623,0.16327965833275396,0.001643349384042513,0.1519009517902821
HRAS,0.6538075,0.000487851624127095,0.0007085249505366321,0.0008618577958321193,0.012328172992569454,0.009292221259196293,0.003270699683638333,0.005265849639812277,0.001564083510643584,0.0009027888635368596,0.0015146284409547424,0.0013642708668762567,7.07504650627158e-05
CBL,0.6297723,0.03082027967149978,0.013606634129888329,0.0136179213589965,0.011687756185273082,0.02507352151235558,0.034212801252961444,0.008573069520005666,0.017097246805298765,0.11304340295215395,0.15261227643759198,0.022805275128694385,0.014065849768169752
