#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0.950	0	0	0.950
ABL1	ABL2	9606.ENSP00000361423	9606.ENSP00000427562	0	0.457	0.900	0	0.943
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0.561	0.500	0	0.771
ARAF	MAP2K2	9606.ENSP00000290277	9606.ENSP00000262948	0	0.727	0.400	0	0.829
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0.709	0.400	0	0.817
ARAF	HRAS	9606.ENSP00000290277	9606.ENSP00000407586	0	0.639	0.500	0	0.811
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0.461	0.500	0	0.719
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000401888	0	0.615	0.900	0	0.959
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000419060	0	0.654	0.900	0	0.963
AREG	EGFR	9606.ENSP00000379097	9606.ENSP00000275493	0	0.662	0.400	0	0.788
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0.457	0.500	0	0.716
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0.662	0.500	0	0.823
BRAF	MAP2K2	9606.ENSP00000419060	9606.ENSP00000262948	0	0.697	0.400	0	0.810
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0.542	0.500	0	0.761
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0.972	0.400	0	0.982
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0.537	0.500	0	0.759
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0.664	0.900	0	0.964
