name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
PTK2,0.4271191465697984,0.962230215827338,0.9428571428571428,0.3901384083044983,1.0,0.1678200692041522
ITGB1,0.3032276374120662,0.9608313349320544,1.0,0.3570261437908497,0.4838273061706115,0.1846635367762128
ITGB3,0.17102365705021652,0.9592326139088728,0.8,0.4107505070993915,0.3156798778371625,0.2102962603205439
ACTG1,0.15763838909054537,0.9494404476418866,0.4857142857142857,0.38235294117647056,0.5483098493787743,0.2121212121212121
ACTB,0.15763838909054537,0.9494404476418866,0.4857142857142857,0.38235294117647056,0.5483098493787743,0.2121212121212121
ITGB5,0.036822521706195,0.9564348521183054,0.6285714285714286,0.5025575447570332,0.19785520927326994,0.2826086956521739
ITGB7,0.027043522865682453,0.9562350119904076,0.5714285714285714,0.5364145658263306,0.1497882973554522,0.295970695970696
ITGB6,0.0183126127704561,0.9550359712230216,0.5428571428571428,0.5470588235294118,0.10925244672728535,0.3111111111111111
ITGB4,0.018701447988078452,0.9550359712230216,0.5428571428571428,0.5470588235294118,0.10439369750815576,0.3111111111111111
ITGB8,0.013319871160839,0.9544364508393284,0.4857142857142857,0.5898692810457518,0.09294093149163601,0.3396057347670251
SRC,0.14859336275778076,0.9484412470023982,0.34285714285714286,0.27828054298642535,0.5732282918025959,0.166056166056166
TLN1,0.11972131971506415,0.9530375699440446,0.34285714285714286,0.49321266968325794,0.27309641146664815,0.2752403846153846
GRB2,0.2848207809663161,0.954836131095124,0.5142857142857142,0.1826625386996904,0.3987991948358437,0.1076923076923077
ITGA5,0.0345021444853269,0.952238209432454,0.6571428571428571,0.44485294117647056,0.06274727562990214,0.2643442622950819
ITGA11,0.0,0.9488409272581934,0.42857142857142855,0.6047794117647058,0.0,0.3920454545454545
ITGA3,0.0,0.9488409272581934,0.42857142857142855,0.6047794117647058,0.0,0.3920454545454545
ITGA10,0.0,0.9488409272581934,0.42857142857142855,0.6047794117647058,0.0,0.3920454545454545
ITGA2,0.0,0.9488409272581934,0.42857142857142855,0.6047794117647058,0.0,0.3920454545454545
ITGA8,0.0,0.9488409272581934,0.42857142857142855,0.6047794117647058,0.0,0.3920454545454545
ITGA4,0.0017129230831471498,0.9500399680255796,0.45714285714285713,0.5813148788927337,0.0072881238286943845,0.3707983193277311
