#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0.097	0.900	0	0.905
ACTB	ITGB8	9606.ENSP00000494750	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTB	VASP	9606.ENSP00000494750	9606.ENSP00000245932	0	0.219	0.900	0	0.918
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0.178	0.900	0	0.914
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTB	ITGB6	9606.ENSP00000494750	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTB	ZYX	9606.ENSP00000494750	9606.ENSP00000324422	0	0.124	0.900	0	0.908
ACTB	PARVA	9606.ENSP00000494750	9606.ENSP00000334008	0	0.488	0.900	0	0.946
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0.345	0.900	0	0.931
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTB	PARVB	9606.ENSP00000494750	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTB	PARVG	9606.ENSP00000494750	9606.ENSP00000391583	0	0	0.900	0	0.900
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTG1	VCL	9606.ENSP00000458162	9606.ENSP00000211998	0	0.223	0.900	0	0.918
ACTG1	ITGB8	9606.ENSP00000458162	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTG1	VASP	9606.ENSP00000458162	9606.ENSP00000245932	0	0.528	0.900	0	0.950
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0.900	0	0.900
ACTG1	ITGB7	9606.ENSP00000458162	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTG1	MYL9	9606.ENSP00000458162	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTG1	ITGB6	9606.ENSP00000458162	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTG1	ITGB5	9606.ENSP00000458162	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTG1	ZYX	9606.ENSP00000458162	9606.ENSP00000324422	0	0	0.900	0	0.900
ACTG1	PARVA	9606.ENSP00000458162	9606.ENSP00000334008	0	0	0.900	0	0.900
ACTG1	ACTN1	9606.ENSP00000458162	9606.ENSP00000377941	0	0	0.900	0	0.900
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTG1	PARVB	9606.ENSP00000458162	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTG1	PARVG	9606.ENSP00000458162	9606.ENSP00000391583	0	0	0.900	0	0.900
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTG1	CDC42	9606.ENSP00000458162	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0.933	0.900	0	0.993
ACTN1	ITGA5	9606.ENSP00000377941	9606.ENSP00000293379	0	0	0.900	0	0.900
ACTN1	ZYX	9606.ENSP00000377941	9606.ENSP00000324422	0	0.457	0.900	0	0.943
ACTN1	PARVB	9606.ENSP00000377941	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTN1	ITGB1	9606.ENSP00000377941	9606.ENSP00000379350	0	0.292	0.900	0	0.926
ACTN4	VCL	9606.ENSP00000252699	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN4	ITGA5	9606.ENSP00000252699	9606.ENSP00000293379	0	0	0.900	0	0.900
ACTN4	ITGB1	9606.ENSP00000252699	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTN4	ZYX	9606.ENSP00000252699	9606.ENSP00000324422	0	0.140	0.900	0	0.910
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ARHGAP35	ARHGAP5	9606.ENSP00000500409	9606.ENSP00000371897	0	0	0.900	0	0.900
ARHGAP35	RHOA	9606.ENSP00000500409	9606.ENSP00000400175	0	0.629	0.700	0	0.883
BAD	BCL2	9606.ENSP00000378040	9606.ENSP00000381185	0	0.615	0.900	0	0.959
BCAR1	PXN	9606.ENSP00000391669	9606.ENSP00000267257	0	0.578	0.500	0	0.780
BCAR1	CRK	9606.ENSP00000391669	9606.ENSP00000300574	0	0.457	0.900	0	0.943
BCAR1	PTK2	9606.ENSP00000391669	9606.ENSP00000341189	0	0.457	0.900	0	0.943
BCAR1	CRKL	9606.ENSP00000391669	9606.ENSP00000346300	0	0.457	0.900	0	0.943
BCAR1	RAPGEF1	9606.ENSP00000391669	9606.ENSP00000361264	0	0.292	0.800	0	0.852
BCAR1	SRC	9606.ENSP00000391669	9606.ENSP00000362680	0	0.483	0.500	0	0.730
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0.292	0.900	0	0.926
BIRC2	XIAP	9606.ENSP00000477613	9606.ENSP00000360242	0	0.571	0.900	0	0.955
BIRC3	XIAP	9606.ENSP00000263464	9606.ENSP00000360242	0	0.457	0.900	0	0.943
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0.457	0.500	0	0.716
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0.542	0.500	0	0.761
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0.972	0.400	0	0.982
BRAF	RAP1A	9606.ENSP00000419060	9606.ENSP00000358723	0	0.501	0.500	0	0.740
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0.664	0.900	0	0.964
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0.712	0.500	0	0.850
CAV1	CAV2	9606.ENSP00000339191	9606.ENSP00000222693	0	0.457	0.900	0	0.943
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0.523	0.800	0	0.900
CAV1	RAC1	9606.ENSP00000339191	9606.ENSP00000348461	0	0.457	0.500	0	0.716
CAV1	CAV3	9606.ENSP00000339191	9606.ENSP00000341940	0	0.421	0.900	0	0.939
CAV2	EGFR	9606.ENSP00000222693	9606.ENSP00000275493	0	0.523	0.800	0	0.900
