"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"EGF","m = 0.20161 
 p = 34.74549","m = 0.14328 
 p = 25.93467","m = 0.00285 
 p = 0.62222","m = 0.00181 
 p = 0.35968","m = 0.00261 
 p = 0.30888","m = 0.00130 
 p = 0.19887","m = 0.00953 
 p = 2.74361","m = 0.00871 
 p = 1.91785","m = 0.00936 
 p = 2.12699","m = 0.00547 
 p = 1.00338","m = 0.00154 
 p = 0.25680","m = 0.00490 
 p = 0.43173"
"IGF1","m = 0.00661 
 p = 1.58568","m = 0.00155 
 p = 0.33559","m = 0.26425 
 p = 26.84365","m = 0.00164 
 p = 0.24866","m = 0.19886 
 p = 23.70656","m = 0.00380 
 p = 0.44458","m = 0.03260 
 p = 6.62252","m = 0.03019 
 p = 3.85080","m = 0.59469 
 p = 61.57240","m = 0.08404 
 p = 11.22389","m = 0.00569 
 p = 0.78645","m = 0.00677 
 p = 0.64760"
"SGK1","m = 0.01623 
 p = 3.40006","m = 0.01702 
 p = 3.48907","m = 0.03160 
 p = 4.70465","m = 0.25160 
 p = 28.38447","m = 0.06888 
 p = 10.34749","m = 0.02802 
 p = 3.31380","m = 0.51097 
 p = 52.69631","m = 0.02887 
 p = 3.36756","m = 0.03512 
 p = 7.75169","m = 0.13537 
 p = 18.21647","m = 0.04246 
 p = 5.24035","m = 0.52142 
 p = 42.03994"
"EGFR","m = 0.13939 
 p = 25.20311","m = 0.00304 
 p = 0.70578","m = 0.52602 
 p = 50.98910","m = 0.10663 
 p = 12.34098","m = 0.01914 
 p = 2.85714","m = 0.18387 
 p = 18.74504","m = 0.30905 
 p = 35.57237","m = 0.07206 
 p = 9.16641","m = 0.49079 
 p = 63.16370","m = 0.01343 
 p = 2.08260","m = 0.00341 
 p = 0.45743","m = 0.00704 
 p = 0.70157"
"IRS1","m = 0.04932 
 p = 11.13676","m = 0.06737 
 p = 14.12878","m = 0.07848 
 p = 11.10137","m = 0.00506 
 p = 0.79845","m = 0.00752 
 p = 1.08108","m = 0.01984 
 p = 2.41508","m = 0.01519 
 p = 4.91958","m = 0.08053 
 p = 9.84597","m = 0.12901 
 p = 25.33480","m = 0.00299 
 p = 0.64364","m = 0.00241 
 p = 0.40928","m = 0.00506 
 p = 0.43173"
"GRB2","m = 0.13138 
 p = 26.35970","m = 0.08264 
 p = 16.67086","m = 0.11136 
 p = 15.92119","m = 0.10353 
 p = 14.45040","m = 0.13660 
 p = 19.92278","m = 0.08681 
 p = 10.21579","m = 0.10581 
 p = 20.24598","m = 0.09811 
 p = 12.45847","m = 0.19656 
 p = 37.89192","m = 0.50388 
 p = 56.05530","m = 0.16975 
 p = 19.35238","m = 0.24447 
 p = 21.64058"
"FOXO1","m = 0.17856 
 p = 31.94441","m = 0.21334 
 p = 36.08620","m = 0.48530 
 p = 48.30249","m = 0.22006 
 p = 24.01049","m = 0.35586 
 p = 39.76834","m = 0.08707 
 p = 9.19373","m = 0.26977 
 p = 32.16651","m = 0.81315 
 p = 64.54243","m = 1.00000 
 p = 84.68568","m = 0.11745 
 p = 15.87524","m = 0.30817 
 p = 27.12062","m = 0.17698 
 p = 15.48840"
"CDK2","m = 0.00645 
 p = 1.65102","m = 0.00306 
 p = 0.68166","m = 0.01361 
 p = 2.16435","m = 0.03817 
 p = 5.96099","m = 0.01855 
 p = 3.08880","m = 0.01137 
 p = 1.50488","m = 0.02122 
 p = 5.58184","m = 0.00991 
 p = 1.26850","m = 0.00847 
 p = 2.20577","m = 0.01111 
 p = 2.00482","m = 0.01447 
 p = 1.97416","m = 0.00728 
 p = 0.70157"
"FOXO4","m = 0.00246 
 p = 0.61641","m = 0.00158 
 p = 0.35499","m = 0.00226 
 p = 0.36000","m = 0.00938 
 p = 1.54215","m = 0.00207 
 p = 0.46332","m = 0.00229 
 p = 0.32698","m = 0.00407 
 p = 1.13529","m = 0.00451 
 p = 0.63425","m = 0.00183 
 p = 0.45691","m = 0.00479 
 p = 0.89060","m = 0.00634 
 p = 0.82257","m = 0.00167 
 p = 0.16190"
"CDKN1B","m = 0.01221 
 p = 3.12997","m = 0.01392 
 p = 3.18966","m = 0.02928 
 p = 4.60758","m = 0.07739 
 p = 11.43531","m = 0.05464 
 p = 9.49807","m = 0.05660 
 p = 7.17543","m = 0.02928 
 p = 7.47398","m = 0.03906 
 p = 5.13440","m = 0.01910 
 p = 5.49866","m = 0.06515 
 p = 10.80971","m = 0.11221 
 p = 13.80307","m = 0.01947 
 p = 1.88883"
