name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
HRAS,0.3689692234144627,0.8977272727272727,0.7,0.6875,1.0,0.3579545454545454
RAF1,0.2833231860563416,0.8721590909090909,1.0,0.5,0.5892597968069666,0.3878787878787879
PIK3R1,0.3437267727070016,0.8977272727272727,0.9,0.45999999999999996,0.7547169811320755,0.275
KRAS,0.1349110249214307,0.8778409090909091,0.7,0.65,0.4107402031930334,0.4166666666666667
BRAF,0.0514683473466641,0.8607954545454546,0.8,0.611111111111111,0.23076923076923078,0.4740740740740741
CCND1,0.5238095238095238,0.8636363636363638,0.4,0.48,0.3251088534107402,0.4307692307692308
CREBBP,0.5194805194805194,0.8585858585858586,0.4,0.45999999999999996,0.32075471698113206,0.45
SOS1,0.1762793686831147,0.8863636363636364,0.5,0.5333333333333333,0.5384615384615384,0.3166666666666666
CDK2,0.3975468975468976,0.8434343434343434,0.8,0.28888888888888886,0.22641509433962265,0.3434343434343434
MAPK1,0.0666822148758283,0.8267045454545454,0.6,0.5714285714285714,0.15384615384615385,0.5476190476190477
PIK3CA,0.0848261678776767,0.875,0.6,0.5142857142857143,0.24963715529753266,0.3839285714285714
EGFR,0.093528416317178,0.8522727272727273,0.4,0.52,0.3367198838896952,0.4
FOXO4,0.2467532467532467,0.8131313131313131,0.4,0.42000000000000004,0.11756168359941944,0.5
EP300,0.1536796536796536,0.8131313131313131,0.6,0.31428571428571433,0.10304789550072568,0.5
IRS1,0.1715180551613954,0.84375,0.4,0.4,0.3251088534107402,0.32
GRB2,0.0921923918086769,0.8579545454545454,0.4,0.48,0.2888243831640058,0.3294117647058823
CDKN1A,0.0728715728715728,0.8232323232323232,0.5,0.4166666666666667,0.07547169811320754,0.4696969696969697
FOXO3,0.0627705627705627,0.8080808080808082,0.5,0.3833333333333333,0.06531204644412192,0.5370370370370371
INSR,0.0793051060253193,0.8068181818181818,0.5,0.3166666666666667,0.2772133526850508,0.3636363636363636
FOXO1,0.0245310245310245,0.803030303030303,0.4,0.44000000000000006,0.03193033381712627,0.6
CDKN1B,0.0187590187590187,0.8131313131313131,0.4,0.45999999999999996,0.023222060957910014,0.56
SGK1,0.1209677419354838,0.7954545454545454,0.2,0.4,0.18287373004354138,0.3888888888888889
EGF,0.0463317957334606,0.7869318181818182,0.2,0.3333333333333333,0.22060957910014514,0.5
CCNB2,0.0584415584415584,0.7626262626262625,0.3,0.425,0.06095791001451379,0.4772727272727273
IGF1R,0.013893628195137,0.78125,0.3,0.375,0.06676342525399129,0.5277777777777778
CCNB1,0.119047619047619,0.7626262626262625,0.3,0.3,0.06676342525399129,0.375
IGF1,0.005198732718894,0.7357954545454546,0.3,0.325,0.013062409288824383,0.53125
INS,0.005198732718894,0.7357954545454546,0.3,0.325,0.013062409288824383,0.53125
USP7,0.1774891774891775,0.7272727272727272,0.2,0.1333333333333333,0.08272859216255443,0.3333333333333333
