,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
SOS1,0.6322723031044006,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
IRS1,0.7648139595985413,0.012167973451290228,0.021087735560439653,0.01929969662477769,8.949410908406037e-05,0.0001800850235127114,0.00106131044088117,0.0016557747390660456,0.017565595189166266,0.07240811772133884,4.259027145053657e-05,2.1831217599272888e-05,4.837272766147249e-05
RAF1,0.4998635947704315,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
PIK3CA,0.44200074672698975,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
EGF,0.9137204885482788,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
PIK3R1,0.46614664793014526,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
CCNB1,0.6545730829238892,1.0613707967498661e-05,5.624881460086769e-06,1.1160475304478095e-05,2.4293398851507732e-05,8.441492785703262e-05,8.077001416372218e-06,5.16154830649763e-05,2.3714472615387608e-05,1.3410423067783546e-05,0.00017885585525130156,0.000124547043249481,0.0
CDKN1A,0.6390514969825745,0.0012137343074221437,0.0015984454534892787,0.008808850108517244,0.0944235787487389,0.02919314893746468,0.01744943702130763,0.09071483951530708,0.003983514121843586,0.04819167657162949,0.0515454778446226,0.008920750729383909,0.00012266224966908686
FOXO3,0.4166237711906433,0.44155033596074383,0.5140974265028513,0.5113884728379098,0.09521723138071785,0.2744070737978666,0.1411103363486989,0.5022155277663621,0.32646082332219933,0.9237208872756487,0.4473104607042222,0.05711091852869252,0.2818789117347853
SGK1,0.7966848015785217,0.0012223599226860711,0.0013155304373660814,0.0032931079369635094,0.15820688928045215,0.015789347219651268,0.0020572500329014086,0.59650123514087,0.0021540782794387853,0.006030616007847393,0.05462798960812612,0.004929070962383242,0.4856068451084192
EGFR,0.7670602202415466,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
BRAF,0.2725507915019989,0.4762098359749023,0.5211760445159556,0.28148966608180115,0.07934042190463864,0.29992088995384897,0.1439422668220402,0.21024618187149174,0.19900337622195202,0.46265130124167975,0.2087872756168212,0.11043510557144184,0.17428265187911451
FOXO4,0.6716989874839783,3.353773910250498e-05,1.2407691992132109e-05,1.8031125432399463e-05,0.00032037166164499797,2.1197414565040337e-05,1.6600477956096146e-05,0.00010235610091133623,6.338131730198609e-05,1.8527229174640545e-05,9.450016923071146e-05,0.00011561395821366575,5.984035784482184e-06
HRAS,0.653807520866394,0.000487851624127095,0.0007085249505366321,0.0008618577958321193,0.012328172992569454,0.009292221259196293,0.003270699683638333,0.005265849639812277,0.001564083510643584,0.0009027888635368596,0.0015146284409547424,0.0013642708668762567,7.07504650627158e-05
INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCND1,0.6613960266113281,0.006874157536738928,0.004241930676979596,0.0010282239674407948,0.02681870983742085,0.02747043334379159,0.011330320823533722,0.0016671808942264282,0.004995986240952802,0.002192336310546981,0.002728093504817034,9.515900701468565e-05,0.00018232307234488496
