#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGAP2	GRM1	9606.ENSP00000449241	9606.ENSP00000282753	0	0	0.900	0	0.900
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0.561	0.500	0	0.771
ARAF	MAP2K2	9606.ENSP00000290277	9606.ENSP00000262948	0	0.727	0.400	0	0.829
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0.709	0.400	0	0.817
ARAF	HRAS	9606.ENSP00000290277	9606.ENSP00000407586	0	0.639	0.500	0	0.811
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0.461	0.500	0	0.719
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000401888	0	0.615	0.900	0	0.959
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000419060	0	0.654	0.900	0	0.963
ATM	CDK2	9606.ENSP00000278616	9606.ENSP00000266970	0	0	0.800	0	0.800
BNIP3	GABARAPL2	9606.ENSP00000357625	9606.ENSP00000037243	0	0	0.900	0	0.900
BNIP3	GABARAP	9606.ENSP00000357625	9606.ENSP00000306866	0	0	0.900	0	0.900
BNIP3	GABARAPL1	9606.ENSP00000357625	9606.ENSP00000411256	0	0	0.900	0	0.900
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0.457	0.500	0	0.716
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0.662	0.500	0	0.823
BRAF	MAP2K2	9606.ENSP00000419060	9606.ENSP00000262948	0	0.697	0.400	0	0.810
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0.542	0.500	0	0.761
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0.972	0.400	0	0.982
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0.537	0.500	0	0.759
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0.664	0.900	0	0.964
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0.712	0.500	0	0.850
CCNB1	CCNB3	9606.ENSP00000256442	9606.ENSP00000365210	0	0	0.900	0	0.900
CCNB1	PLK1	9606.ENSP00000256442	9606.ENSP00000300093	0	0.453	0.720	0	0.840
CCNB1	CCNB2	9606.ENSP00000256442	9606.ENSP00000288207	0	0.724	0.900	0	0.971
CCNB1	CDK2	9606.ENSP00000256442	9606.ENSP00000266970	0	0.961	0	0	0.961
CCNB2	CDK2	9606.ENSP00000288207	9606.ENSP00000266970	0	0.767	0	0	0.767
CCNB2	CDKN1A	9606.ENSP00000288207	9606.ENSP00000384849	0	0.708	0	0	0.708
CCNB2	CCNB3	9606.ENSP00000288207	9606.ENSP00000365210	0	0	0.900	0	0.900
CCND1	CCND2	9606.ENSP00000227507	9606.ENSP00000261254	0	0	0.900	0	0.900
CCND1	CREBBP	9606.ENSP00000227507	9606.ENSP00000262367	0	0.292	0.900	0	0.926
CCND1	CDK2	9606.ENSP00000227507	9606.ENSP00000266970	0	0.587	0.800	0	0.913
CCND1	CDKN1B	9606.ENSP00000227507	9606.ENSP00000228872	0	0.966	0.900	0	0.996
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0.971	0.400	0	0.981
CCND2	CDKN1B	9606.ENSP00000261254	9606.ENSP00000228872	0	0.734	0.900	0	0.972
CCND2	CDKN1A	9606.ENSP00000261254	9606.ENSP00000384849	0	0.734	0.400	0	0.833
CCND2	CDK2	9606.ENSP00000261254	9606.ENSP00000266970	0	0.586	0.800	0	0.913
CDK2	CDKN1B	9606.ENSP00000266970	9606.ENSP00000228872	0	0.967	0.500	0	0.982
CDK2	RBL2	9606.ENSP00000266970	9606.ENSP00000262133	0	0.658	0.500	0	0.821
CDK2	CDKN1A	9606.ENSP00000266970	9606.ENSP00000384849	0	0.708	0.500	0	0.847
