"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"EGF","m = 0.27410 
 p = 34.74549","m = 0.19479 
 p = 25.93467","m = 0.00387 
 p = 0.62222","m = 0.00245 
 p = 0.35968","m = 0.00354 
 p = 0.30888","m = 0.00177 
 p = 0.19887","m = 0.01295 
 p = 2.74361","m = 0.01184 
 p = 1.91785","m = 0.01272 
 p = 2.12699","m = 0.00743 
 p = 1.00338","m = 0.00209 
 p = 0.25680","m = 0.00667 
 p = 0.43173"
"IGF1","m = 0.00898 
 p = 1.58568","m = 0.00211 
 p = 0.33559","m = 0.35925 
 p = 26.84365","m = 0.00223 
 p = 0.24866","m = 0.27035 
 p = 23.70656","m = 0.00516 
 p = 0.44458","m = 0.04433 
 p = 6.62252","m = 0.04104 
 p = 3.85080","m = 0.80850 
 p = 61.57240","m = 0.11425 
 p = 11.22389","m = 0.00773 
 p = 0.78645","m = 0.00921 
 p = 0.64760"
"EPAS1","m = 0.07746 
 p = 13.07312","m = 0.05771 
 p = 9.23968","m = 0.43217 
 p = 36.42751","m = 1.00000 
 p = 66.36782","m = 0.24022 
 p = 24.16988","m = 0.49784 
 p = 36.74816","m = 0.30100 
 p = 32.35572","m = 0.14082 
 p = 12.94171","m = 0.31089 
 p = 38.14401","m = 0.14817 
 p = 15.47466","m = 0.02090 
 p = 1.95410","m = 0.09833 
 p = 6.52995"
"EGFR","m = 0.18951 
 p = 25.20311","m = 0.00413 
 p = 0.70578","m = 0.71514 
 p = 50.98910","m = 0.14497 
 p = 12.34098","m = 0.02602 
 p = 2.85714","m = 0.24998 
 p = 18.74504","m = 0.42016 
 p = 35.57237","m = 0.09796 
 p = 9.16641","m = 0.66725 
 p = 63.16370","m = 0.01825 
 p = 2.08260","m = 0.00464 
 p = 0.45743","m = 0.00957 
 p = 0.70157"
"MKNK1","m = 0.15274 
 p = 24.22077","m = 0.11989 
 p = 18.44476","m = 0.15365 
 p = 15.60320","m = 0.05802 
 p = 6.10623","m = 0.09356 
 p = 10.42471","m = 0.08089 
 p = 6.78917","m = 0.06400 
 p = 10.78524","m = 0.08670 
 p = 8.74358","m = 0.21475 
 p = 32.47203","m = 0.41295 
 p = 38.98612","m = 0.08513 
 p = 7.42717","m = 0.14731 
 p = 9.87588"
"RELA","m = 0.01526 
 p = 2.99928","m = 0.01207 
 p = 2.11473","m = 0.04383 
 p = 5.21676","m = 0.12918 
 p = 13.98958","m = 0.05761 
 p = 7.72201","m = 0.05276 
 p = 5.21450","m = 0.05364 
 p = 11.16367","m = 0.03446 
 p = 3.41287","m = 0.03523 
 p = 6.69608","m = 0.04819 
 p = 6.47921","m = 0.06077 
 p = 5.77401","m = 0.01491 
 p = 1.07933"
"ELOB","m = 0.07282 
 p = 10.24373","m = 0.05137 
 p = 7.74212","m = 0.10466 
 p = 10.60230","m = 0.51834 
 p = 41.26915","m = 0.28483 
 p = 26.79537","m = 0.23350 
 p = 18.00025","m = 0.29394 
 p = 29.89593","m = 0.12326 
 p = 10.46512","m = 0.05295 
 p = 8.94911","m = 0.31708 
 p = 26.51966","m = 0.34311 
 p = 27.40551","m = 0.00672 
 p = 0.48570"
"CDKN1B","m = 0.01660 
 p = 3.12997","m = 0.01893 
 p = 3.18966","m = 0.03981 
 p = 4.60758","m = 0.10521 
 p = 11.43531","m = 0.07429 
 p = 9.49807","m = 0.07695 
 p = 7.17543","m = 0.03981 
 p = 7.47398","m = 0.05311 
 p = 5.13440","m = 0.02597 
 p = 5.49866","m = 0.08858 
 p = 10.80971","m = 0.15255 
 p = 13.80307","m = 0.02647 
 p = 1.88883"
"EGLN3","m = 0.21952 
 p = 28.77088","m = 0.18658 
 p = 25.43548","m = 0.21276 
 p = 19.33650","m = 0.03618 
 p = 4.09034","m = 0.12714 
 p = 13.12741","m = 0.03282 
 p = 2.83480","m = 0.11790 
 p = 16.08325","m = 0.06335 
 p = 6.72002","m = 0.08755 
 p = 14.30597","m = 0.01861 
 p = 2.32956","m = 0.02476 
 p = 2.29516","m = 0.02866 
 p = 1.83486"
"EIF4EBP1","m = 0.02304 
 p = 3.80519","m = 0.01846 
 p = 2.98097","m = 0.04780 
 p = 5.53185","m = 0.04443 
 p = 5.08270","m = 0.04891 
 p = 6.56371","m = 0.03420 
 p = 3.48111","m = 0.09853 
 p = 16.74551","m = 0.02146 
 p = 2.25008","m = 0.08645 
 p = 14.73137","m = 0.08906 
 p = 10.39552","m = 0.02973 
 p = 3.14983","m = 0.01410 
 p = 0.97140"
"RBX1","m = 0.12703 
 p = 20.12807","m = 0.12710 
 p = 19.07975","m = 0.12284 
 p = 12.99917","m = 0.39152 
 p = 34.56751","m = 0.21207 
 p = 21.62162","m = 0.19444 
 p = 16.85581","m = 0.25046 
 p = 30.17975","m = 0.15943 
 p = 13.78738","m = 0.12492 
 p = 21.30140","m = 0.24618 
 p = 25.24210","m = 0.23467 
 p = 20.51601","m = 0.03615 
 p = 2.53643"
"ELOC","m = 0.08983 
 p = 14.27109","m = 0.09063 
 p = 13.40674","m = 0.10768 
 p = 11.76198","m = 0.30527 
 p = 28.45975","m = 0.22485 
 p = 24.01544","m = 0.13608 
 p = 12.43391","m = 0.21902 
 p = 29.32829","m = 0.10250 
 p = 9.58925","m = 0.12900 
 p = 21.00205","m = 0.18892 
 p = 21.37246","m = 0.15625 
 p = 14.36081","m = 0.05306 
 p = 3.61576"
"AKT1","m = 0.03357 
 p = 6.21420","m = 0.03868 
 p = 6.29175","m = 0.04386 
 p = 5.32324","m = 0.08662 
 p = 9.81408","m = 0.06153 
 p = 8.57143","m = 0.04698 
 p = 4.58922","m = 0.04121 
 p = 7.85241","m = 0.04300 
 p = 4.39444","m = 0.10733 
 p = 17.39404","m = 0.07807 
 p = 9.87633","m = 0.05080 
 p = 4.85916","m = 0.02885 
 p = 2.05073"
"HIF1A","m = 0.43009 
 p = 49.63081","m = 0.41214 
 p = 47.27544","m = 0.27939 
 p = 24.92847","m = 0.24987 
 p = 21.57104","m = 0.42762 
 p = 37.52896","m = 0.38645 
 p = 28.98951","m = 0.65840 
 p = 53.26395","m = 0.19456 
 p = 17.09453","m = 0.38821 
 p = 45.86419","m = 0.68191 
 p = 54.15743","m = 0.20965 
 p = 17.18161","m = 0.28441 
 p = 18.51052"
