,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
MTOR,0.4495531916618347,0.07313905157446952,0.055749914447497786,0.034378474475870203,0.006878333308661303,0.023597991512548967,0.01349558260748033,0.018904166421240643,0.0199733377313081,0.10557890657704704,0.029700224373975112,0.009852794556793379,0.010587322128121428
MKNK1,0.7233572602272034,0.060282429390836854,0.03603378664271456,0.03906591660662703,0.005772729085260533,0.015892057345180437,0.008948597483134691,0.011248115446619415,0.012351951170043257,0.11362755588326695,0.26233353926425856,0.010302961225418187,0.023705624281169915
EGLN1,0.43616148829460144,0.15732143493370238,0.14666324390617955,0.028520780843652397,0.06035121217466915,0.024561508005650348,0.0394755177225556,0.06271526146972642,0.020837982092080827,0.06829058846489021,0.020281933641825935,0.007084407210684866,0.03112708373900947
EPAS1,0.7885889410972595,0.01650139078741636,0.008688991183503835,0.25652944614660056,1.0814489902613675,0.09460953671959836,0.2981108280898301,0.15869546286204905,0.029695770869493415,0.19323062643171654,0.03736318271232357,0.0006654317377227983,0.010462894199413026
VHL,0.3935670852661133,0.006005095713484334,0.00590932863046549,0.003993811769610852,0.0014758145453712252,0.007996572289457653,0.0012041112999302186,0.0024450340906515817,0.0024030524702887274,0.014261909466625968,0.011069175255380674,0.004418120195048931,0.0020408584332697725
PDHB,0.44349825382232666,0.010357772237168782,0.008216809031909718,0.004035666748708103,0.022532983830136393,0.010996846204558855,0.011527906554263832,0.025531495079863378,0.004563373462045276,0.015191123300374766,0.0053135352153793934,0.011147555826913009,0.0002091871348349905
PIK3CA,0.44200074672698975,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
EGF,0.9137204885482788,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
PIK3R1,0.46614664793014526,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
EGFR,0.7670602202415466,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
EIF4EBP1,0.57776939868927,0.0014285052497889986,0.0008968871347026029,0.004308866898494389,0.003679916362908217,0.0052316296975124755,0.0019401510905110737,0.026886659023213636,0.0007867114306198295,0.02075102677378332,0.015085891019559466,0.0015257795332867378,0.0002232562113277859
ELOC,0.5539466738700867,0.020888939746849956,0.019798760676407724,0.02063811806813684,0.14156566743936647,0.08799158569468495,0.02757170998442543,0.10466934772967841,0.016015339704645037,0.04414637039566822,0.06579244232720627,0.03656280228365731,0.0031260394255534676
INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELA,0.6982845067977905,0.0007457430498701166,0.00041597448180981817,0.003725732063518345,0.029447751737045228,0.007249217581104588,0.004482759462981621,0.009757501202703312,0.0019163448612195277,0.003844078167115532,0.005088036457210755,0.005717684934181057,0.00026229455367462486
CUL2,0.3805982768535614,0.019269310130584017,0.01947808177924595,0.01486447303294531,0.012286643494055264,0.03576593049244531,0.006004506544630858,0.014771127260960604,0.008736557648715495,0.04217651949138065,0.028237269671700992,0.011230762941804211,0.00879851788587977
CDKN1B,0.6628744602203369,0.0008464385802929368,0.0009839234141232765,0.002988642058722298,0.0196044313069564,0.01149707205277152,0.008996952349574556,0.004848514742578328,0.004443174688811029,0.0023269501814217534,0.015602688730917432,0.03431158137162667,0.0008147715199366815
IGF1,0.9027785658836365,0.0002320531930708158,1.154705678139615e-05,0.15714123087969656,9.019732912100475e-06,0.10443497776524902,3.7412057520634476e-05,0.004783410406270564,0.0025752042196589774,0.8111754359270393,0.02089510429504941,9.905768400085804e-05,9.71522739109836e-05
EGLN3,0.6122545599937439,0.10291520270914178,0.07732921738122256,0.06703696130328969,0.002411389691168571,0.027196448396992038,0.0015160208758973187,0.030898302652526827,0.006936647321964744,0.02040959676081728,0.0007066159353268094,0.0009258225669008266,0.0008569116439294378
HIF1A,0.47729891538619995,0.34782601130639396,0.3174900984977877,0.11348810898826345,0.08782924638855644,0.2615031828751435,0.18255238244242972,0.5714413149805709,0.054195860979672966,0.29012395323440376,0.6017765611281488,0.05869532799550478,0.08578587078559224
AKT1,0.5314603447914124,0.0033987941221741555,0.003965282720534592,0.003804748199111346,0.013851748408076835,0.008593199934278217,0.003513315214902023,0.0052732902252121475,0.0030792406584355305,0.03042084287616687,0.012563754370771396,0.004022664192072338,0.0009642158827457436
ELOB,0.6695361137390137,0.012154974326715631,0.006480056037711745,0.018080756737003673,0.3485708632961769,0.12436380646403691,0.06848651813375489,0.1431920790063286,0.021019235426603364,0.007722077678465856,0.13701845688297484,0.15322132955230017,5.3197596296547423e-05
CREBBP,0.3700215518474579,0.1992466656655026,0.16106390980911345,0.19587618027769244,0.05099566096425722,0.12060294280181061,0.06610800328278224,0.08872223261289136,0.10465858800646692,0.36405180191569236,0.20753271101616425,0.0796355380489914,0.0568931321485327
PLCG1,0.46010226011276245,0.006169028655974971,0.0070472486136274794,0.010699035390336686,0.02027313776430687,0.01875265003631474,0.006554628771209501,0.003745730028839301,0.007004394862891972,0.017983773427721797,0.0003549855975224471,0.004246561284356454,0.004509062363016753
MAPK1,0.3054609000682831,0.1630782678592535,0.10641644735446569,0.1011406162644213,0.03563433315703082,0.125208872165459,0.037977797836932926,0.06115328402821479,0.13798616743274988,0.1559918034221312,0.18809832515189145,0.15542100911040568,0.13866239252183093
RBX1,0.5738481879234314,0.0416626569513884,0.0395158044765332,0.026019033453412787,0.2205291394720349,0.0747181595982732,0.053406442513744476,0.12316956904663044,0.035818572307741915,0.043359311299003236,0.10125783536456705,0.07845217775890985,0.0014939997455781688
EP300,0.3568800091743469,0.09305813912406848,0.08005198025455272,0.0870329803422448,0.032665808637497254,0.07175570947323066,0.04485550751180551,0.07119335745908002,0.07680831656503519,0.20552832288724784,0.16811899457480217,0.048530772733761066,0.037835541523538664
