"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.25","0.6666666666666666","0.8","0.3333333333333333","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","2","false","AKT1","2.0","0","3","0","0.9166666666666666","false","0","AKT1","8","0.5555555555555556"
"1.5","0.5","0.6666666666666666","0.0","HUMAN|HGNC=22048|UniProtKB=P60323","Nanos homolog 3;NANOS3;PTN002490035;orthologs","NANOS HOMOLOG 3 (PTHR12887:SF12)","RNA metabolism protein(PC00031)","Homo sapiens","2","2","false","NOS3","2.0","0","2","0","0.8333333333333334","false","0","NOS3","6","0.5"
"1.75","0.0","0.5714285714285714","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","3","false","AKT2","2.5","0","2","0","0.75","false","0","AKT2","0","0.8333333333333334"
"1.75","0.0","0.5714285714285714","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","3","false","AKT3","2.5","0","2","0","0.75","false","0","AKT3","0","0.8333333333333334"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=414|UniProtKB=P04075","Fructose-bisphosphate aldolase A;ALDOA;PTN002481113;orthologs","FRUCTOSE-BISPHOSPHATE ALDOLASE A (PTHR11627:SF1)","aldolase(PC00044)","Homo sapiens","2","1","false","ALDOA","2.0","0","2","0","1.0","false","0","ALDOA","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=418|UniProtKB=P09972","Fructose-bisphosphate aldolase C;ALDOC;PTN002481115;orthologs","FRUCTOSE-BISPHOSPHATE ALDOLASE C (PTHR11627:SF3)","aldolase(PC00044)","Homo sapiens","2","1","false","ALDOC","2.0","0","2","0","1.0","false","0","ALDOC","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=417|UniProtKB=P05062","Fructose-bisphosphate aldolase B;ALDOB;PTN002481114;orthologs","FRUCTOSE-BISPHOSPHATE ALDOLASE B (PTHR11627:SF2)","aldolase(PC00044)","Homo sapiens","2","1","false","ALDOB","2.0","0","2","0","1.0","false","0","ALDOB","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=484|UniProtKB=Q15389","Angiopoietin-1;ANGPT1;PTN002499021;orthologs","ANGIOPOIETIN-1 (PTHR19143:SF156)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT1","3.0","0","3","0","1.0","false","0","ANGPT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=485|UniProtKB=O15123","Angiopoietin-2;ANGPT2;PTN002499025;orthologs","ANGIOPOIETIN-2 (PTHR19143:SF199)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT2","3.0","0","3","0","1.0","false","0","ANGPT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=11724|UniProtKB=Q02763","Angiopoietin-1 receptor;TEK;PTN002521436;orthologs","ANGIOPOIETIN-1 RECEPTOR (PTHR24416:SF125)","transmembrane signal receptor(PC00197)","Homo sapiens","3","1","false","TEK","3.0","0","3","0","1.0","false","0","TEK","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=487|UniProtKB=Q9Y264","Angiopoietin-4;ANGPT4;PTN002499022;orthologs","ANGIOPOIETIN-4 (PTHR19143:SF31)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT4","3.0","0","3","0","1.0","false","0","ANGPT4","0","1.0"
"2.1875","0.0","0.45714285714285713","1.0","HUMAN|HGNC=700|UniProtKB=P27540","Aryl hydrocarbon receptor nuclear translocator;ARNT;PTN002507172;orthologs","ARYL HYDROCARBON RECEPTOR NUCLEAR TRANSLOCATOR (PTHR23042:SF50)","basic helix-loop-helix transcription factor(PC00055)","Homo sapiens","4","5","false","ARNT","7.5","0","4","0","0.88125","false","0","ARNT","0","0.625"
"2.125","0.05416666666666667","0.47058823529411764","0.7","HUMAN|HGNC=2348|UniProtKB=Q92793","CREB-binding protein;CREBBP;PTN002492802;orthologs","CREB-BINDING PROTEIN (PTHR13808:SF34)","histone modifying enzyme(PC00261)","Homo sapiens","5","5","false","CREBBP","6.4","0","5","0","0.8875","false","0","CREBBP","78","0.5333333333333333"
"2.0625","0.16666666666666666","0.48484848484848486","0.5333333333333333","HUMAN|HGNC=3373|UniProtKB=Q09472","Histone acetyltransferase p300;EP300;PTN002492803;orthologs","HISTONE ACETYLTRANSFERASE P300 (PTHR13808:SF29)","histone modifying enzyme(PC00261)","Homo sapiens","6","5","false","EP300","5.5","0","6","0","0.89375","false","0","EP300","158","0.4583333333333333"
"1.625","0.21127976190476194","0.6153846153846154","0.4444444444444444","HUMAN|HGNC=3374|UniProtKB=Q99814","Endothelial PAS domain-containing protein 1;EPAS1;PTN002507193;orthologs","ENDOTHELIAL PAS DOMAIN-CONTAINING PROTEIN 1 (PTHR23043:SF8)","basic helix-loop-helix transcription factor(PC00055)","Homo sapiens","9","4","false","EPAS1","5.888888888888889","0","9","0","0.9375","false","0","EPAS1","228","0.42063492063492064"
"1.5625","0.29406746031746034","0.64","0.4222222222222222","HUMAN|HGNC=4910|UniProtKB=Q16665","Hypoxia-inducible factor 1-alpha;HIF1A;PTN002507197;orthologs","HYPOXIA-INDUCIBLE FACTOR 1-ALPHA (PTHR23043:SF7)","basic helix-loop-helix transcription factor(PC00055)","Homo sapiens","10","4","false","HIF1A","5.7","0","10","0","0.94375","false","0","HIF1A","292","0.40714285714285714"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1460|UniProtKB=Q9UQM7","Calcium_calmodulin-dependent protein kinase type II subunit alpha;CAMK2A;PTN002539368;orthologs","CALCIUM_CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT ALPHA (PTHR24347:SF384)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","CAMK2A","3.0","0","3","0","1.0","false","0","CAMK2A","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1463|UniProtKB=Q13555","Calcium_calmodulin-dependent protein kinase type II subunit gamma;CAMK2G;PTN002539359;orthologs","CALCIUM_CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA (PTHR24347:SF398)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","CAMK2G","3.0","0","3","0","1.0","false","0","CAMK2G","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1461|UniProtKB=Q13554","Calcium_calmodulin-dependent protein kinase type II subunit beta;CAMK2B;PTN002539356;orthologs","CALCIUM_CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA (PTHR24347:SF403)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","CAMK2B","3.0","0","3","0","1.0","false","0","CAMK2B","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1462|UniProtKB=Q13557","Calcium_calmodulin-dependent protein kinase type II subunit delta;CAMK2D;PTN002539365;orthologs","CALCIUM_CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA (PTHR24347:SF365)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","CAMK2D","3.0","0","3","0","1.0","false","0","CAMK2D","0","1.0"
"4.0","0.0","0.25","0.0","HUMAN|HGNC=1784|UniProtKB=P38936","Cyclin-dependent kinase inhibitor 1;CDKN1A;PTN002469533;orthologs","CYCLIN-DEPENDENT KINASE INHIBITOR 1 (PTHR46778:SF1)","kinase inhibitor(PC00139)","Homo sapiens","1","6","false","CDKN1A","2.0","0","1","0","0.7","false","0","CDKN1A","0","0.0"
"3.0625","0.125","0.32653061224489793","0.0","HUMAN|HGNC=1785|UniProtKB=P46527","Cyclin-dependent kinase inhibitor 1B;CDKN1B;PTN002469535;orthologs","CYCLIN-DEPENDENT KINASE INHIBITOR 1B (PTHR10265:SF9)","kinase inhibitor(PC00139)","Homo sapiens","2","5","false","CDKN1B","3.0","0","2","0","0.79375","false","0","CDKN1B","128","0.5"
"2.25","0.23333333333333334","0.4444444444444444","0.6","HUMAN|HGNC=9928|UniProtKB=P62877","E3 ubiquitin-protein ligase RBX1;RBX1;PTN002477171;orthologs","E3 UBIQUITIN-PROTEIN LIGASE RBX1 (PTHR11210:SF61)","ubiquitin-protein ligase(PC00234)","Homo sapiens","5","4","false","RBX1","5.2","0","5","0","0.875","false","0","RBX1","252","0.625"
