"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ARRB2","m = 0.00558 
 p = 0.89521","m = 0.01124 
 p = 1.59404","m = 0.01639 
 p = 1.77103","m = 0.01344 
 p = 1.39919","m = 0.04127 
 p = 4.24710","m = 0.00915 
 p = 0.79929","m = 0.05806 
 p = 9.55535","m = 0.01837 
 p = 1.60072","m = 0.01879 
 p = 3.15110","m = 0.42410 
 p = 38.32497","m = 0.17625 
 p = 14.01573","m = 0.05808 
 p = 3.66972"
"CDON","m = 0.04798 
 p = 7.38167","m = 0.02609 
 p = 3.86975","m = 0.11623 
 p = 10.33574","m = 0.00976 
 p = 0.97791","m = 0.06348 
 p = 4.86486","m = 0.09381 
 p = 6.31687","m = 0.50033 
 p = 37.18070","m = 0.04783 
 p = 4.72667","m = 0.09045 
 p = 13.29762","m = 0.00526 
 p = 0.60670","m = 0.00350 
 p = 0.30094","m = 0.01251 
 p = 0.75553"
"GRK3","m = 0.23115 
 p = 28.60535","m = 0.11594 
 p = 15.40035","m = 0.06364 
 p = 6.19318","m = 0.01955 
 p = 1.82427","m = 0.05868 
 p = 5.63707","m = 0.09017 
 p = 6.27575","m = 0.07323 
 p = 9.46074","m = 0.08000 
 p = 6.90124","m = 1.00000 
 p = 66.23602","m = 0.54366 
 p = 40.41924","m = 0.04740 
 p = 3.46682","m = 0.21053 
 p = 12.62817"
"BOC","m = 0.02334 
 p = 3.41530","m = 0.00089 
 p = 0.15049","m = 0.17016 
 p = 15.09471","m = 0.01741 
 p = 1.66382","m = 0.01419 
 p = 1.15830","m = 0.05623 
 p = 4.09110","m = 0.12334 
 p = 13.71807","m = 0.03638 
 p = 3.77529","m = 0.03722 
 p = 6.96392","m = 0.00186 
 p = 0.23140","m = 0.00058 
 p = 0.09630","m = 0.00621 
 p = 0.37777"
"SHH","m = 0.00002 
 p = 0.00218","m = 0.00002 
 p = 0.00210","m = 0.00004 
 p = 0.00652","m = 0.00003 
 p = 0.00380","m = 0.00000 
 p = 0.00000","m = 0.00003 
 p = 0.00191","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00003 
 p = 0.00194","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000"
"GRK2","m = 0.02164 
 p = 3.64619","m = 0.01827 
 p = 2.83415","m = 0.03964 
 p = 4.24758","m = 0.06946 
 p = 6.85525","m = 0.04748 
 p = 5.25097","m = 0.03310 
 p = 2.74684","m = 0.03317 
 p = 5.58184","m = 0.03640 
 p = 3.24675","m = 0.04464 
 p = 7.48385","m = 0.19256 
 p = 19.67682","m = 0.15566 
 p = 12.39066","m = 0.10988 
 p = 6.69185"
"SMO","m = 0.05943 
 p = 9.49010","m = 0.05007 
 p = 7.12705","m = 0.02697 
 p = 2.67502","m = 0.00397 
 p = 0.35588","m = 0.00777 
 p = 0.77220","m = 0.01187 
 p = 0.89394","m = 0.02830 
 p = 3.59508","m = 0.02229 
 p = 2.31048","m = 0.02191 
 p = 4.17520","m = 0.01443 
 p = 1.60814","m = 0.00413 
 p = 0.36113","m = 0.00616 
 p = 0.37777"
"ARRB1","m = 0.03833 
 p = 6.64329","m = 0.02474 
 p = 3.90174","m = 0.11023 
 p = 10.35384","m = 0.12087 
 p = 10.79883","m = 0.27650 
 p = 24.32432","m = 0.09499 
 p = 6.75953","m = 0.10614 
 p = 13.43425","m = 0.05181 
 p = 4.93809","m = 0.37913 
 p = 41.21632","m = 0.30200 
 p = 26.88912","m = 0.05955 
 p = 4.61440","m = 0.20725 
 p = 12.14247"
"PTCH2","m = 0.01065 
 p = 1.86883","m = 0.01145 
 p = 1.69000","m = 0.02957 
 p = 2.96983","m = 0.00323 
 p = 0.32470","m = 0.00815 
 p = 0.92664","m = 0.01931 
 p = 1.42170","m = 0.02111 
 p = 3.21665","m = 0.02032 
 p = 1.84234","m = 0.03632 
 p = 6.20766","m = 0.01070 
 p = 1.20756","m = 0.00720 
 p = 0.65805","m = 0.01586 
 p = 0.91743"
"CSNK1E","m = 0.07493 
 p = 12.98382","m = 0.05592 
 p = 8.90986","m = 0.11282 
 p = 11.58234","m = 0.15227 
 p = 14.50743","m = 0.13311 
 p = 13.89961","m = 0.14972 
 p = 11.82201","m = 0.06439 
 p = 10.50142","m = 0.11152 
 p = 10.11779","m = 0.10567 
 p = 16.24389","m = 0.07187 
 p = 8.50543","m = 0.05194 
 p = 4.64248","m = 0.02863 
 p = 1.78090"
