name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
SMO,1.0,0.8496732026143791,0.75,0.49603174603174605,1.0,0.2605042016806723
PTCH1,0.6425431711145992,0.8169934640522877,1.0,0.6018518518518519,0.5892457057505601,0.2962962962962963
GRK2,0.2770800627943483,0.803921568627451,1.0,0.617283950617284,0.47124719940253923,0.3555555555555555
GRK3,0.17048665620094178,0.7875816993464052,0.875,0.6770833333333334,0.32262882748319643,0.3916666666666666
PTCH2,0.1934065934065933,0.8006535947712419,0.625,0.8101851851851852,0.29873039581777444,0.4270833333333333
GSK3B,0.45211930926216637,0.7875816993464052,0.5,0.6944444444444445,0.23300970873786409,0.4666666666666667
CSNK1E,0.11538461538461534,0.741830065359477,0.75,0.8134920634920635,0.1672890216579537,0.5164835164835165
CSNK1A1,0.4796964939822081,0.8366013071895425,0.25,0.8333333333333334,0.32262882748319643,0.375
ARRB2,0.21266352694924126,0.8137254901960785,0.5,0.7222222222222223,0.35399551904406273,0.4133333333333333
ARRB1,0.21266352694924126,0.8137254901960785,0.5,0.7222222222222223,0.35399551904406273,0.4133333333333333
CDON,0.08665620094191515,0.7450980392156863,0.875,0.6770833333333334,0.16878267363704258,0.4519230769230769
BOC,0.07331240188383034,0.7385620915032679,0.75,0.6944444444444445,0.16056758775205376,0.5
SHH,0.22386185243328102,0.7385620915032679,0.625,0.5324074074074074,0.17475728155339806,0.3888888888888889
