,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
PTCH2,0.6055914,0.00028842051270332083,0.0002805945408344425,0.0012733108701987776,1.5212113410149467e-05,0.00010945175893058188,0.0003979727177784832,0.0009845433476519338,0.000542711660072401,0.0032683287760263656,0.00018729556464036946,6.873787556167361e-05,0.00021100582537847922
BOC,0.83029956,0.0011557186310169408,1.9351880790898297e-06,0.03723885144186073,0.00041995424165240186,0.0002382631812776838,0.003335344235772695,0.02452970826919054,0.001991021679503361,0.0037579428500240384,6.24956733040833e-06,8.04283833834488e-07,3.4019469117159724e-05
GSK3B,0.4095953,0.4316655333488592,0.414949212252553,0.19207103859186217,0.07421506158816334,0.23347337761440795,0.09056247787782724,0.15593924337439416,0.16709337372032404,0.6178296434235081,0.27039023235771154,0.07912021795859184,0.09601616081005164
CSNK1A1,0.37869322,0.9752340022949124,0.6811099506707167,0.5203905375414578,0.3264055078262875,0.38543308655727787,0.19606589437899902,0.4617141264163895,0.24262286273960043,0.774514882117909,0.4877332524482212,0.13607306988776355,0.1734520885922493
SMO,0.6973081,0.008176192222730059,0.005173197557889798,0.0010460010726053544,2.0506848603762364e-05,8.700654975005559e-05,0.00015382532460205746,0.0014752001416153127,0.0007465574226551135,0.0013262133241845472,0.00033645063491779176,2.159757846657714e-05,3.371652239844147e-05
SHH,0.7321975,5.798391939270542e-10,4.82036941856924e-10,3.87126649398509e-09,1.5895184369858407e-09,0.0,8.408077780889293e-10,0.0,0.0,0.0,7.691005254286398e-10,0.0,0.0
PTCH1,0.35174885,0.0016438481628470274,0.0039002601982411626,0.003440091351425543,0.0015699621296342318,0.004082920324618292,0.0012252765145893392,0.0009287066595556607,0.0012931129201792116,0.005562567220901304,4.653165700082955e-05,0.0016506452939405304,0.00110123413667702
GRK2,0.7123329,0.0011439444415477543,0.0007508384937195947,0.0024408861745949914,0.006903298561210248,0.003614434910556985,0.001317957596167374,0.0026842050162710555,0.001713578625545873,0.00484391928954032,0.05493306189952799,0.027962001060159503,0.010660150600521872
ARRB1,0.66612947,0.0036919109760392005,0.001399452302642614,0.016545976585551073,0.018923107791724736,0.0975076926721109,0.009308790095891233,0.02067256859145079,0.0037092818079470726,0.22655154198610034,0.11772923718180107,0.003983812918920175,0.03648397371502612
CDON,0.90608025,0.0051350784502729235,0.0014635159151910777,0.01741597259622323,0.00013843980020062334,0.004477444854942528,0.008591238945352448,0.2697015409212464,0.003277851956663301,0.017437974139238054,4.624429489952613e-05,1.5280026688827393e-05,0.00013701055607021143
ARRB2,0.90855163,7.248175497631977e-05,0.0002597750552167778,0.00042086675450654274,0.0002726101475538652,0.002541025963874397,0.000105991248976801,0.008042876420995484,0.00042628246938685425,0.0008582987263387857,0.23564371025159406,0.0358140875452566,0.0030900912547330247
GRK3,0.8605495,0.09586052542204214,0.025887231254738907,0.0057144444119446285,0.0005171081313194781,0.00479550796586114,0.008203801343836569,0.010044902365728721,0.008004184159734608,0.9602844940126648,0.31858496501742206,0.0023824295275533345,0.038543703101868894
CSNK1E,0.42656544,0.014104837623158136,0.007223337435846117,0.018944607842323,0.032027537280817656,0.026823424004219675,0.025661284679898904,0.009803716392875732,0.016358120226852846,0.02488504171521716,0.008861909635132911,0.003496067263481944,0.0007391871187858046
