#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARRB1	SMO	9606.ENSP00000409581	9606.ENSP00000249373	0	0.237	0.900	0	0.920
ARRB1	GRK2	9606.ENSP00000409581	9606.ENSP00000312262	0	0.457	0.800	0	0.886
ARRB1	GRK3	9606.ENSP00000409581	9606.ENSP00000317578	0	0	0.800	0	0.800
ARRB1	ARRB2	9606.ENSP00000409581	9606.ENSP00000403701	0	0.544	0.900	0	0.952
ARRB1	GPR161	9606.ENSP00000409581	9606.ENSP00000441039	0	0	0.900	0	0.900
ARRB2	SMO	9606.ENSP00000403701	9606.ENSP00000249373	0	0.237	0.900	0	0.920
ARRB2	GRK2	9606.ENSP00000403701	9606.ENSP00000312262	0	0.457	0.800	0	0.886
ARRB2	GRK3	9606.ENSP00000403701	9606.ENSP00000317578	0	0	0.800	0	0.800
ARRB2	GPR161	9606.ENSP00000403701	9606.ENSP00000441039	0	0	0.900	0	0.900
BOC	LRP2	9606.ENSP00000273395	9606.ENSP00000496870	0	0	0.900	0	0.900
BOC	CDON	9606.ENSP00000273395	9606.ENSP00000376458	0	0.292	0.900	0	0.926
BOC	GAS1	9606.ENSP00000273395	9606.ENSP00000298743	0	0	0.900	0	0.900
BOC	PTCH2	9606.ENSP00000273395	9606.ENSP00000361266	0	0	0.900	0	0.900
BOC	PTCH1	9606.ENSP00000273395	9606.ENSP00000332353	0	0	0.900	0	0.900
BOC	DHH	9606.ENSP00000273395	9606.ENSP00000497483	0	0.962	0.500	0	0.980
BOC	IHH	9606.ENSP00000273395	9606.ENSP00000295731	0	0.962	0.500	0	0.980
BTRC	FBXW11	9606.ENSP00000359206	9606.ENSP00000265094	0	0.647	0.900	0	0.963
BTRC	GSK3B	9606.ENSP00000359206	9606.ENSP00000324806	0	0.507	0.500	0	0.743
BTRC	CUL1	9606.ENSP00000359206	9606.ENSP00000326804	0	0.969	0.900	0	0.996
CCND1	CCND2	9606.ENSP00000227507	9606.ENSP00000261254	0	0	0.900	0	0.900
CDON	IHH	9606.ENSP00000376458	9606.ENSP00000295731	0	0.962	0.500	0	0.980
CDON	SHH	9606.ENSP00000376458	9606.ENSP00000297261	0	0.521	0.500	0	0.750
CDON	GAS1	9606.ENSP00000376458	9606.ENSP00000298743	0	0	0.900	0	0.900
CDON	PTCH1	9606.ENSP00000376458	9606.ENSP00000332353	0	0.292	0.900	0	0.926
CDON	PTCH2	9606.ENSP00000376458	9606.ENSP00000361266	0	0	0.900	0	0.900
CDON	LRP2	9606.ENSP00000376458	9606.ENSP00000496870	0	0	0.900	0	0.900
CDON	DHH	9606.ENSP00000376458	9606.ENSP00000497483	0	0.962	0.500	0	0.980
CSNK1A1	SMO	9606.ENSP00000261798	9606.ENSP00000249373	0	0	0.700	0	0.700
CSNK1A1	GRK2	9606.ENSP00000261798	9606.ENSP00000312262	0	0	0.800	0	0.800
CSNK1A1	GSK3B	9606.ENSP00000261798	9606.ENSP00000324806	0	0	0.800	0	0.800
CSNK1A1L	PRKACA	9606.ENSP00000369126	9606.ENSP00000309591	0	0	0.900	0	0.900
CSNK1A1L	GRK2	9606.ENSP00000369126	9606.ENSP00000312262	0	0	0.900	0	0.900
CSNK1A1L	GRK3	9606.ENSP00000369126	9606.ENSP00000317578	0	0	0.900	0	0.900
CSNK1A1L	PRKACB	9606.ENSP00000369126	9606.ENSP00000359719	0	0	0.900	0	0.900
CSNK1A1L	PRKACG	9606.ENSP00000369126	9606.ENSP00000366488	0	0	0.900	0	0.900
CSNK1D	PRKACA	9606.ENSP00000381531	9606.ENSP00000309591	0	0.128	0.900	0	0.909
CSNK1D	GRK2	9606.ENSP00000381531	9606.ENSP00000312262	0	0.118	0.900	0	0.908
CSNK1D	GRK3	9606.ENSP00000381531	9606.ENSP00000317578	0	0	0.900	0	0.900
CSNK1D	PRKACB	9606.ENSP00000381531	9606.ENSP00000359719	0	0	0.900	0	0.900
CSNK1D	PRKACG	9606.ENSP00000381531	9606.ENSP00000366488	0	0	0.900	0	0.900
CSNK1D	CSNK1E	9606.ENSP00000381531	9606.ENSP00000380044	0	0.642	0.900	0	0.962
CSNK1E	PRKACA	9606.ENSP00000380044	9606.ENSP00000309591	0	0.165	0.900	0	0.912
CSNK1E	GRK2	9606.ENSP00000380044	9606.ENSP00000312262	0	0	0.900	0	0.900
CSNK1E	GRK3	9606.ENSP00000380044	9606.ENSP00000317578	0	0	0.900	0	0.900
CSNK1E	PRKACB	9606.ENSP00000380044	9606.ENSP00000359719	0	0	0.900	0	0.900
CSNK1E	PRKACG	9606.ENSP00000380044	9606.ENSP00000366488	0	0	0.900	0	0.900
CSNK1E	TPTEP2-CSNK1E	9606.ENSP00000380044	9606.ENSP00000383067	0	0.900	0	0	0.900
CSNK1G2	PRKACB	9606.ENSP00000255641	9606.ENSP00000359719	0	0	0.900	0	0.900
CSNK1G2	GRK2	9606.ENSP00000255641	9606.ENSP00000312262	0	0	0.900	0	0.900
CSNK1G2	PRKACG	9606.ENSP00000255641	9606.ENSP00000366488	0	0	0.900	0	0.900
CSNK1G2	GRK3	9606.ENSP00000255641	9606.ENSP00000317578	0	0	0.900	0	0.900
