"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.588235294117647","0.0","0.2786885245901639","1.0","HUMAN|HGNC=16807|UniProtKB=Q9HCE7","E3 ubiquitin-protein ligase SMURF1;SMURF1;PTN002477528;orthologs","E3 UBIQUITIN-PROTEIN LIGASE SMURF1 (PTHR11254:SF293)","ubiquitin-protein ligase(PC00234)","Homo sapiens","2","6","false","SMURF1","5.5","0","2","0","0.7124183006535948","false","0","SMURF1","0","0.6111111111111112"
"3.588235294117647","0.0","0.2786885245901639","1.0","HUMAN|HGNC=16809|UniProtKB=Q9HAU4","E3 ubiquitin-protein ligase SMURF2;SMURF2;PTN002477530;orthologs","E3 UBIQUITIN-PROTEIN LIGASE SMURF2 (PTHR11254:SF300)","ubiquitin-protein ligase(PC00234)","Homo sapiens","2","6","false","SMURF2","5.5","0","2","0","0.7124183006535948","false","0","SMURF2","0","0.6111111111111112"
"1.7142857142857142","0.0","0.5833333333333334","1.0","HUMAN|HGNC=16466|UniProtKB=Q9UMX1","Suppressor of fused homolog;SUFU;PTN002475086;orthologs","SUPPRESSOR OF FUSED HOMOLOG (PTHR10928:SF2)","scaffold/adaptor protein(PC00226)","Homo sapiens","4","3","false","SUFU","4.5","0","4","0","0.8571428571428571","false","0","SUFU","0","0.9"
"1.7142857142857142","0.0","0.5833333333333334","1.0","HUMAN|HGNC=30497|UniProtKB=Q2M1P5","Kinesin-like protein KIF7;KIF7;PTN002516325;orthologs","KINESIN-LIKE PROTEIN KIF7 (PTHR24115:SF445)","microtubule binding motor protein(PC00156)","Homo sapiens","4","3","false","KIF7","4.5","0","4","0","0.8571428571428571","false","0","KIF7","0","0.9"
"1.2857142857142858","0.21428571428571427","0.7777777777777777","0.7","HUMAN|HGNC=4318|UniProtKB=P10070","Zinc finger protein GLI2;GLI2;PTN002500383;orthologs","ZINC FINGER PROTEIN GLI2 (PTHR45718:SF6)","DNA-binding transcription factor(PC00218)","Homo sapiens","5","2","false","GLI2","4.2","0","5","0","0.9428571428571428","false","0","GLI2","18","0.6"
"1.2857142857142858","0.21428571428571427","0.7777777777777777","0.7","HUMAN|HGNC=4319|UniProtKB=P10071","Transcriptional activator GLI3;GLI3;PTN002500386;orthologs","TRANSCRIPTIONAL ACTIVATOR GLI3 (PTHR45718:SF5)","DNA-binding transcription factor(PC00218)","Homo sapiens","5","2","false","GLI3","4.2","0","5","0","0.9428571428571428","false","0","GLI3","18","0.6"
"1.7142857142857142","0.0","0.5833333333333334","1.0","HUMAN|HGNC=4317|UniProtKB=P08151","Zinc finger protein GLI1;GLI1;PTN002500389;orthologs","ZINC FINGER PROTEIN GLI1 (PTHR45718:SF2)","DNA-binding transcription factor(PC00218)","Homo sapiens","4","3","false","GLI1","4.5","0","4","0","0.8571428571428571","false","0","GLI1","0","0.9"
"3.2941176470588234","0.0","0.3035714285714286","1.0","HUMAN|HGNC=19747|UniProtKB=Q86UK5","Limbin;EVC2;PTN002497664;orthologs","LIMBIN (PTHR16795:SF14)","","Homo sapiens","2","5","false","EVC2","4.5","0","2","0","0.7450980392156863","false","0","EVC2","0","0.6428571428571429"
"3.2941176470588234","0.0","0.3035714285714286","1.0","HUMAN|HGNC=3497|UniProtKB=P57679","EvC complex member EVC;EVC;PTN002497663;orthologs","EVC COMPLEX MEMBER EVC (PTHR16795:SF13)","","Homo sapiens","2","5","false","EVC","4.5","0","2","0","0.7450980392156863","false","0","EVC","0","0.6428571428571429"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=29171|UniProtKB=Q6IPM2","IQ domain-containing protein E;IQCE;PTN002503189;orthologs","IQ DOMAIN-CONTAINING PROTEIN E (PTHR22590:SF3)","","Homo sapiens","1","1","false","IQCE","1.0","0","1","0","1.0","false","0","IQCE","0","0.0"
