"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"LEF1","m = 0.00089 
 p = 0.26355","m = 0.00070 
 p = 0.22338","m = 0.00252 
 p = 0.61280","m = 0.00182 
 p = 0.38173","m = 0.00431 
 p = 0.77220","m = 0.00280 
 p = 0.48282","m = 0.00264 
 p = 0.94607","m = 0.00609 
 p = 1.16279","m = 0.00299 
 p = 0.99259","m = 0.00234 
 p = 0.63975","m = 0.05786 
 p = 8.88773","m = 0.00442 
 p = 0.59363"
"WNT3","m = 0.00487 
 p = 1.64449","m = 0.00441 
 p = 1.44775","m = 0.00297 
 p = 0.72073","m = 0.00092 
 p = 0.20836","m = 0.00482 
 p = 0.77220","m = 0.00245 
 p = 0.41494","m = 0.00435 
 p = 2.27058","m = 0.00179 
 p = 0.37753","m = 0.03995 
 p = 12.55711","m = 0.00093 
 p = 0.22168","m = 0.00066 
 p = 0.12439","m = 0.00196 
 p = 0.26983"
"CTNNA3","m = 0.82777 
 p = 91.67520","m = 1.00000 
 p = 96.36516","m = 0.01947 
 p = 3.93539","m = 0.00870 
 p = 1.30109","m = 0.03929 
 p = 6.10039","m = 0.09218 
 p = 12.78575","m = 0.18024 
 p = 30.08515","m = 0.15543 
 p = 20.17517","m = 0.07933 
 p = 18.24484","m = 0.02186 
 p = 2.99071","m = 0.00836 
 p = 1.09141","m = 0.03578 
 p = 4.69509"
"PRKCZ","m = 0.03596 
 p = 13.63725","m = 0.02308 
 p = 8.07404","m = 0.00301 
 p = 0.85039","m = 0.00168 
 p = 0.43801","m = 0.10557 
 p = 22.08494","m = 0.00214 
 p = 0.43789","m = 0.02195 
 p = 7.28477","m = 0.00498 
 p = 1.52522","m = 0.00369 
 p = 1.82764","m = 0.00397 
 p = 1.12395","m = 0.02365 
 p = 4.16098","m = 0.03214 
 p = 4.53319"
"APC2","m = 0.00202 
 p = 0.66215","m = 0.00266 
 p = 0.86886","m = 0.00268 
 p = 0.63815","m = 0.00064 
 p = 0.11482","m = 0.00087 
 p = 0.15444","m = 0.00290 
 p = 0.48569","m = 0.00142 
 p = 0.85147","m = 0.01287 
 p = 2.28028","m = 0.00434 
 p = 1.82764","m = 0.00161 
 p = 0.38113","m = 0.00171 
 p = 0.28088","m = 0.00252 
 p = 0.37777"
"AXIN2","m = 0.02570 
 p = 10.77955","m = 0.01271 
 p = 4.98873","m = 0.00660 
 p = 1.90286","m = 0.00096 
 p = 0.29885","m = 0.00207 
 p = 0.46332","m = 0.00231 
 p = 0.51151","m = 0.00404 
 p = 3.12204","m = 0.00351 
 p = 1.22320","m = 0.01512 
 p = 5.76650","m = 0.00075 
 p = 0.32085","m = 0.00197 
 p = 0.44539","m = 0.00066 
 p = 0.10793"
"YWHAH","m = 0.00692 
 p = 2.74444","m = 0.00531 
 p = 2.03922","m = 0.02910 
 p = 6.86321","m = 0.20435 
 p = 35.97354","m = 0.11982 
 p = 24.86486","m = 0.04490 
 p = 8.89161","m = 0.05080 
 p = 16.84011","m = 0.02979 
 p = 5.61764","m = 0.01456 
 p = 5.53017","m = 0.06349 
 p = 15.15770","m = 0.04518 
 p = 9.10441","m = 0.00331 
 p = 0.53967"
"PARD6A","m = 0.00033 
 p = 0.10673","m = 0.00029 
 p = 0.09858","m = 0.00036 
 p = 0.09924","m = 0.00336 
 p = 0.89502","m = 0.00157 
 p = 0.54054","m = 0.00488 
 p = 1.16547","m = 0.00159 
 p = 0.85147","m = 0.00109 
 p = 0.22652","m = 0.00043 
 p = 0.23633","m = 0.00230 
 p = 0.69226","m = 0.00701 
 p = 1.60100","m = 0.00000 
 p = 0.00000"
"AMOT","m = 0.00182 
 p = 0.79502","m = 0.00049 
 p = 0.18615","m = 0.01460 
 p = 3.40444","m = 0.00335 
 p = 0.83419","m = 0.01783 
 p = 4.47876","m = 0.00364 
 p = 0.73906","m = 0.00257 
 p = 1.70293","m = 0.00658 
 p = 1.49502","m = 0.00456 
 p = 2.15850","m = 0.00117 
 p = 0.31696","m = 0.00166 
 p = 0.30896","m = 0.00246 
 p = 0.37777"
"TEAD2","m = 0.01564 
 p = 5.74372","m = 0.01417 
 p = 4.66625","m = 0.01377 
 p = 3.23567","m = 0.03031 
 p = 7.23395","m = 0.05066 
 p = 11.96911","m = 0.03528 
 p = 6.71364","m = 0.01315 
 p = 5.67644","m = 0.01077 
 p = 2.38599","m = 0.01480 
 p = 5.82953","m = 0.00116 
 p = 0.37141","m = 0.00118 
 p = 0.26081","m = 0.00208 
 p = 0.26983"
