,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
PRKCZ,0.86543596,0.016842902237685947,0.006400235284653703,8.801233276650879e-05,2.5261273144234323e-05,0.08006695453724806,3.223697326629826e-05,0.005490442330868828,0.0002606649531771034,0.00023174880632119082,0.000153297353856799,0.0033796943043133735,0.0050036416655930074
YWHAQ,0.2384066,0.07594722959492634,0.10108303586498178,0.08264274046217354,0.12306887958422437,0.13413347811312287,0.08257333773189976,0.1407658201743661,0.057128427135587925,0.08631901101876717,0.06342640628207546,0.09813891656038495,0.01274757975832038
CTNNA2,0.57038677,0.002444170098219089,0.001674041041243802,0.0012925695879554538,0.00020630092084836127,0.006028891139048867,0.0008149994247044688,0.00706484593105632,0.002655390452011875,0.004492522800308673,0.00028894709569730155,0.00014538346678341443,0.004589572508658065
TCF7L1,0.6251805,0.107285475078388,0.00637657638371794,0.12454039835022342,0.05477954587176392,0.21042808860425322,0.06646366949312468,0.016226176789264805,0.04445827371384291,0.15256763330985187,0.007812674047394023,5.848917638678658e-05,0.0003160156442291725
TGFBR2,0.5856665,0.4311642912362641,0.3045971806095228,0.4548364808729439,0.3227509131853465,1.2457139254536866,0.0657824599183161,0.22211294069308202,0.5453781460534767,0.425525323263168,0.2558562953409178,0.1580011215057661,0.19741211603991224
CTNNB1,0.43989974,0.14163336230241955,0.07126588285560032,0.09283862583886182,0.276809093026733,0.23102517127990724,0.057407581028193315,0.24669057779303113,0.08519387648423177,0.12262339825440115,0.3519945122654795,0.06164049895715105,0.04026887430349557
WNT5A,0.65112203,0.00032832212930334687,0.000222311407568113,0.0005770330252320481,2.181993645228595e-07,0.0001895559685570853,4.29426420969355e-07,0.0007327379501982467,1.9179654499778607e-05,0.0006158537836958145,5.7383717770792146e-05,1.0294669316213851e-06,0.0
GSK3B,0.4095953,0.4316655333488592,0.414949212252553,0.19207103859186217,0.07421506158816334,0.23347337761440795,0.09056247787782724,0.15593924337439416,0.16709337372032404,0.6178296434235081,0.27039023235771154,0.07912021795859184,0.09601616081005164
WWTR1,0.66636014,0.14615528257168753,0.1129409469941086,0.2273229276778615,0.32260421398796374,0.5792495966878177,0.028477412238217727,0.09750004720326969,0.08627197986209331,0.2341947295035793,0.0008360170468595868,0.0002669375050499355,0.0038211263004535607
PRKCI,0.64630616,0.05653680122121174,0.02745854381545515,0.03662156763887514,0.012816954504708855,0.01660280078074186,0.00599115081804976,0.15617850482069104,0.020781480759265235,0.05085484163017748,0.012536187289786933,0.004844633502283752,0.005142296395524412
LEF1,0.9504594,8.091398798741838e-06,5.3592705497023295e-06,5.305966460241972e-05,2.3841445240170905e-05,0.00011437322268384765,4.646815318276702e-05,8.582318150557317e-05,0.00024317354397025218,0.00010191781626233945,5.13514401479163e-05,0.017660178158014607,9.019931710962984e-05
APC,0.32772034,0.15411017303857732,0.116765912050381,0.05186925022376969,0.030781427735924464,0.08910750569523991,0.02590587272696289,0.023525438138416833,0.06136712551621001,0.132548939755381,0.1230341336941147,0.02156237268579895,0.0232574979292658
TCF7,0.6919121,0.003895407637968234,0.004277675542524318,0.003199232513351678,0.0004775189685642953,0.0007810867085880296,0.002690725472730255,0.003978217716699743,0.00620880939586218,0.007154770811768203,0.0005496467327086875,0.021875905496486166,0.0020573720038419663
PPP2CA,0.5180231,0.02982840231816118,0.011539157574818498,0.015923051263166003,0.03455245869147732,0.02497483201929041,0.008485689834762524,0.030001311902178834,0.00928593077928917,0.020547305784470383,0.07151888332177603,0.031007045066650356,0.0013686820655594758
CTNNA1,0.51600057,0.4207298513701085,0.5754645934484219,0.25659713297483305,0.3460724505846602,0.4562769786731617,0.15219018296803907,0.24928702514128745,0.7915593940878304,0.519158881358956,0.2992183523985625,0.010001092142301486,0.04239298791674364
YWHAG,0.66252995,0.08328156337427285,0.05995975470644171,0.03723945867354286,0.04869035131704408,0.06956802477707734,0.0130726826866475,0.06823692935304813,0.014471151409499129,0.3395470175308112,0.08901761538464163,0.006971903047853618,0.003795309230500276
AMOT,0.78127366,4.96876992774373e-05,3.130107439843842e-06,0.0017067228330351271,9.591243894844606e-05,0.002741962912920359,9.226793910874128e-05,0.00015002588478032442,0.00033797192514140745,0.0003378300378646403,1.2775256030418856e-05,1.7632029533724648e-05,3.191074421775064e-05
YWHAZ,0.3824961,0.10146964111755201,0.12047353078870066,0.08811452666721273,0.12539639781080794,0.25665673330483746,0.11391133258904705,0.16157498191636807,0.0672387442301494,0.32094009736400525,0.35392746890861054,0.30142645472441676,0.07092092256576901
TEAD1,0.60762924,0.565398853977401,0.6189501119028147,0.1429445905914423,0.060182391541125924,0.1567716326032366,0.08250016838028068,0.23344466950155818,0.37754154145015545,0.8871241746520515,0.0019008460345005102,0.00013498568947888637,0.008745411321464513
YAP1,0.63171715,0.31184052437454934,0.18455834141528812,0.16725623263188824,0.040336840404112936,0.1599654281461561,0.07559358020657528,0.23371021580673548,0.06719331963117732,0.6055765673365577,0.0006482690674226838,6.72891464578561e-05,0.000627958012219062
CTNNA3,0.8665075,2.606141773633589,3.3094441147469666,0.0026318430920541968,0.0003889020148806779,0.008231457296945872,0.04047510139665872,0.18622473183959412,0.10769400795360808,0.04970623985019766,0.0022455298938388857,0.0003133612960617669,0.005768737239543001
BMPR1A,0.55968463,0.6300878524572551,0.5526051346565992,0.16690112870422813,0.002086706557849175,0.0013888570562752976,0.09409499637201375,0.062268887247358046,0.10256228811321069,0.5309841045342376,0.041952070858442096,0.009041525807386225,0.3323708689669565
BTRC,0.51991653,0.31720167750672057,0.36574585904616763,0.07415901744280638,0.01238621141646671,0.07636725290401561,0.030383406295598384,0.10034704938629604,0.04689192686852139,0.22041168561484356,0.06137758495973344,0.019889218745420285,0.04449308005398309
TCF7L2,0.68443453,0.1606176068753933,0.10856563818250965,0.3570496382265511,0.075696916608483,0.20749696249207014,0.10990399566567526,0.1822074799460968,0.11928421111759985,0.929008031729095,0.06550581930065055,0.0027627739458905495,0.001761034348174423
TEAD4,0.6780207,0.008552292265013053,0.0008836287075500234,0.003320382685219381,0.028719033422744216,0.027284695087252436,0.001507092239351118,0.024132842851790372,0.0035258960862042353,0.004059087611266491,8.826611674903353e-05,9.754973844658763e-06,2.77856898610166e-05
MPP5,0.4637322,0.07472666377832836,0.06160170082156219,0.02658565168659472,0.00767955921069374,0.03022112252629402,0.007757635677981064,0.03567324329234568,0.021634261457717012,0.12077289162817313,0.04454816958626839,0.0029347542858403127,0.018603113201973054
SMAD3,0.64515615,0.11254623981819487,0.04203602306888185,0.335021823025299,0.02139954271708499,0.02792036786502853,0.01627050078020162,0.1277563584899722,0.015331906036141056,0.39976693046774775,0.013299211174712104,0.05082142614225793,0.014887242689045196
AXIN1,0.42313936,0.0021022725818292784,0.0018137255859833807,0.005345035992979136,0.001215620102206952,0.00435125655188984,0.0010886091799167657,0.008601120681049922,0.0036196902223275674,0.016101255491716347,0.00821187238702301,0.009287033245313055,0.0049311301987105555
PARD6A,0.78977513,1.209187429790293e-06,9.888895709603003e-07,1.2392276686673484e-06,0.00010328569914171856,2.907242474926485e-05,0.00019521980583536683,4.656399779071082e-05,8.455572868673435e-06,3.4564868251352735e-06,5.478437556615163e-05,0.0003851540902375831,0.0
YWHAE,0.40316638,0.1623139857443522,0.16374450901509655,0.14734288104557688,0.3875234481209716,0.29881475036208693,0.11187622019801306,0.33889178295911426,0.12414289591932397,0.34576692052651564,0.22934541040043038,0.06425558017570834,0.03686102481706684
DVL2,0.3333712,0.0013845687439301157,0.0011127009236756647,0.0011484300231930141,0.0009366995839310085,0.000740104416047284,0.0010629000099600927,0.0028451055626657175,0.0006220908557061737,0.0025395473589460657,0.0006982627204980714,0.0006673576485315704,0.00013308137196884628
LLGL1,0.3752475,7.461094429749696e-05,2.2778372743690146e-05,0.00011977158911303046,0.00015438310068992603,8.390846744927662e-05,5.074594305449087e-05,0.00011925864876613599,6.078131810816275e-05,0.00011745958461505288,6.641600080631589e-05,0.00012779644673338776,6.793539305667393e-06
WNT3,0.93145925,0.00027503398528238963,0.00021918198932943824,7.35470854569762e-05,6.577788545963569e-06,0.00012788748994297042,3.4946235148217366e-05,0.00033921278244837793,2.3168356069798235e-05,0.01722952532161591,7.065380483921372e-06,2.8129400767343508e-06,1.811863692689444e-05
AXIN2,0.82064337,0.009514764289175043,0.0021781245646679396,0.00043158255721752415,9.877502414073575e-06,3.289433347212302e-05,4.051323391806788e-05,0.00043309279677855486,0.00014746260098782199,0.0029949988880476016,8.276177318893845e-06,3.0181771426036895e-05,2.4342151028011147e-06
LLGL2,0.71015954,0.0010289320652968003,0.00011385956150231778,9.323057514608915e-05,0.0016461994600524457,0.004205558802860584,0.00018220246907388028,0.0027988235075854986,0.0005432965475261409,0.0018168753933038829,0.0007818449752656145,0.010459411475260636,0.003702735107168917
SMAD2,0.35296023,0.17039318831452865,0.14205556745378156,0.08183997532168706,0.0606074385414386,0.12270433414856899,0.024459802027798037,0.07729180561785666,0.08144208287515874,0.269687472431044,0.18820580210174084,0.05244328799939214,0.04441870830217311
SMAD7,0.7126058,0.02994935425584934,0.0012431065990421522,0.017217622804372317,0.03704543599853144,0.0007381071081262757,0.0006922283987157124,0.0017722753161175026,0.003720402330547184,0.08347654973726226,0.006110125441203127,0.0029019113899415713,0.0006775583969343693
SMAD4,0.29566094,0.05304602996978339,0.031193843739895734,0.04942974874703975,0.020974845010052843,0.045508976079322194,0.01146903925190572,0.0382602849346123,0.029171298209344897,0.07925989760438984,0.06039241451331227,0.01487148577707191,0.006050146790497765
