#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	CTNNA1	9606.ENSP00000494750	9606.ENSP00000304669	0	0.100	0.900	0	0.906
ACTB	CTNNA2	9606.ENSP00000494750	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTB	CTNNA3	9606.ENSP00000494750	9606.ENSP00000389714	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTG1	CTNNA1	9606.ENSP00000458162	9606.ENSP00000304669	0	0	0.900	0	0.900
ACTG1	CTNNA2	9606.ENSP00000458162	9606.ENSP00000384638	0	0	0.900	0	0.900
ACTG1	CTNNA3	9606.ENSP00000458162	9606.ENSP00000389714	0	0	0.900	0	0.900
AJUBA	WTIP	9606.ENSP00000262713	9606.ENSP00000466953	0	0	0.900	0	0.900
AJUBA	LIMD1	9606.ENSP00000262713	9606.ENSP00000273317	0	0.233	0.900	0	0.920
AMOT	MPP5	9606.ENSP00000361027	9606.ENSP00000261681	0	0.583	0.900	0	0.956
AMOT	PRKCI	9606.ENSP00000361027	9606.ENSP00000295797	0	0.165	0.900	0	0.912
AMOT	PRKCZ	9606.ENSP00000361027	9606.ENSP00000367830	0	0	0.900	0	0.900
AMOT	YAP1	9606.ENSP00000361027	9606.ENSP00000478927	0	0.457	0.900	0	0.943
AMOT	WWTR1	9606.ENSP00000361027	9606.ENSP00000419465	0	0.457	0.900	0	0.943
AMOT	PATJ	9606.ENSP00000361027	9606.ENSP00000494277	0	0.457	0.900	0	0.943
APC	DVL2	9606.ENSP00000257430	9606.ENSP00000005340	0	0.434	0.900	0	0.940
APC	WNT3	9606.ENSP00000257430	9606.ENSP00000225512	0	0	0.720	0	0.720
APC	CDH1	9606.ENSP00000257430	9606.ENSP00000261769	0	0	0.720	0	0.720
APC	CTNNA1	9606.ENSP00000257430	9606.ENSP00000304669	0	0.657	0.720	0	0.899
APC	APC2	9606.ENSP00000257430	9606.ENSP00000442954	0	0	0.900	0	0.900
