"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB7","m = 0.00024 
 p = 0.06752","m = 0.00051 
 p = 0.11746","m = 0.00065 
 p = 0.13473","m = 0.00044 
 p = 0.08213","m = 0.00169 
 p = 0.30888","m = 0.00033 
 p = 0.04398","m = 0.00004 
 p = 0.09461","m = 0.00151 
 p = 0.24162","m = 0.00321 
 p = 0.92957","m = 0.00658 
 p = 1.37868","m = 0.07730 
 p = 10.39644","m = 0.00069 
 p = 0.05397"
"ITGB4","m = 0.00348 
 p = 0.81898","m = 0.00164 
 p = 0.35132","m = 0.00266 
 p = 0.48459","m = 0.03286 
 p = 5.40816","m = 0.11456 
 p = 17.37452","m = 0.00144 
 p = 0.19887","m = 0.01980 
 p = 4.54115","m = 0.27121 
 p = 30.32317","m = 0.00689 
 p = 1.74886","m = 0.00103 
 p = 0.20807","m = 0.00098 
 p = 0.14445","m = 0.00408 
 p = 0.43173"
"ITGB8","m = 0.00217 
 p = 0.46612","m = 0.00544 
 p = 1.22699","m = 0.05659 
 p = 8.25685","m = 0.00193 
 p = 0.28516","m = 0.05066 
 p = 7.10425","m = 0.00330 
 p = 0.42163","m = 0.19889 
 p = 28.19300","m = 0.65088 
 p = 54.13772","m = 0.03112 
 p = 7.05845","m = 0.02368 
 p = 3.19877","m = 0.00224 
 p = 0.29693","m = 0.08092 
 p = 7.60928"
"ITGA4","m = 0.00162 
 p = 0.36593","m = 0.00079 
 p = 0.18038","m = 0.00288 
 p = 0.60411","m = 0.00113 
 p = 0.17642","m = 0.00788 
 p = 1.31274","m = 0.01152 
 p = 1.40927","m = 0.01036 
 p = 2.74361","m = 0.02909 
 p = 3.85080","m = 0.00759 
 p = 1.65432","m = 0.07437 
 p = 11.35807","m = 0.34196 
 p = 34.01011","m = 0.12079 
 p = 11.98057"
"PIK3R3","m = 0.08557 
 p = 18.47270","m = 0.03413 
 p = 8.27120","m = 0.01045 
 p = 1.90286","m = 0.37770 
 p = 40.92316","m = 0.06178 
 p = 9.03475","m = 0.00826 
 p = 1.15017","m = 0.02743 
 p = 5.58184","m = 0.01244 
 p = 2.34068","m = 0.01617 
 p = 3.48196","m = 0.03005 
 p = 5.40777","m = 0.01013 
 p = 1.43648","m = 0.00725 
 p = 0.80950"
"ITGAL","m = 0.01635 
 p = 3.21492","m = 0.01133 
 p = 2.40889","m = 0.01122 
 p = 1.58632","m = 0.00429 
 p = 0.48515","m = 0.01433 
 p = 2.16216","m = 0.00845 
 p = 0.94366","m = 0.01921 
 p = 3.87890","m = 0.01392 
 p = 1.91785","m = 0.02364 
 p = 5.79801","m = 0.04798 
 p = 7.91623","m = 0.21717 
 p = 24.56464","m = 0.01552 
 p = 1.67296"
"ITGB2","m = 0.00132 
 p = 0.27662","m = 0.00059 
 p = 0.13266","m = 0.00154 
 p = 0.41433","m = 0.00129 
 p = 0.20836","m = 0.01228 
 p = 2.23938","m = 0.00104 
 p = 0.13290","m = 0.00906 
 p = 2.55440","m = 0.00319 
 p = 0.45304","m = 0.00415 
 p = 1.07137","m = 0.24164 
 p = 33.19527","m = 0.29344 
 p = 32.16837","m = 0.01401 
 p = 1.45710"
"IGF1","m = 0.00614 
 p = 1.58568","m = 0.00144 
 p = 0.33559","m = 0.24545 
 p = 26.84365","m = 0.00152 
 p = 0.24866","m = 0.18471 
 p = 23.70656","m = 0.00353 
 p = 0.44458","m = 0.03029 
 p = 6.62252","m = 0.02804 
 p = 3.85080","m = 0.55239 
 p = 61.57240","m = 0.07806 
 p = 11.22389","m = 0.00528 
 p = 0.78645","m = 0.00629 
 p = 0.64760"
"ITGA6","m = 0.03347 
 p = 9.03487","m = 0.03959 
 p = 9.61879","m = 0.00636 
 p = 1.22705","m = 0.48523 
 p = 50.31900","m = 0.16277 
 p = 23.32046","m = 0.00525 
 p = 0.78017","m = 0.06075 
 p = 12.58278","m = 0.13341 
 p = 16.58109","m = 0.09098 
 p = 19.97794","m = 0.02167 
 p = 4.19632","m = 0.06920 
 p = 8.06918","m = 0.01173 
 p = 1.24123"
"ITGA2","m = 0.00527 
 p = 1.31559","m = 0.01737 
 p = 3.66945","m = 0.01103 
 p = 1.83550","m = 0.03073 
 p = 4.42112","m = 0.06066 
 p = 9.18919","m = 0.00485 
 p = 0.61572","m = 0.03011 
 p = 6.33869","m = 0.13295 
 p = 15.55421","m = 0.00644 
 p = 1.87490","m = 0.00319 
 p = 0.53669","m = 0.00796 
 p = 0.97504","m = 0.00800 
 p = 0.86346"
