#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0.097	0.900	0	0.905
ACTB	ITGB8	9606.ENSP00000494750	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0.178	0.900	0	0.914
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTB	ITGB6	9606.ENSP00000494750	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTB	PARVA	9606.ENSP00000494750	9606.ENSP00000334008	0	0.488	0.900	0	0.946
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0.345	0.900	0	0.931
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTB	PARVB	9606.ENSP00000494750	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTB	PARVG	9606.ENSP00000494750	9606.ENSP00000391583	0	0	0.900	0	0.900
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTG1	VCL	9606.ENSP00000458162	9606.ENSP00000211998	0	0.223	0.900	0	0.918
ACTG1	ITGB8	9606.ENSP00000458162	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0.900	0	0.900
ACTG1	ITGB7	9606.ENSP00000458162	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTG1	ITGB6	9606.ENSP00000458162	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTG1	ITGB5	9606.ENSP00000458162	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTG1	PARVA	9606.ENSP00000458162	9606.ENSP00000334008	0	0	0.900	0	0.900
ACTG1	ACTN1	9606.ENSP00000458162	9606.ENSP00000377941	0	0	0.900	0	0.900
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTG1	PARVB	9606.ENSP00000458162	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTG1	PARVG	9606.ENSP00000458162	9606.ENSP00000391583	0	0	0.900	0	0.900
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTG1	CDC42	9606.ENSP00000458162	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0.933	0.900	0	0.993
ACTN1	ITGA5	9606.ENSP00000377941	9606.ENSP00000293379	0	0	0.900	0	0.900
ACTN1	PARVB	9606.ENSP00000377941	9606.ENSP00000384515	0	0	0.900	0	0.900
ACTN1	ITGB1	9606.ENSP00000377941	9606.ENSP00000379350	0	0.292	0.900	0	0.926
ACTN4	VCL	9606.ENSP00000252699	9606.ENSP00000211998	0	0.902	0.900	0	0.989
ACTN4	ITGA5	9606.ENSP00000252699	9606.ENSP00000293379	0	0	0.900	0	0.900
ACTN4	ITGB1	9606.ENSP00000252699	9606.ENSP00000379350	0	0	0.900	0	0.900
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ARHGEF6	CDC42	9606.ENSP00000250617	9606.ENSP00000497733	0	0.547	0.400	0	0.716
ARHGEF6	PARVB	9606.ENSP00000250617	9606.ENSP00000384515	0	0	0.900	0	0.900
C3	ITGB2	9606.ENSP00000245907	9606.ENSP00000380948	0	0.292	0.900	0	0.926
C3	ITGAM	9606.ENSP00000245907	9606.ENSP00000496959	0	0.926	0.900	0	0.992
CCND1	CCND3	9606.ENSP00000227507	9606.ENSP00000362082	0	0	0.900	0	0.900
CCND1	CCND2	9606.ENSP00000227507	9606.ENSP00000261254	0	0	0.900	0	0.900
CCND2	CCND3	9606.ENSP00000261254	9606.ENSP00000362082	0	0	0.900	0	0.900
CDC42	RAC2	9606.ENSP00000497733	9606.ENSP00000249071	0	0.164	0.900	0	0.912
CDC42	RAC3	9606.ENSP00000497733	9606.ENSP00000304283	0	0.164	0.900	0	0.912
CDC42	RAC1	9606.ENSP00000497733	9606.ENSP00000348461	0	0.165	0.700	0	0.738
CDH1	CTNNB1	9606.ENSP00000261769	9606.ENSP00000495360	0	0.962	0.900	0	0.996
COL18A1	ITGA5	9606.ENSP00000352798	9606.ENSP00000293379	0	0.457	0.500	0	0.716
COL18A1	ITGB1	9606.ENSP00000352798	9606.ENSP00000379350	0	0.457	0.500	0	0.716
COL1A1	COL2A1	9606.ENSP00000225964	9606.ENSP00000369889	0	0.075	0.720	0	0.729
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0.492	0.900	0	0.947
COL1A2	COL2A1	9606.ENSP00000297268	9606.ENSP00000369889	0	0	0.720	0	0.720
COL4A1	COL4A2	9606.ENSP00000364979	9606.ENSP00000353654	0	0.948	0.900	0	0.994
COL4A3	COL4A5	9606.ENSP00000379823	9606.ENSP00000331902	0	0	0.800	0	0.800
COL4A3	COL4A4	9606.ENSP00000379823	9606.ENSP00000379866	0	0	0.900	0	0.900
COL4A4	COL4A5	9606.ENSP00000379866	9606.ENSP00000331902	0	0	0.800	0	0.800
COL4A5	COL4A6	9606.ENSP00000331902	9606.ENSP00000378340	0	0.090	0.800	0	0.810
COL6A1	COL6A3	9606.ENSP00000355180	9606.ENSP00000295550	0	0	0.720	0	0.720
COL9A1	COL9A2	9606.ENSP00000349790	9606.ENSP00000361834	0	0.900	0.800	0	0.979
COL9A1	COL9A3	9606.ENSP00000349790	9606.ENSP00000496793	0	0.900	0.800	0	0.979
COL9A2	COL9A3	9606.ENSP00000361834	9606.ENSP00000496793	0	0.900	0.800	0	0.979
CTNNB1	KDR	9606.ENSP00000495360	9606.ENSP00000263923	0	0	0.800	0	0.800
CTNNB1	GSK3B	9606.ENSP00000495360	9606.ENSP00000324806	0	0.564	0.800	0	0.909
EGF	PDGFA	9606.ENSP00000265171	9606.ENSP00000346508	0	0	0.900	0	0.900
EGF	PDGFB	9606.ENSP00000265171	9606.ENSP00000330382	0	0	0.900	0	0.900
EGF	PDGFD	9606.ENSP00000265171	9606.ENSP00000376865	0	0	0.900	0	0.900
EGF	PDGFC	9606.ENSP00000265171	9606.ENSP00000422464	0	0	0.900	0	0.900
EGF	IGF1	9606.ENSP00000265171	9606.ENSP00000376637	0	0	0.900	0	0.900
