"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"IL2RB","m = 0.00072 
 p = 0.15900","m = 0.00053 
 p = 0.11274","m = 0.00077 
 p = 0.14849","m = 0.00086 
 p = 0.13536","m = 0.00207 
 p = 0.23166","m = 0.00047 
 p = 0.05067","m = 0.00078 
 p = 0.47304","m = 0.00194 
 p = 0.25672","m = 0.00130 
 p = 0.37813","m = 0.00657 
 p = 1.16867","m = 0.13816 
 p = 15.74914","m = 0.00351 
 p = 0.37777"
"IL2RG","m = 0.00005 
 p = 0.02396","m = 0.00012 
 p = 0.02045","m = 0.00021 
 p = 0.08765","m = 0.00337 
 p = 0.54599","m = 0.00486 
 p = 0.84942","m = 0.00017 
 p = 0.02295","m = 0.00047 
 p = 0.47304","m = 0.00093 
 p = 0.13591","m = 0.00150 
 p = 0.36238","m = 0.03196 
 p = 5.23860","m = 0.27129 
 p = 29.39170","m = 0.00633 
 p = 0.59363"
"IL7R","m = 0.00068 
 p = 0.18296","m = 0.00042 
 p = 0.07446","m = 0.00217 
 p = 0.43968","m = 0.00204 
 p = 0.28896","m = 0.00924 
 p = 1.31274","m = 0.00058 
 p = 0.07744","m = 0.01135 
 p = 2.55440","m = 0.00710 
 p = 0.90607","m = 0.00723 
 p = 1.22893","m = 0.04301 
 p = 5.58278","m = 0.43015 
 p = 33.41225","m = 0.00791 
 p = 0.64760"
"PDGFRA","m = 0.00203 
 p = 0.63166","m = 0.00077 
 p = 0.20869","m = 0.36661 
 p = 38.61360","m = 0.00341 
 p = 0.60758","m = 0.01548 
 p = 2.39382","m = 0.00543 
 p = 0.70655","m = 0.04529 
 p = 8.23084","m = 0.04092 
 p = 5.58744","m = 0.04593 
 p = 9.26422","m = 0.00406 
 p = 0.81282","m = 0.00180 
 p = 0.30094","m = 0.00382 
 p = 0.37777"
"PDGFRB","m = 0.00417 
 p = 0.92788","m = 0.00430 
 p = 0.82376","m = 0.30480 
 p = 35.43081","m = 0.00996 
 p = 1.50565","m = 0.01451 
 p = 1.69884","m = 0.96944 
 p = 76.37222","m = 0.02198 
 p = 5.48723","m = 0.09904 
 p = 11.85442","m = 0.07633 
 p = 15.18828","m = 0.00637 
 p = 1.08505","m = 0.01283 
 p = 1.70532","m = 0.00973 
 p = 0.91743"
"CSF3R","m = 0.00226 
 p = 0.61859","m = 0.00092 
 p = 0.19978","m = 0.01726 
 p = 2.71486","m = 0.00082 
 p = 0.12243","m = 0.01302 
 p = 1.31274","m = 0.00098 
 p = 0.12620","m = 0.00501 
 p = 1.89215","m = 0.00282 
 p = 0.55874","m = 0.01250 
 p = 3.13534","m = 0.12988 
 p = 18.24758","m = 0.00554 
 p = 0.76238","m = 0.02203 
 p = 1.99676"
"IL21R","m = 0.00096 
 p = 0.21781","m = 0.00081 
 p = 0.16412","m = 0.00104 
 p = 0.22165","m = 0.00328 
 p = 0.45245","m = 0.00434 
 p = 0.61776","m = 0.00051 
 p = 0.06310","m = 0.00149 
 p = 0.66225","m = 0.00148 
 p = 0.24162","m = 0.00260 
 p = 0.59871","m = 0.01731 
 p = 2.98682","m = 0.04634 
 p = 5.62154","m = 0.00183 
 p = 0.21587"
"PIK3R3","m = 0.09027 
 p = 18.47270","m = 0.03601 
 p = 8.27120","m = 0.01102 
 p = 1.90286","m = 0.39844 
 p = 40.92316","m = 0.06517 
 p = 9.03475","m = 0.00871 
 p = 1.15017","m = 0.02893 
 p = 5.58184","m = 0.01313 
 p = 2.34068","m = 0.01705 
 p = 3.48196","m = 0.03170 
 p = 5.40777","m = 0.01068 
 p = 1.43648","m = 0.00765 
 p = 0.80950"
"IL2RA","m = 0.00297 
 p = 0.54235","m = 0.00208 
 p = 0.40585","m = 0.00539 
 p = 0.91920","m = 0.00103 
 p = 0.13460","m = 0.00902 
 p = 1.15830","m = 0.00100 
 p = 0.10230","m = 0.00763 
 p = 2.17597","m = 0.00317 
 p = 0.39263","m = 0.00544 
 p = 1.43375","m = 0.15203 
 p = 17.81978","m = 0.03074 
 p = 3.45077","m = 0.05590 
 p = 4.64112"
"IL12RB1","m = 0.00387 
 p = 0.76670","m = 0.00268 
 p = 0.55320","m = 0.00250 
 p = 0.43968","m = 0.00097 
 p = 0.11406","m = 0.00660 
 p = 0.77220","m = 0.00172 
 p = 0.19217","m = 0.00216 
 p = 1.04068","m = 0.00373 
 p = 0.49834","m = 0.00497 
 p = 1.13439","m = 0.02244 
 p = 3.93770","m = 0.05313 
 p = 6.76912","m = 0.00327 
 p = 0.32380"
