,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
IL22RA1,0.7413227,3.582599963189127e-05,7.570389427030182e-05,1.7271414822797446e-06,1.28060785201145e-07,1.5603175250144538e-06,3.437206519776422e-07,7.946616921542158e-05,1.7975124819370167e-06,5.230619829621713e-06,3.84073077269979e-07,1.0304563731043615e-07,7.410623063823371e-07
IFNLR1,0.81168026,0.004340941419619305,0.0022690539458129484,6.910756431116033e-06,5.476161698274257e-06,6.141620454410788e-05,2.7522354827694416e-06,0.0008747412549118559,2.0066055738401173e-05,4.645023138101071e-05,2.6916462920233214e-05,0.0002244342859613504,2.5429086899409984e-06
CSF3R,0.9417959,3.158139874579114e-05,4.160606570568815e-06,0.0010594907423392232,2.274319790435433e-06,0.0003863518734005888,2.7963273955155332e-06,0.0002142886720181865,3.5629264151886204e-05,0.0008860276224027379,0.05358274356304396,9.550822644782443e-05,0.000994324943485996
PIK3R3,0.92691445,0.037699275928582146,0.006733275140552602,0.00047409962369595547,0.36863849352423284,0.013311022393491734,0.0002265172845416517,0.00365136939478913,0.0006946021177907502,0.001342566954759945,0.0038756706449048356,0.0003470032985683391,0.0001399955600178441
JAK1,0.38879368,0.2308539262991252,0.17293545951078662,0.29292240647014833,0.18917418392859167,0.35619660602112996,0.15732010361313833,0.15038916358659035,0.12078321963881697,0.39207246710376253,0.26723006588016374,0.43875491196984284,0.09227911845710042
LEPR,0.607126,0.0008870475051793096,0.0010960567038783453,0.014828555251552886,0.0327695099238973,0.03354020650322373,0.000993821641339738,0.007233891350656833,0.003611222346071677,0.024928066699321162,0.006941795125571803,0.00028462012490260163,0.003810018992591277
IL23R,0.70564276,2.2621516634333576e-05,1.7225684207510007e-05,9.387068552720646e-06,7.440843635517845e-07,5.253092979142104e-05,2.9645792358105476e-06,1.4394588676847821e-05,1.2817900747114784e-05,3.784124683562331e-05,5.511226456970056e-06,4.183146009910318e-05,0.0001082633935112086
IL12RB2,0.65152377,0.002627354466996402,0.0017299952462591377,0.0005486045909048374,1.444986019881115e-05,0.000541229881202392,0.00011163624231923648,0.0016292697532400277,0.00023831588271538393,0.018621054440572427,0.010876817663005299,0.006846687105128474,0.0007680941270578893
IL6R,0.6904249,0.019435861694530012,0.015360328183027365,0.01887275162385515,0.0002454463422240642,0.004361471401448416,0.0014376020199124663,0.07577281617960392,0.008304586367947715,0.025546258643835345,0.10603479853784617,0.0013060656953691222,0.008047381849206593
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
