#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0.690	0.900	0	0.967
BCL2L1	MCL1	9606.ENSP00000365230	9606.ENSP00000358022	0	0.362	0.900	0	0.933
CCND1	CCND3	9606.ENSP00000227507	9606.ENSP00000362082	0	0	0.900	0	0.900
CCND1	CCND2	9606.ENSP00000227507	9606.ENSP00000261254	0	0	0.900	0	0.900
CCND1	CREBBP	9606.ENSP00000227507	9606.ENSP00000262367	0	0.292	0.900	0	0.926
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0.971	0.400	0	0.981
CCND2	CDKN1A	9606.ENSP00000261254	9606.ENSP00000384849	0	0.734	0.400	0	0.833
CCND2	CCND3	9606.ENSP00000261254	9606.ENSP00000362082	0	0	0.900	0	0.900
CCND3	CDKN1A	9606.ENSP00000362082	9606.ENSP00000384849	0	0.734	0.400	0	0.833
CLCF1	CNTFR	9606.ENSP00000309338	9606.ENSP00000368265	0	0.549	0.720	0	0.868
CNTF	CSF3	9606.ENSP00000355370	9606.ENSP00000225474	0	0	0.900	0	0.900
CNTF	EPO	9606.ENSP00000355370	9606.ENSP00000252723	0	0	0.900	0	0.900
CNTF	PRL	9606.ENSP00000355370	9606.ENSP00000302150	0	0	0.900	0	0.900
CNTF	LEP	9606.ENSP00000355370	9606.ENSP00000312652	0	0	0.900	0	0.900
CNTF	GH1	9606.ENSP00000355370	9606.ENSP00000312673	0	0	0.900	0	0.900
CNTF	CSH1	9606.ENSP00000355370	9606.ENSP00000316416	0	0	0.900	0	0.900
CNTF	GH2	9606.ENSP00000355370	9606.ENSP00000333157	0	0	0.900	0	0.900
CNTF	CSH2	9606.ENSP00000355370	9606.ENSP00000376623	0	0	0.900	0	0.900
CNTF	THPO	9606.ENSP00000355370	9606.ENSP00000494504	0	0	0.900	0	0.900
CNTF	IL6ST	9606.ENSP00000355370	9606.ENSP00000370698	0	0.691	0.500	0	0.838
CNTF	LIFR	9606.ENSP00000355370	9606.ENSP00000398368	0	0.691	0.500	0	0.838
CNTF	CNTFR	9606.ENSP00000355370	9606.ENSP00000368265	0	0.691	0.900	0	0.967
CNTFR	IL6R	9606.ENSP00000368265	9606.ENSP00000357470	0	0	0.720	0	0.720
CNTFR	IL6ST	9606.ENSP00000368265	9606.ENSP00000370698	0	0.292	0.800	0	0.852
CNTFR	LIFR	9606.ENSP00000368265	9606.ENSP00000398368	0	0.457	0.800	0	0.886
CREBBP	STAT2	9606.ENSP00000262367	9606.ENSP00000315768	0	0.943	0	0	0.943
CREBBP	STAT1	9606.ENSP00000262367	9606.ENSP00000354394	0	0.943	0	0	0.943
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0.457	0.900	0	0.943
CRLF2	IL7R	9606.ENSP00000370978	9606.ENSP00000306157	0	0.922	0.900	0	0.991
CRLF2	TSLP	9606.ENSP00000370978	9606.ENSP00000339804	0	0.922	0.500	0	0.959
CSF2	JAK2	9606.ENSP00000296871	9606.ENSP00000371067	0	0	0.720	0	0.720
CSF2	CSF2RA	9606.ENSP00000296871	9606.ENSP00000394227	0	0.960	0.900	0	0.995
CSF2	CSF2RB	9606.ENSP00000296871	9606.ENSP00000384053	0	0.960	0.720	0	0.988
CSF2RA	JAK2	9606.ENSP00000394227	9606.ENSP00000371067	0	0	0.720	0	0.720
CSF2RA	CSF2RB	9606.ENSP00000394227	9606.ENSP00000384053	0	0.900	0.900	0	0.989
CSF2RB	IL5	9606.ENSP00000384053	9606.ENSP00000231454	0	0.526	0.400	0	0.703
CSF2RB	IL3	9606.ENSP00000384053	9606.ENSP00000296870	0	0.946	0.400	0	0.966
CSF2RB	IL3RA	9606.ENSP00000384053	9606.ENSP00000327890	0	0.900	0.900	0	0.989
CSF2RB	JAK2	9606.ENSP00000384053	9606.ENSP00000371067	0	0.457	0.900	0	0.943
CSF2RB	PTPN11	9606.ENSP00000384053	9606.ENSP00000489597	0	0.457	0.500	0	0.716
CSF2RB	PTPN6	9606.ENSP00000384053	9606.ENSP00000391592	0	0.457	0.500	0	0.716
CSF2RB	JAK1	9606.ENSP00000384053	9606.ENSP00000499900	0	0.457	0.650	0	0.801
CSF2RB	IL5RA	9606.ENSP00000384053	9606.ENSP00000412209	0	0.490	0.800	0	0.893
CSF3	PRL	9606.ENSP00000225474	9606.ENSP00000302150	0	0	0.900	0	0.900
CSF3	CSH2	9606.ENSP00000225474	9606.ENSP00000376623	0	0	0.900	0	0.900
CSF3	GH1	9606.ENSP00000225474	9606.ENSP00000312673	0	0	0.900	0	0.900
CSF3	LEP	9606.ENSP00000225474	9606.ENSP00000312652	0	0	0.900	0	0.900
CSF3	CSH1	9606.ENSP00000225474	9606.ENSP00000316416	0	0	0.900	0	0.900
CSF3	GH2	9606.ENSP00000225474	9606.ENSP00000333157	0	0	0.900	0	0.900
CSF3	THPO	9606.ENSP00000225474	9606.ENSP00000494504	0	0	0.900	0	0.900
CSF3	EPO	9606.ENSP00000225474	9606.ENSP00000252723	0	0	0.900	0	0.900
CSF3	CSF3R	9606.ENSP00000225474	9606.ENSP00000362195	0	0.946	0.700	0	0.983
CSF3R	GRB2	9606.ENSP00000362195	9606.ENSP00000376345	0	0.457	0.500	0	0.716
CSF3R	JAK3	9606.ENSP00000362195	9606.ENSP00000432511	0	0.133	0.800	0	0.819
CSF3R	JAK1	9606.ENSP00000362195	9606.ENSP00000499900	0	0.359	0.800	0	0.866
CSF3R	JAK2	9606.ENSP00000362195	9606.ENSP00000371067	0	0.133	0.800	0	0.819
CSH1	EPO	9606.ENSP00000316416	9606.ENSP00000252723	0	0	0.900	0	0.900
CSH1	PRL	9606.ENSP00000316416	9606.ENSP00000302150	0	0	0.900	0	0.900
CSH1	LEP	9606.ENSP00000316416	9606.ENSP00000312652	0	0	0.900	0	0.900
CSH1	GH1	9606.ENSP00000316416	9606.ENSP00000312673	0	0.414	0.900	0	0.938
CSH1	THPO	9606.ENSP00000316416	9606.ENSP00000494504	0	0	0.900	0	0.900
CSH1	GH2	9606.ENSP00000316416	9606.ENSP00000333157	0	0	0.900	0	0.900
CSH1	CSH2	9606.ENSP00000316416	9606.ENSP00000376623	0	0.886	0.900	0	0.988
CSH2	EPO	9606.ENSP00000376623	9606.ENSP00000252723	0	0	0.900	0	0.900
CSH2	PRL	9606.ENSP00000376623	9606.ENSP00000302150	0	0	0.900	0	0.900
CSH2	LEP	9606.ENSP00000376623	9606.ENSP00000312652	0	0	0.900	0	0.900
CSH2	GH1	9606.ENSP00000376623	9606.ENSP00000312673	0	0.363	0.900	0	0.933
CSH2	GH2	9606.ENSP00000376623	9606.ENSP00000333157	0	0	0.900	0	0.900
CSH2	THPO	9606.ENSP00000376623	9606.ENSP00000494504	0	0	0.900	0	0.900
CTF1	LIFR	9606.ENSP00000279804	9606.ENSP00000398368	0	0.608	0.500	0	0.795
EGF	PDGFA	9606.ENSP00000265171	9606.ENSP00000346508	0	0	0.900	0	0.900
EGF	PDGFB	9606.ENSP00000265171	9606.ENSP00000330382	0	0	0.900	0	0.900
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0.972	0.900	0	0.997
EGFR	PDGFRA	9606.ENSP00000275493	9606.ENSP00000257290	0	0.564	0.900	0	0.954
EGFR	PDGFRB	9606.ENSP00000275493	9606.ENSP00000261799	0	0.457	0.900	0	0.943
EGFR	STAM2	9606.ENSP00000275493	9606.ENSP00000263904	0	0.457	0.500	0	0.716
EGFR	PIK3CA	9606.ENSP00000275493	9606.ENSP00000263967	0	0.550	0.400	0	0.718
EGFR	JAK2	9606.ENSP00000275493	9606.ENSP00000371067	0	0.457	0.650	0	0.801
EGFR	JAK1	9606.ENSP00000275493	9606.ENSP00000499900	0	0.385	0.650	0	0.775
EGFR	PIK3R1	9606.ENSP00000275493	9606.ENSP00000428056	0	0.657	0.400	0	0.785
EGFR	SOS1	9606.ENSP00000275493	9606.ENSP00000384675	0	0.734	0.400	0	0.833
EGFR	PTPN11	9606.ENSP00000275493	9606.ENSP00000489597	0	0.734	0.400	0	0.833
EGFR	GRB2	9606.ENSP00000275493	9606.ENSP00000376345	0	0.735	0.900	0	0.972
EPO	EPOR	9606.ENSP00000252723	9606.ENSP00000222139	0	0.960	0.500	0	0.979
EPO	PRL	9606.ENSP00000252723	9606.ENSP00000302150	0	0	0.900	0	0.900
EPO	LEP	9606.ENSP00000252723	9606.ENSP00000312652	0	0	0.900	0	0.900
EPO	THPO	9606.ENSP00000252723	9606.ENSP00000494504	0	0	0.900	0	0.900
EPO	GH1	9606.ENSP00000252723	9606.ENSP00000312673	0	0	0.900	0	0.900
EPO	GH2	9606.ENSP00000252723	9606.ENSP00000333157	0	0	0.900	0	0.900
EPOR	PIK3R1	9606.ENSP00000222139	9606.ENSP00000428056	0	0.457	0.500	0	0.716
EPOR	JAK3	9606.ENSP00000222139	9606.ENSP00000432511	0	0	0.800	0	0.800
EPOR	STAT5A	9606.ENSP00000222139	9606.ENSP00000341208	0	0.457	0.500	0	0.716
EPOR	JAK1	9606.ENSP00000222139	9606.ENSP00000499900	0	0	0.800	0	0.800
EPOR	GRB2	9606.ENSP00000222139	9606.ENSP00000376345	0	0.457	0.500	0	0.716
EPOR	JAK2	9606.ENSP00000222139	9606.ENSP00000371067	0	0.943	0.800	0	0.988
GH1	PRL	9606.ENSP00000312673	9606.ENSP00000302150	0	0	0.900	0	0.900
GH1	LEP	9606.ENSP00000312673	9606.ENSP00000312652	0	0	0.900	0	0.900
GH1	GH2	9606.ENSP00000312673	9606.ENSP00000333157	0	0	0.900	0	0.900
GH1	THPO	9606.ENSP00000312673	9606.ENSP00000494504	0	0	0.900	0	0.900
GH1	PRLR	9606.ENSP00000312673	9606.ENSP00000482954	0	0.946	0.500	0	0.971
GH1	GHR	9606.ENSP00000312673	9606.ENSP00000483403	0	0.960	0.720	0	0.988
GH2	PRL	9606.ENSP00000333157	9606.ENSP00000302150	0	0	0.900	0	0.900
GH2	LEP	9606.ENSP00000333157	9606.ENSP00000312652	0	0	0.900	0	0.900
GH2	GHR	9606.ENSP00000333157	9606.ENSP00000483403	0	0	0.700	0	0.700
GH2	THPO	9606.ENSP00000333157	9606.ENSP00000494504	0	0	0.900	0	0.900
GHR	STAT5B	9606.ENSP00000483403	9606.ENSP00000293328	0	0.548	0.500	0	0.764
GHR	JAK2	9606.ENSP00000483403	9606.ENSP00000371067	0	0.457	0.900	0	0.943
GHR	TYK2	9606.ENSP00000483403	9606.ENSP00000431885	0	0.292	0.650	0	0.741
GHR	JAK3	9606.ENSP00000483403	9606.ENSP00000432511	0	0	0.800	0	0.800
GHR	SOCS2	9606.ENSP00000483403	9606.ENSP00000481249	0	0.457	0.500	0	0.716
GHR	JAK1	9606.ENSP00000483403	9606.ENSP00000499900	0	0.292	0.800	0	0.852
GRB2	SOS2	9606.ENSP00000376345	9606.ENSP00000216373	0	0.700	0.900	0	0.968
GRB2	PDGFRA	9606.ENSP00000376345	9606.ENSP00000257290	0	0.457	0.650	0	0.801
GRB2	PDGFRB	9606.ENSP00000376345	9606.ENSP00000261799	0	0.534	0.650	0	0.829
GRB2	PTPN6	9606.ENSP00000376345	9606.ENSP00000391592	0	0.457	0.500	0	0.716
GRB2	PIK3R1	9606.ENSP00000376345	9606.ENSP00000428056	0	0.644	0.400	0	0.777
GRB2	PTPN11	9606.ENSP00000376345	9606.ENSP00000489597	0	0.734	0.900	0	0.972
GRB2	SOS1	9606.ENSP00000376345	9606.ENSP00000384675	0	0.834	0.900	0	0.982
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0.500	0	0.716
HRAS	SOS1	9606.ENSP00000407586	9606.ENSP00000384675	0	0.960	0.540	0	0.980
HRAS	RAF1	9606.ENSP00000407586	9606.ENSP00000401888	0	0.965	0.500	0	0.982
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0.542	0.500	0	0.761
IFNA1	IFNA13	9606.ENSP00000276927	9606.ENSP00000480467	0	0.831	0	0	0.831
IFNA2	IFNAR1	9606.ENSP00000369554	9606.ENSP00000270139	0	0.960	0.500	0	0.979
IFNA2	IFNAR2	9606.ENSP00000369554	9606.ENSP00000343957	0	0.960	0.500	0	0.979
IFNAR1	JAK2	9606.ENSP00000270139	9606.ENSP00000371067	0	0	0.800	0	0.800
IFNAR1	JAK3	9606.ENSP00000270139	9606.ENSP00000432511	0	0	0.800	0	0.800
IFNAR1	IFNGR1	9606.ENSP00000270139	9606.ENSP00000356713	0	0.429	0.900	0	0.940
IFNAR1	IFNW1	9606.ENSP00000270139	9606.ENSP00000369578	0	0.946	0	0	0.946
IFNAR1	STAT2	9606.ENSP00000270139	9606.ENSP00000315768	0	0.549	0.800	0	0.905
IFNAR1	IFNB1	9606.ENSP00000270139	9606.ENSP00000369581	0	0.643	0.500	0	0.814
IFNAR1	JAK1	9606.ENSP00000270139	9606.ENSP00000499900	0	0.362	0.900	0	0.933
IFNAR1	TYK2	9606.ENSP00000270139	9606.ENSP00000431885	0	0.943	0.900	0	0.994
IFNAR1	IFNAR2	9606.ENSP00000270139	9606.ENSP00000343957	0	0.886	0.900	0	0.988
IFNAR2	STAT2	9606.ENSP00000343957	9606.ENSP00000315768	0	0.457	0.800	0	0.886
IFNAR2	JAK3	9606.ENSP00000343957	9606.ENSP00000432511	0	0	0.800	0	0.800
IFNAR2	JAK2	9606.ENSP00000343957	9606.ENSP00000371067	0	0	0.800	0	0.800
IFNAR2	STAT1	9606.ENSP00000343957	9606.ENSP00000354394	0	0.457	0.500	0	0.716
IFNAR2	IFNGR1	9606.ENSP00000343957	9606.ENSP00000356713	0	0	0.900	0	0.900
IFNAR2	IFNW1	9606.ENSP00000343957	9606.ENSP00000369578	0	0.946	0	0	0.946
IFNAR2	TYK2	9606.ENSP00000343957	9606.ENSP00000431885	0	0	0.900	0	0.900
IFNAR2	JAK1	9606.ENSP00000343957	9606.ENSP00000499900	0	0.457	0.900	0	0.943
IFNG	IFNGR1	9606.ENSP00000229135	9606.ENSP00000356713	0	0.960	0.900	0	0.995
IFNG	IFNGR2	9606.ENSP00000229135	9606.ENSP00000371425	0	0.926	0.500	0	0.961
IFNGR1	STAT1	9606.ENSP00000356713	9606.ENSP00000354394	0	0.618	0.500	0	0.800
IFNGR1	JAK1	9606.ENSP00000356713	9606.ENSP00000499900	0	0.457	0.900	0	0.943
IFNGR1	JAK2	9606.ENSP00000356713	9606.ENSP00000371067	0	0.457	0.900	0	0.943
IFNGR1	IFNGR2	9606.ENSP00000356713	9606.ENSP00000371425	0	0.900	0.500	0	0.947
IFNGR2	JAK2	9606.ENSP00000371425	9606.ENSP00000371067	0	0.292	0.900	0	0.926
IFNL1	IL10RB	9606.ENSP00000329991	9606.ENSP00000290200	0	0	0.900	0	0.900
IFNL1	IFNLR1	9606.ENSP00000329991	9606.ENSP00000327824	0	0.946	0.900	0	0.994
IFNL2	IFNL3	9606.ENSP00000333639	9606.ENSP00000481633	0	0	0.900	0	0.900
IFNL3	IL10RB	9606.ENSP00000481633	9606.ENSP00000290200	0	0.900	0.500	0	0.947
IFNL3	IFNLR1	9606.ENSP00000481633	9606.ENSP00000327824	0	0.900	0.500	0	0.947
IFNLR1	IL10RB	9606.ENSP00000327824	9606.ENSP00000290200	0	0.900	0.900	0	0.989
IFNLR1	JAK1	9606.ENSP00000327824	9606.ENSP00000499900	0	0.960	0.900	0	0.995
IL10	IL10RA	9606.ENSP00000412237	9606.ENSP00000227752	0	0.960	0.900	0	0.995
IL10	IL10RB	9606.ENSP00000412237	9606.ENSP00000290200	0	0.952	0.900	0	0.994
IL10RA	TYK2	9606.ENSP00000227752	9606.ENSP00000431885	0	0	0.900	0	0.900
IL10RA	IL10RB	9606.ENSP00000227752	9606.ENSP00000290200	0	0.926	0.900	0	0.992
IL10RA	JAK1	9606.ENSP00000227752	9606.ENSP00000499900	0	0.943	0.900	0	0.994
IL10RB	IL22RA1	9606.ENSP00000290200	9606.ENSP00000270800	0	0.451	0.800	0	0.885
IL10RB	JAK1	9606.ENSP00000290200	9606.ENSP00000499900	0	0	0.900	0	0.900
IL10RB	IL22	9606.ENSP00000290200	9606.ENSP00000442424	0	0.615	0.500	0	0.799
IL10RB	IL20RA	9606.ENSP00000290200	9606.ENSP00000314976	0	0	0.800	0	0.800
IL10RB	TYK2	9606.ENSP00000290200	9606.ENSP00000431885	0	0	0.900	0	0.900
IL11	IL11RA	9606.ENSP00000264563	9606.ENSP00000450565	0	0.549	0.900	0	0.952
IL11RA	IL6ST	9606.ENSP00000450565	9606.ENSP00000370698	0	0	0.800	0	0.800
IL12A	IL12B	9606.ENSP00000303231	9606.ENSP00000231228	0	0.960	0.900	0	0.995
IL12A	IL12RB1	9606.ENSP00000303231	9606.ENSP00000470788	0	0.526	0.540	0	0.772
IL12B	IL23A	9606.ENSP00000231228	9606.ENSP00000228534	0	0.963	0.900	0	0.996
IL12B	IL23R	9606.ENSP00000231228	9606.ENSP00000321345	0	0.926	0.540	0	0.964
