"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"KIT","m = 0.00062 
 p = 0.24395","m = 0.00056 
 p = 0.17671","m = 0.00076 
 p = 0.22817","m = 0.00478 
 p = 0.98323","m = 0.00209 
 p = 0.38610","m = 0.00065 
 p = 0.11282","m = 0.00266 
 p = 1.22990","m = 0.00214 
 p = 0.43793","m = 0.00105 
 p = 0.37813","m = 0.00140 
 p = 0.27807","m = 0.00451 
 p = 0.74232","m = 0.72588 
 p = 77.92768"
"FLT4","m = 0.00023 
 p = 0.08059","m = 0.00012 
 p = 0.04667","m = 0.00037 
 p = 0.12459","m = 0.02262 
 p = 5.17395","m = 0.24352 
 p = 46.10039","m = 0.00031 
 p = 0.07266","m = 0.00138 
 p = 0.66225","m = 0.00085 
 p = 0.22652","m = 0.00122 
 p = 0.50418","m = 0.00033 
 p = 0.09723","m = 0.00205 
 p = 0.38119","m = 0.00074 
 p = 0.16190"
"ERBB3","m = 0.00226 
 p = 0.78195","m = 0.00216 
 p = 0.71732","m = 0.00266 
 p = 0.70986","m = 0.00071 
 p = 0.18326","m = 0.00246 
 p = 0.54054","m = 0.00082 
 p = 0.16636","m = 0.00682 
 p = 3.40587","m = 0.20827 
 p = 34.41558","m = 0.00484 
 p = 2.04821","m = 0.00075 
 p = 0.21001","m = 0.00122 
 p = 0.22871","m = 0.00369 
 p = 0.64760"
"BDNF","m = 0.00291 
 p = 1.23064","m = 0.06320 
 p = 18.63720","m = 0.00189 
 p = 0.56861","m = 0.00038 
 p = 0.13612","m = 0.00012 
 p = 0.07722","m = 0.00103 
 p = 0.22755","m = 0.00525 
 p = 1.79754","m = 0.00298 
 p = 0.81546","m = 0.00471 
 p = 2.23728","m = 0.00115 
 p = 0.44141","m = 0.00072 
 p = 0.18056","m = 0.00141 
 p = 0.21587"
"PDGFRA","m = 0.00128 
 p = 0.63166","m = 0.00048 
 p = 0.20869","m = 0.23062 
 p = 38.61360","m = 0.00214 
 p = 0.60758","m = 0.00974 
 p = 2.39382","m = 0.00342 
 p = 0.70655","m = 0.02849 
 p = 8.23084","m = 0.02574 
 p = 5.58744","m = 0.02889 
 p = 9.26422","m = 0.00255 
 p = 0.81282","m = 0.00113 
 p = 0.30094","m = 0.00240 
 p = 0.37777"
"PDGFRB","m = 0.00262 
 p = 0.92788","m = 0.00271 
 p = 0.82376","m = 0.19174 
 p = 35.43081","m = 0.00627 
 p = 1.50565","m = 0.00913 
 p = 1.69884","m = 0.60984 
 p = 76.37222","m = 0.01383 
 p = 5.48723","m = 0.06230 
 p = 11.85442","m = 0.04801 
 p = 15.18828","m = 0.00401 
 p = 1.08505","m = 0.00807 
 p = 1.70532","m = 0.00612 
 p = 0.91743"
"CACNA1H","m = 0.00242 
 p = 1.17619","m = 0.00095 
 p = 0.38278","m = 0.00121 
 p = 0.43533","m = 0.00070 
 p = 0.20912","m = 0.00108 
 p = 0.15444","m = 0.04805 
 p = 9.12872","m = 0.00352 
 p = 2.17597","m = 0.00203 
 p = 0.66445","m = 0.00100 
 p = 0.51993","m = 0.00028 
 p = 0.09528","m = 0.00067 
 p = 0.15649","m = 0.02082 
 p = 3.13006"
"NGFR","m = 0.00048 
 p = 0.24177","m = 0.00014 
 p = 0.04667","m = 0.03193 
 p = 7.17106","m = 0.00092 
 p = 0.26691","m = 0.00091 
 p = 0.30888","m = 0.02896 
 p = 5.61701","m = 0.00267 
 p = 1.79754","m = 0.10349 
 p = 17.95530","m = 0.00733 
 p = 3.54498","m = 0.00065 
 p = 0.19834","m = 0.00080 
 p = 0.20865","m = 0.00143 
 p = 0.21587"
"EGF","m = 0.12427 
 p = 34.74549","m = 0.08832 
 p = 25.93467","m = 0.00176 
 p = 0.62222","m = 0.00111 
 p = 0.35968","m = 0.00161 
 p = 0.30888","m = 0.00080 
 p = 0.19887","m = 0.00587 
 p = 2.74361","m = 0.00537 
 p = 1.91785","m = 0.00577 
 p = 2.12699","m = 0.00337 
 p = 1.00338","m = 0.00095 
 p = 0.25680","m = 0.00302 
 p = 0.43173"
"CACNG4","m = 0.00179 
 p = 0.64908","m = 0.00134 
 p = 0.46091","m = 0.00107 
 p = 0.26077","m = 0.00037 
 p = 0.07376","m = 0.00179 
 p = 0.23166","m = 0.00110 
 p = 0.19409","m = 0.01396 
 p = 3.87890","m = 0.00109 
 p = 0.21142","m = 0.00164 
 p = 0.72475","m = 0.00066 
 p = 0.15751","m = 0.00055 
 p = 0.11235","m = 0.00199 
 p = 0.26983"
"ARRB2","m = 0.00225 
 p = 0.89521","m = 0.00453 
 p = 1.59404","m = 0.00661 
 p = 1.77103","m = 0.00542 
 p = 1.39919","m = 0.01665 
 p = 4.24710","m = 0.00369 
 p = 0.79929","m = 0.02342 
 p = 9.55535","m = 0.00741 
 p = 1.60072","m = 0.00758 
 p = 3.15110","m = 0.17108 
 p = 38.32497","m = 0.07110 
 p = 14.01573","m = 0.02343 
 p = 3.66972"
"CACNA1D","m = 0.12029 
 p = 32.42360","m = 0.01598 
 p = 5.37780","m = 0.00869 
 p = 2.32371","m = 0.00278 
 p = 0.62963","m = 0.01670 
 p = 2.93436","m = 0.01019 
 p = 1.82708","m = 0.01325 
 p = 4.44655","m = 0.01567 
 p = 3.95651","m = 0.01344 
 p = 5.67197","m = 0.00829 
 p = 2.12927","m = 0.00295 
 p = 0.62595","m = 0.01586 
 p = 2.21263"
"NTRK1","m = 0.00034 
 p = 0.14158","m = 0.00038 
 p = 0.14682","m = 0.02329 
 p = 5.59415","m = 0.00031 
 p = 0.07756","m = 0.00062 
 p = 0.07722","m = 0.00529 
 p = 0.96756","m = 0.00285 
 p = 1.70293","m = 0.00284 
 p = 0.83056","m = 0.00690 
 p = 3.40318","m = 0.00079 
 p = 0.21973","m = 0.00131 
 p = 0.27285","m = 0.00563 
 p = 0.86346"
"NTF3","m = 0.00028 
 p = 0.11762","m = 0.00016 
 p = 0.05506","m = 0.01054 
 p = 2.55623","m = 0.00333 
 p = 0.75967","m = 0.00853 
 p = 2.16216","m = 0.02715 
 p = 5.43249","m = 0.00252 
 p = 1.22990","m = 0.00273 
 p = 0.80036","m = 0.00182 
 p = 0.88231","m = 0.00038 
 p = 0.10112","m = 0.00034 
 p = 0.07624","m = 0.00130 
 p = 0.21587"
"MET","m = 0.04216 
 p = 15.68034","m = 0.03392 
 p = 11.88768","m = 0.00313 
 p = 1.03727","m = 0.02902 
 p = 6.67351","m = 0.03499 
 p = 7.79923","m = 0.00087 
 p = 0.21512","m = 0.16536 
 p = 37.46452","m = 0.00964 
 p = 2.52190","m = 0.02359 
 p = 8.77580","m = 0.01391 
 p = 3.34072","m = 0.00104 
 p = 0.29693","m = 0.00333 
 p = 0.43173"
"PTPN7","m = 0.00209 
 p = 0.70136","m = 0.00145 
 p = 0.47769","m = 0.00309 
 p = 0.72870","m = 0.00074 
 p = 0.14828","m = 0.00307 
 p = 0.38610","m = 0.00079 
 p = 0.15106","m = 0.00574 
 p = 2.17597","m = 0.00457 
 p = 0.90607","m = 0.00436 
 p = 2.06397","m = 0.01812 
 p = 4.73301","m = 0.11353 
 p = 20.44780","m = 0.11129 
 p = 16.02806"
"PDGFB","m = 0.00687 
 p = 2.93394","m = 0.00118 
 p = 0.48293","m = 0.00145 
 p = 0.54688","m = 0.10452 
 p = 20.42280","m = 0.02767 
 p = 6.40927","m = 0.00684 
 p = 1.50392","m = 0.00488 
 p = 2.93283","m = 0.05116 
 p = 9.48354","m = 0.00363 
 p = 1.76461","m = 0.03703 
 p = 8.98962","m = 0.00333 
 p = 0.69015","m = 0.00127 
 p = 0.21587"
"FGFR3","m = 0.00009 
 p = 0.04356","m = 0.00005 
 p = 0.01573","m = 0.00130 
 p = 0.35783","m = 0.00767 
 p = 1.99232","m = 0.00503 
 p = 1.23552","m = 0.00204 
 p = 0.44076","m = 0.00140 
 p = 0.56764","m = 0.00098 
 p = 0.28692","m = 0.00060 
 p = 0.31511","m = 0.00021 
 p = 0.06028","m = 0.00012 
 p = 0.04013","m = 0.00000 
 p = 0.00000"
"KDR","m = 0.00051 
 p = 0.20257","m = 0.00038 
 p = 0.12375","m = 0.00226 
 p = 0.69030","m = 0.15106 
 p = 28.45291","m = 0.13844 
 p = 29.57529","m = 0.00202 
 p = 0.46370","m = 0.10430 
 p = 25.63860","m = 0.00266 
 p = 0.72486","m = 0.00291 
 p = 1.51253","m = 0.00165 
 p = 0.45502","m = 0.00086 
 p = 0.18859","m = 0.00195 
 p = 0.26983"
"FGFR2","m = 0.01774 
 p = 6.36013","m = 0.00156 
 p = 0.50967","m = 0.00989 
 p = 2.30995","m = 0.00130 
 p = 0.33079","m = 0.00252 
 p = 0.61776","m = 0.00133 
 p = 0.25432","m = 0.04027 
 p = 10.78524","m = 0.00391 
 p = 1.28360","m = 0.02564 
 p = 8.53947","m = 0.00080 
 p = 0.20029","m = 0.00144 
 p = 0.25279","m = 0.00854 
 p = 1.24123"
"CACNB2","m = 0.74284 
 p = 90.48376","m = 0.78282 
 p = 93.45865","m = 0.02842 
 p = 5.99978","m = 0.00797 
 p = 1.40299","m = 0.02575 
 p = 4.47876","m = 0.22032 
 p = 31.57764","m = 0.27124 
 p = 46.45222","m = 0.05503 
 p = 8.77378","m = 0.05716 
 p = 15.33008","m = 0.01426 
 p = 2.32567","m = 0.00614 
 p = 0.97103","m = 0.02743 
 p = 3.77766"
"RET","m = 0.00050 
 p = 0.18078","m = 0.00058 
 p = 0.20765","m = 0.00541 
 p = 1.20314","m = 0.00016 
 p = 0.03802","m = 0.01084 
 p = 2.70270","m = 0.00172 
 p = 0.35280","m = 0.00172 
 p = 1.04068","m = 0.00077 
 p = 0.22652","m = 0.01386 
 p = 4.69513","m = 0.00067 
 p = 0.18668","m = 0.00029 
 p = 0.06019","m = 0.00312 
 p = 0.48570"
"TGFA","m = 0.00434 
 p = 1.84705","m = 0.00684 
 p = 2.54156","m = 0.00067 
 p = 0.24338","m = 0.00058 
 p = 0.15209","m = 0.00545 
 p = 1.54440","m = 0.00032 
 p = 0.06693","m = 0.00148 
 p = 1.04068","m = 0.00502 
 p = 1.05708","m = 0.00257 
 p = 1.16591","m = 0.01216 
 p = 3.19488","m = 0.00587 
 p = 1.07937","m = 0.02388 
 p = 3.61576"
"NTRK2","m = 0.07752 
 p = 22.19512","m = 0.00234 
 p = 0.79492","m = 0.04148 
 p = 9.60559","m = 0.01667 
 p = 3.55880","m = 0.00880 
 p = 1.85328","m = 0.03444 
 p = 7.06453","m = 0.02418 
 p = 7.00095","m = 0.01343 
 p = 3.54878","m = 0.11846 
 p = 32.61383","m = 0.00181 
 p = 0.50947","m = 0.00114 
 p = 0.22871","m = 0.00563 
 p = 0.80950"
"CACNA1C","m = 0.92664 
 p = 93.00386","m = 1.00000 
 p = 96.78465","m = 0.14165 
 p = 24.20919","m = 0.04298 
 p = 6.54196","m = 0.04976 
 p = 10.03861","m = 0.53202 
 p = 63.73084","m = 0.12375 
 p = 23.27342","m = 0.08918 
 p = 12.88130","m = 0.07433 
 p = 16.81109","m = 0.02522 
 p = 3.28044","m = 0.00761 
 p = 1.05128","m = 0.02936 
 p = 4.15542"
"MAPK3","m = 0.00299 
 p = 1.23282","m = 0.00180 
 p = 0.68533","m = 0.02357 
 p = 5.64992","m = 0.09818 
 p = 21.53834","m = 0.04859 
 p = 12.97297","m = 0.02629 
 p = 5.39807","m = 0.04696 
 p = 15.98865","m = 0.01573 
 p = 3.54878","m = 0.01052 
 p = 4.60060","m = 0.01880 
 p = 5.34749","m = 0.00905 
 p = 2.09453","m = 0.00341 
 p = 0.53967"
"EGFR","m = 0.08592 
 p = 25.20311","m = 0.00187 
 p = 0.70578","m = 0.32424 
 p = 50.98910","m = 0.06573 
 p = 12.34098","m = 0.01180 
 p = 2.85714","m = 0.11334 
 p = 18.74504","m = 0.19050 
 p = 35.57237","m = 0.04442 
 p = 9.16641","m = 0.30252 
 p = 63.16370","m = 0.00828 
 p = 2.08260","m = 0.00210 
 p = 0.45743","m = 0.00434 
 p = 0.70157"
"MAP2K6","m = 0.00618 
 p = 1.94289","m = 0.00676 
 p = 2.28829","m = 0.03481 
 p = 7.70562","m = 0.01289 
 p = 2.80522","m = 0.02083 
 p = 4.63320","m = 0.05490 
 p = 9.16601","m = 0.00773 
 p = 2.83822","m = 0.02983 
 p = 5.84416","m = 0.09878 
 p = 30.32929","m = 0.01734 
 p = 4.06409","m = 0.04036 
 p = 6.94567","m = 0.02657 
 p = 3.88559"
"MAP3K11","m = 0.01296 
 p = 4.95306","m = 0.01293 
 p = 4.61224","m = 0.01174 
 p = 3.07921","m = 0.09691 
 p = 21.35356","m = 0.05841 
 p = 14.67181","m = 0.01213 
 p = 2.43133","m = 0.02175 
 p = 9.64995","m = 0.02936 
 p = 5.88946","m = 0.01598 
 p = 6.75910","m = 0.04341 
 p = 11.72753","m = 0.01845 
 p = 4.02857","m = 0.01863 
 p = 2.86023"
"IRAK1","m = 0.00321 
 p = 1.26985","m = 0.00271 
 p = 0.98631","m = 0.01641 
 p = 4.46634","m = 0.01362 
 p = 3.62268","m = 0.02093 
 p = 6.33205","m = 0.00861 
 p = 1.92843","m = 0.02266 
 p = 9.46074","m = 0.00800 
 p = 1.93295","m = 0.01379 
 p = 5.64046","m = 0.05258 
 p = 13.84903","m = 0.01915 
 p = 4.14493","m = 0.01108 
 p = 1.72693"
"EPHA2","m = 0.01119 
 p = 4.56535","m = 0.00567 
 p = 2.10267","m = 0.00500 
 p = 1.35598","m = 0.04046 
 p = 9.43995","m = 0.04374 
 p = 11.27413","m = 0.02879 
 p = 5.35696","m = 0.02188 
 p = 9.27152","m = 0.00455 
 p = 1.31380","m = 0.00515 
 p = 2.12699","m = 0.00096 
 p = 0.32474","m = 0.00068 
 p = 0.18056","m = 0.00059 
 p = 0.10793"
"GRB2","m = 0.08098 
 p = 26.35970","m = 0.05094 
 p = 16.67086","m = 0.06864 
 p = 15.92119","m = 0.06381 
 p = 14.45040","m = 0.08420 
 p = 19.92278","m = 0.05351 
 p = 10.21579","m = 0.06522 
 p = 20.24598","m = 0.06048 
 p = 12.45847","m = 0.12116 
 p = 37.89192","m = 0.31059 
 p = 56.05530","m = 0.10463 
 p = 19.35238","m = 0.15069 
 p = 21.64058"
"IL1R1","m = 0.03613 
 p = 11.38289","m = 0.01075 
 p = 3.39311","m = 0.18977 
 p = 31.83514","m = 0.11067 
 p = 19.43348","m = 0.08903 
 p = 19.30502","m = 0.06610 
 p = 11.89659","m = 0.26389 
 p = 46.83065","m = 0.03986 
 p = 8.39625","m = 0.15177 
 p = 34.96140","m = 0.06485 
 p = 14.09987","m = 0.00696 
 p = 1.37228","m = 0.01435 
 p = 2.05073"
"NFATC1","m = 0.01922 
 p = 8.17669","m = 0.01800 
 p = 6.79723","m = 0.03213 
 p = 7.70418","m = 0.03030 
 p = 7.00430","m = 0.09079 
 p = 19.15058","m = 0.00808 
 p = 1.64256","m = 0.03280 
 p = 10.87985","m = 0.01837 
 p = 4.18303","m = 0.03061 
 p = 11.98992","m = 0.04136 
 p = 11.02750","m = 0.03963 
 p = 7.63181","m = 0.01746 
 p = 2.80626"
"ERBB2","m = 0.05331 
 p = 18.79506","m = 0.04148 
 p = 13.86293","m = 0.01879 
 p = 4.78433","m = 0.01029 
 p = 2.63640","m = 0.00512 
 p = 1.15830","m = 0.00771 
 p = 1.69610","m = 0.02396 
 p = 9.55535","m = 0.04464 
 p = 9.36273","m = 0.00825 
 p = 4.30124","m = 0.00411 
 p = 1.26784","m = 0.00747 
 p = 1.61705","m = 0.00454 
 p = 0.75553"
"MAP3K1","m = 0.02024 
 p = 8.42064","m = 0.02410 
 p = 8.81495","m = 0.03815 
 p = 9.08841","m = 0.06987 
 p = 14.52568","m = 0.20581 
 p = 38.76448","m = 0.04076 
 p = 7.19360","m = 0.03054 
 p = 10.50142","m = 0.04219 
 p = 8.68318","m = 0.09578 
 p = 30.17173","m = 0.17821 
 p = 36.34932","m = 0.06795 
 p = 12.06564","m = 0.07607 
 p = 11.22504"
