name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
GRB2,0.4256862154440513,0.8836612489307101,1.0,0.20831103977171395,1.0,0.0835762876579203
CACNA1H,0.1594202898550724,0.986842105263158,0.85,0.888888888888889,0.0020145935189052402,0.6597222222222222
CACNB3,0.0420361743731308,0.9890350877192984,0.9,0.8862605953084959,0.001228410682259293,0.6578947368421053
CACNA2D1,0.0420361743731308,0.9890350877192984,0.9,0.8862605953084959,0.001228410682259293,0.6578947368421053
CACNA1C,0.0400214620323315,0.9890350877192984,0.9,0.8862605953084959,0.0013512517504852223,0.6578947368421053
CACNG2,0.0531986531986532,0.9890350877192984,0.9,0.8767987384190813,0.0014986610323563373,0.6513157894736842
CACNA1D,0.0210601093753267,0.986842105263158,0.85,0.922180607573866,0.0009335921185170626,0.6828703703703703
CACNG1,0.0210601093753267,0.986842105263158,0.85,0.922180607573866,0.0009335921185170626,0.6828703703703703
CACNB2,0.0210601093753267,0.986842105263158,0.85,0.922180607573866,0.0009335921185170626,0.6828703703703703
CACNG4,0.0324458351632264,0.986842105263158,0.85,0.9121930919683728,0.001056433186742992,0.6759259259259259
NGFR,0.1510702525726728,0.8260621613915027,0.4,0.3196004993757803,0.7155983588433285,0.2546296296296296
TRAF6,0.1293078266689744,0.8269175933846592,0.65,0.3681112894596041,0.28590030218902784,0.2413793103448276
TRAF2,0.0895300533141758,0.8109495295124037,0.55,0.4044943820224719,0.2111146598530821,0.3333333333333333
MAP2K4,0.2416531118778793,0.8825206729398347,0.5,0.26149131767109296,0.306414760582758,0.1757575757575757
CRK,0.1703243296759257,0.8785286569717707,0.3,0.5222043873729266,0.26263420386703684,0.2312925170068027
IKBKB,0.0259273986248295,0.8078129455374965,0.4,0.5726175613816064,0.16097093580325775,0.3909465020576131
SOS1,0.1799501867075289,0.8708297690333618,0.3,0.48796147672552165,0.3131218829078938,0.1968253968253968
MAPK8,0.2022307274130613,0.877958368976333,0.5,0.28328226081035074,0.25521460334619067,0.2053872053872054
MAP3K1,0.147307124712536,0.8408896492728828,0.1,0.5792759051186017,0.23715696631697908,0.4133333333333333
NTRK2,0.1029311020419187,0.8577131451382949,0.15,0.41947565543071164,0.4430385966636366,0.3229166666666667
IRAK1,0.0416383246731758,0.8078129455374965,0.5,0.43037112700034047,0.20661867675601306,0.303030303030303
CHUK,0.0477185326476405,0.7878528656971772,0.4,0.472742405326675,0.18055180207847088,0.3703703703703703
MAPK8IP3,0.1654693185171621,0.8651268890789848,0.25,0.34956304619225964,0.28931528388570865,0.325
KRAS,0.0812154641108448,0.8371827773025379,0.4,0.426133999167707,0.12706680097290127,0.3119658119658119
PDGFRA,0.0520116254411952,0.8571428571428571,0.3,0.5050829320492242,0.19509618455642092,0.2619047619047619
NTRK1,0.06729086431489,0.8574280011405759,0.1,0.4794007490636704,0.2953836326560696,0.3636363636363636
PDGFB,0.0147290039119964,0.8186484174508125,0.4,0.3995006242197254,0.0776601233324325,0.4509803921568627
CRKL,0.0763634072877421,0.872255489021956,0.25,0.449438202247191,0.18657101442154142,0.2976190476190476
MAPK1,0.0952897367425778,0.8343313373253493,0.5,0.3268641470888662,0.10127017664545611,0.2613636363636363
BRAF,0.0245483499800786,0.8120901055032791,0.5,0.3813415049370105,0.05237943149153625,0.3463203463203463
RAF1,0.0244040602462931,0.8120901055032791,0.5,0.38678924072182497,0.05233029506424588,0.3388429752066115
RET,1.0,1.0,0.1,0.0,7.370464093555758e-05,0.0
TGFA,0.006406348085721,0.808668377530653,0.35,0.449438202247191,0.02503500970444439,0.4473684210526316
EGF,0.006406348085721,0.808668377530653,0.35,0.449438202247191,0.02503500970444439,0.4473684210526316
INSR,0.0339961308272907,0.8408896492728828,0.15,0.599250936329588,0.0967496253347419,0.3583333333333333
TAB1,0.0256885185915653,0.8021100655831196,0.25,0.5193508114856429,0.040267302164459624,0.4318181818181818
MAPK9,0.0417685192991686,0.8739663530082692,0.35,0.37453183520599254,0.1255927081541901,0.2788461538461538
EGFR,0.0572080033612441,0.8508696891930425,0.45,0.3415730337078652,0.14060388669139867,0.1911764705882352
IRAK4,0.0027706646913103,0.8038209295694326,0.2,0.5513108614232209,0.02508414613173476,0.4434782608695652
ARRB2,0.1049517007641529,0.8488736812090105,0.15,0.4344569288389513,0.12886028056899984,0.358695652173913
HRAS,0.0490232671594703,0.8349016253207869,0.4,0.3196004993757803,0.10330933837800653,0.3055555555555556
NTF3,0.0571881781210127,0.8349016253207869,0.15,0.2397003745318352,0.28914330639019237,0.4318181818181818
MAPK3,0.0473927838737814,0.8183632734530939,0.4,0.35289221806075743,0.069134953197553,0.308080808080808
KDR,0.0403831820540521,0.8545765611633875,0.15,0.4794007490636704,0.11438960273198535,0.3214285714285714
FLT4,0.0176934357945878,0.8391787852865698,0.1,0.5193508114856429,0.0717391838439427,0.4057971014492754
TRADD,0.0235874938143375,0.8026803535785573,0.2,0.4434456928838951,0.08702061273124831,0.3904761904761905
PDGFRB,0.0147086594761254,0.8454519532363843,0.2,0.5273408239700375,0.045647740952755325,0.2909090909090909
ERBB2,0.00014647594187309934,0.8388936412888509,0.15,0.5243445692883895,0.00022111392280667273,0.39
FLNA,0.0375960573304369,0.8386084972911321,0.05,0.41947565543071164,0.044591307766012334,0.5
MET,0.0119760479041916,0.8371827773025379,0.1,0.4794007490636704,0.01434783676878854,0.4126984126984127
MAP2K7,0.0040298061364362,0.847733105218135,0.15,0.37453183520599254,0.009532466894332113,0.453125
NFATC3,0.1025900007214486,0.8357570573139436,0.1,0.3196004993757803,0.08726629486770017,0.375
KIT,0.0472548878147319,0.8386084972911321,0.1,0.4394506866416979,0.05608923175195932,0.3333333333333333
BDNF,0.0283403796119336,0.8349016253207869,0.15,0.2397003745318352,0.1445593690882736,0.4166666666666667
FGFR3,0.027850275596562,0.8414599372683205,0.25,0.34956304619225964,0.09770778566690416,0.238095238095238
MAP3K11,0.033587736871177,0.8229255774165954,0.15,0.299625468164794,0.07439255091762279,0.4230769230769231
IL1R1,0.0239007884692076,0.7835757057313943,0.25,0.3196004993757803,0.06884013463381078,0.3518518518518518
ERBB3,0.0007156187806934506,0.8394639292842886,0.2,0.4314606741573033,0.0007616146230007616,0.3153846153846154
FGFR2,0.0439948044094968,0.8417450812660393,0.3,0.2825040128410915,0.11338230597253274,0.201058201058201
MAP2K6,0.0743744844654092,0.8494439692044482,0.3,0.2140181915462814,0.0842689728029875,0.2406015037593984
JUN,0.0195753072168915,0.8329056173367552,0.2,0.27565543071161047,0.029039628528609685,0.4
PTPN7,0.0354952745112185,0.7892785856857714,0.2,0.2876404494382022,0.03250374665258089,0.3866666666666666
EPHA2,0.0238799509414905,0.8374679213002567,0.1,0.3995006242197254,0.028130604623737808,0.3333333333333333
CDC42,0.0233861021502605,0.7790134017678928,0.25,0.1797752808988764,0.045770582020981256,0.4259259259259259
NFKB2,0.0470384532140538,0.743085258055318,0.2,0.20374531835205995,0.1549762916738324,0.3384615384615385
MAPK14,0.0357607148609632,0.825491873396065,0.2,0.22771535580524344,0.05596639068373339,0.3384615384615385
NFATC1,0.0584373421831036,0.7921300256629598,0.15,0.1947565543071161,0.058963712748446064,0.425
MAP3K3,0.0354952745112185,0.7812945537496435,0.1,0.3196004993757803,0.060806328771835,0.375
FGFR1,0.0439293951400345,0.82919874536641,0.3,0.12841091492776885,0.062182148735965406,0.238095238095238
