,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
EPHA2,0.7404187,0.001835377641235283,0.0004286921443595915,0.00024350172304795397,0.013727637303790632,0.01772471107111014,0.005542483254096769,0.007290242918279786,0.00021501279364887662,0.00039344402571559915,1.119017556444583e-05,4.392701038807791e-06,2.2758573446477095e-06
CDC42,0.5190489,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
NTRK1,0.8936392,1.7185112355679692e-06,2.008221010567101e-06,0.004683132418222383,8.525322067658714e-07,1.7086283077259321e-06,0.00018380003769842944,0.0001743449816302297,8.491419435190997e-05,0.0008445271046232648,6.267740285975979e-06,1.2818609566350263e-05,0.0001746466110927378
PTPN7,0.87564623,5.275067944886265e-05,2.49015410575719e-05,8.095905101364911e-05,3.933921586787998e-06,4.2534537584625154e-05,4.285821459306485e-06,0.00044883264258658987,0.000148794080187856,0.00032307831146443977,0.003081858491624514,0.08343195288610464,0.0641068011055878
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
TGFA,0.8275417,0.0002879741759283718,0.0006244140461549787,5.841465043354992e-06,3.1841193271958735e-06,0.00030265938361178957,7.667731629483527e-07,5.545480619118592e-05,0.00019063899415618018,0.00010773839380011627,0.0013960326859838407,0.0002276816460438567,0.0031027680095053983
IL1R1,0.73121315,0.014781471894828126,0.001310391723230629,0.2171284256951664,0.07729276767280509,0.061768448721027734,0.028262056456401067,0.4441529743606005,0.012028321070240473,0.1906992546663484,0.03286442204070278,0.0003433340181186335,0.0010576439479590104
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
CACNA1D,0.9064421,0.14017677006970036,0.0030891128625500203,0.0007255607041647388,6.283473542564148e-05,0.0017607280186244419,0.0006692220808251147,0.0021176226084651875,0.002228799721322294,0.002739494271741921,0.0006346138520834535,6.628662482921675e-05,0.0012611824791944806
FGFR3,0.85978186,1.4847248964425006e-07,2.7607856029742766e-08,1.6745130375757848e-05,0.0005493260650080712,0.00022349412837083734,3.2379351432068975e-05,2.8478508584321166e-05,1.0124158985604516e-05,6.776155291466482e-06,4.629947785829946e-07,1.7333572038936869e-07,0.0
PDGFRA,0.9581101,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KIT,0.99734217,5.458999556703279e-06,3.578298611696422e-06,6.207129508049134e-06,0.00016893096292822503,2.8982869993075443e-05,2.622651233202769e-06,0.00011753128504939202,3.3672923127673646e-05,1.4331518995662328e-05,1.3973535024151522e-05,0.00012035428156007324,2.032974418150176
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
EGF,0.9137205,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
MAP3K1,0.6979336,0.006124624189114603,0.007636125423539624,0.01246192124099665,0.03647789206415441,0.2867381998010584,0.010537606468562484,0.01152762370280985,0.013166819216711072,0.10385566519736794,0.2328075020201439,0.02946503172990991,0.03069003774742789
PDGFRB,0.94710916,8.74043350071231e-05,8.015134645534434e-05,0.24415633741989243,0.00033914011761714403,0.0005572153967319769,1.6738957176986442,0.0027272418183657845,0.026544000491009342,0.0262096243823478,0.00015631486884375989,0.000494560588908472,0.00020177669207984154
MAPK9,0.23343323,0.02321920749083629,0.018435532928050693,0.008838982653503014,0.0067607840281838924,0.013050595190534258,0.0018024544919616361,0.013135411091987662,0.0032878806226673317,0.020677671662856223,0.013918576868204533,0.006185596768282627,0.006979201284538265
