#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ANGPT1	ANGPT2	9606.ENSP00000428340	9606.ENSP00000314897	0	0	0.900	0	0.900
ANGPT1	TEK	9606.ENSP00000428340	9606.ENSP00000369375	0	0.667	0.900	0	0.965
ANGPT1	ANGPT4	9606.ENSP00000428340	9606.ENSP00000371347	0	0.229	0.900	0	0.919
ANGPT2	ANGPT4	9606.ENSP00000314897	9606.ENSP00000371347	0	0	0.900	0	0.900
ANGPT2	TEK	9606.ENSP00000314897	9606.ENSP00000369375	0	0.730	0.900	0	0.971
ANGPT4	TEK	9606.ENSP00000371347	9606.ENSP00000369375	0	0.537	0.900	0	0.951
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0.561	0.500	0	0.771
ARAF	MAP2K2	9606.ENSP00000290277	9606.ENSP00000262948	0	0.727	0.400	0	0.829
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0.709	0.400	0	0.817
ARAF	HRAS	9606.ENSP00000290277	9606.ENSP00000407586	0	0.639	0.500	0	0.811
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0.461	0.500	0	0.719
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000401888	0	0.615	0.900	0	0.959
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000419060	0	0.654	0.900	0	0.963
AREG	EGFR	9606.ENSP00000379097	9606.ENSP00000275493	0	0.662	0.400	0	0.788
ARRB1	ARRB2	9606.ENSP00000409581	9606.ENSP00000403701	0	0.544	0.900	0	0.952
ARRB1	MAP2K4	9606.ENSP00000409581	9606.ENSP00000410402	0	0.188	0.900	0	0.915
ARRB2	MAPK1	9606.ENSP00000403701	9606.ENSP00000215832	0	0.542	0.500	0	0.761
ARRB2	MAPK3	9606.ENSP00000403701	9606.ENSP00000263025	0	0.657	0.500	0	0.821
ARRB2	MAP2K4	9606.ENSP00000403701	9606.ENSP00000410402	0	0.422	0.900	0	0.939
ARTN	RET	9606.ENSP00000387435	9606.ENSP00000347942	0	0.900	0.400	0	0.937
ATF2	ATF4	9606.ENSP00000264110	9606.ENSP00000336790	0	0.193	0.900	0	0.915
ATF2	MAPK8	9606.ENSP00000264110	9606.ENSP00000378974	0	0.943	0	0	0.943
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0.653	0.500	0	0.819
ATF2	JUN	9606.ENSP00000264110	9606.ENSP00000360266	0	0.965	0.900	0	0.996
ATF4	DDIT3	9606.ENSP00000336790	9606.ENSP00000448665	0	0.424	0.720	0	0.832
BDNF	NGFR	9606.ENSP00000414303	9606.ENSP00000172229	0	0	0.900	0	0.900
BDNF	NTRK2	9606.ENSP00000414303	9606.ENSP00000277120	0	0.549	0.900	0	0.952
BDNF	NTF3	9606.ENSP00000414303	9606.ENSP00000397297	0	0.958	0	0	0.958
BDNF	NTF4	9606.ENSP00000414303	9606.ENSP00000469455	0	0.960	0.500	0	0.979
BRAF	PPP5C	9606.ENSP00000419060	9606.ENSP00000012443	0	0.749	0	0	0.749
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0.457	0.500	0	0.716
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0.662	0.500	0	0.823
BRAF	MAP2K2	9606.ENSP00000419060	9606.ENSP00000262948	0	0.697	0.400	0	0.810
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0.542	0.500	0	0.761
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0.972	0.400	0	0.982
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0.537	0.500	0	0.759
BRAF	RAP1A	9606.ENSP00000419060	9606.ENSP00000358723	0	0.501	0.500	0	0.740
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0.664	0.900	0	0.964
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0.712	0.500	0	0.850
CACNA1A	CACNA1C	9606.ENSP00000489829	9606.ENSP00000266376	0	0	0.900	0	0.900
CACNA1A	CACNG2	9606.ENSP00000489829	9606.ENSP00000300105	0	0	0.800	0	0.800
CACNA1A	CACNA1E	9606.ENSP00000489829	9606.ENSP00000356545	0	0	0.900	0	0.900
CACNA1A	CACNA1B	9606.ENSP00000489829	9606.ENSP00000360423	0	0	0.900	0	0.900
CACNA1A	CACNA2D2	9606.ENSP00000489829	9606.ENSP00000418081	0	0.131	0.800	0	0.818
CACNA1A	CACNB4	9606.ENSP00000489829	9606.ENSP00000438949	0	0.519	0.800	0	0.899
CACNA1B	CACNG2	9606.ENSP00000360423	9606.ENSP00000300105	0	0	0.800	0	0.800
CACNA1B	CACNB3	9606.ENSP00000360423	9606.ENSP00000301050	0	0.911	0.800	0	0.981
CACNA1B	CACNA2D1	9606.ENSP00000360423	9606.ENSP00000349320	0	0.909	0.540	0	0.956
CACNA1B	CACNA1E	9606.ENSP00000360423	9606.ENSP00000356545	0	0	0.900	0	0.900
CACNA1B	CACNB1	9606.ENSP00000360423	9606.ENSP00000377840	0	0.911	0.540	0	0.957
CACNA1C	CACNG3	9606.ENSP00000266376	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1C	CACNG1	9606.ENSP00000266376	9606.ENSP00000226021	0	0.375	0.720	0	0.817
CACNA1C	CACNG6	9606.ENSP00000266376	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1C	CACNG4	9606.ENSP00000266376	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1C	CACNG2	9606.ENSP00000266376	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1C	CACNA1H	9606.ENSP00000266376	9606.ENSP00000334198	0	0.080	0.720	0	0.731
CACNA1C	CACNB1	9606.ENSP00000266376	9606.ENSP00000377840	0	0.541	0.540	0	0.780
CACNA1C	CACNG8	9606.ENSP00000266376	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1C	CACNG7	9606.ENSP00000266376	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1C	CACNA2D4	9606.ENSP00000266376	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1C	CACNB4	9606.ENSP00000266376	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1C	CACNA2D2	9606.ENSP00000266376	9606.ENSP00000418081	0	0.268	0.800	0	0.847
CACNA1C	CACNA1D	9606.ENSP00000266376	9606.ENSP00000288139	0	0.355	0.900	0	0.932
CACNA1C	CACNA1F	9606.ENSP00000266376	9606.ENSP00000365441	0	0	0.900	0	0.900
CACNA1C	CACNB3	9606.ENSP00000266376	9606.ENSP00000301050	0	0.746	0.900	0	0.973
CACNA1C	CACNA1S	9606.ENSP00000266376	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1C	CACNB2	9606.ENSP00000266376	9606.ENSP00000320025	0	0.641	0.720	0	0.895
CACNA1C	CACNA2D1	9606.ENSP00000266376	9606.ENSP00000349320	0	0.339	0.900	0	0.931
CACNA1D	CACNG3	9606.ENSP00000288139	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1D	CACNG1	9606.ENSP00000288139	9606.ENSP00000226021	0	0.375	0.720	0	0.817
CACNA1D	CACNG6	9606.ENSP00000288139	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1D	CACNG4	9606.ENSP00000288139	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1D	CACNG8	9606.ENSP00000288139	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1D	CACNB1	9606.ENSP00000288139	9606.ENSP00000377840	0	0.379	0.540	0	0.702
CACNA1D	CACNG2	9606.ENSP00000288139	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1D	CACNA1H	9606.ENSP00000288139	9606.ENSP00000334198	0	0.080	0.720	0	0.731
CACNA1D	CACNA2D2	9606.ENSP00000288139	9606.ENSP00000418081	0	0.268	0.800	0	0.847
CACNA1D	CACNA2D4	9606.ENSP00000288139	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1D	CACNB4	9606.ENSP00000288139	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1D	CACNB2	9606.ENSP00000288139	9606.ENSP00000320025	0	0.461	0.800	0	0.887
CACNA1D	CACNG7	9606.ENSP00000288139	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1D	CACNA1S	9606.ENSP00000288139	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1D	CACNA1F	9606.ENSP00000288139	9606.ENSP00000365441	0	0	0.900	0	0.900
CACNA1D	CACNB3	9606.ENSP00000288139	9606.ENSP00000301050	0	0.922	0.900	0	0.991
CACNA1D	CACNA2D1	9606.ENSP00000288139	9606.ENSP00000349320	0	0.931	0.900	0	0.992
CACNA1E	CACNG4	9606.ENSP00000356545	9606.ENSP00000262138	0	0	0.800	0	0.800
CACNA1E	CACNB3	9606.ENSP00000356545	9606.ENSP00000301050	0	0.911	0.540	0	0.957
CACNA1E	CACNA2D1	9606.ENSP00000356545	9606.ENSP00000349320	0	0.909	0.540	0	0.956
CACNA1E	CACNA2D2	9606.ENSP00000356545	9606.ENSP00000418081	0	0.131	0.800	0	0.818
CACNA1F	CACNG3	9606.ENSP00000365441	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1F	CACNG1	9606.ENSP00000365441	9606.ENSP00000226021	0	0.364	0.720	0	0.814
CACNA1F	CACNG6	9606.ENSP00000365441	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1F	CACNG4	9606.ENSP00000365441	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1F	CACNG8	9606.ENSP00000365441	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1F	CACNG2	9606.ENSP00000365441	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1F	CACNB3	9606.ENSP00000365441	9606.ENSP00000301050	0	0.252	0.900	0	0.922
CACNA1F	CACNB2	9606.ENSP00000365441	9606.ENSP00000320025	0	0.252	0.720	0	0.781
CACNA1F	CACNA1H	9606.ENSP00000365441	9606.ENSP00000334198	0	0.080	0.720	0	0.731
CACNA1F	CACNA2D1	9606.ENSP00000365441	9606.ENSP00000349320	0	0.268	0.900	0	0.923
CACNA1F	CACNA1S	9606.ENSP00000365441	9606.ENSP00000355192	0	0	0.900	0	0.900
CACNA1F	CACNG7	9606.ENSP00000365441	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1F	CACNA2D4	9606.ENSP00000365441	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1F	CACNB4	9606.ENSP00000365441	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA1G	CACNA1H	9606.ENSP00000352011	9606.ENSP00000334198	0	0	0.900	0	0.900
CACNA1G	CACNA1I	9606.ENSP00000352011	9606.ENSP00000385019	0	0	0.900	0	0.900
CACNA1H	CACNG3	9606.ENSP00000334198	9606.ENSP00000005284	0	0	0.720	0	0.720
CACNA1H	CACNG1	9606.ENSP00000334198	9606.ENSP00000226021	0	0	0.720	0	0.720
CACNA1H	CACNG6	9606.ENSP00000334198	9606.ENSP00000252729	0	0	0.720	0	0.720
CACNA1H	CACNG4	9606.ENSP00000334198	9606.ENSP00000262138	0	0	0.720	0	0.720
CACNA1H	CACNG8	9606.ENSP00000334198	9606.ENSP00000270458	0	0	0.720	0	0.720
CACNA1H	CACNG2	9606.ENSP00000334198	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1H	CACNB3	9606.ENSP00000334198	9606.ENSP00000301050	0	0	0.720	0	0.720
CACNA1H	CACNB2	9606.ENSP00000334198	9606.ENSP00000320025	0	0	0.720	0	0.720
CACNA1H	CACNB4	9606.ENSP00000334198	9606.ENSP00000438949	0	0	0.720	0	0.720
CACNA1H	CACNG7	9606.ENSP00000334198	9606.ENSP00000375647	0	0	0.720	0	0.720
CACNA1H	CACNA2D4	9606.ENSP00000334198	9606.ENSP00000372169	0	0	0.720	0	0.720
CACNA1H	CACNA2D1	9606.ENSP00000334198	9606.ENSP00000349320	0	0	0.720	0	0.720
CACNA1H	CACNA1S	9606.ENSP00000334198	9606.ENSP00000355192	0	0.080	0.720	0	0.731
CACNA1H	CACNA1I	9606.ENSP00000334198	9606.ENSP00000385019	0	0	0.900	0	0.900
CACNA1S	CACNG3	9606.ENSP00000355192	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA1S	CACNG1	9606.ENSP00000355192	9606.ENSP00000226021	0	0.717	0.720	0	0.917
CACNA1S	CACNG6	9606.ENSP00000355192	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA1S	CACNG4	9606.ENSP00000355192	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA1S	CACNG8	9606.ENSP00000355192	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA1S	CACNG2	9606.ENSP00000355192	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA1S	CACNB3	9606.ENSP00000355192	9606.ENSP00000301050	0	0.252	0.900	0	0.922
CACNA1S	CACNB2	9606.ENSP00000355192	9606.ENSP00000320025	0	0.422	0.720	0	0.831
CACNA1S	CACNA2D1	9606.ENSP00000355192	9606.ENSP00000349320	0	0.717	0.900	0	0.970
CACNA1S	CACNG7	9606.ENSP00000355192	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA1S	CACNA2D4	9606.ENSP00000355192	9606.ENSP00000372169	0	0.131	0.900	0	0.909
CACNA1S	CACNB1	9606.ENSP00000355192	9606.ENSP00000377840	0	0.717	0.540	0	0.864
CACNA1S	CACNB4	9606.ENSP00000355192	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNA2D1	CACNG3	9606.ENSP00000349320	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA2D1	CACNG1	9606.ENSP00000349320	9606.ENSP00000226021	0	0.606	0.720	0	0.884
CACNA2D1	CACNG6	9606.ENSP00000349320	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA2D1	CACNG4	9606.ENSP00000349320	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA2D1	CACNG8	9606.ENSP00000349320	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA2D1	CACNG2	9606.ENSP00000349320	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA2D1	CACNB3	9606.ENSP00000349320	9606.ENSP00000301050	0	0.842	0.900	0	0.983
CACNA2D1	CACNB2	9606.ENSP00000349320	9606.ENSP00000320025	0	0.247	0.720	0	0.780
CACNA2D1	CACNA2D4	9606.ENSP00000349320	9606.ENSP00000372169	0	0	0.900	0	0.900
CACNA2D1	CACNG7	9606.ENSP00000349320	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA2D1	CACNB4	9606.ENSP00000349320	9606.ENSP00000438949	0	0.247	0.900	0	0.921
CACNA2D1	CACNB1	9606.ENSP00000349320	9606.ENSP00000377840	0	0.873	0.540	0	0.939
CACNA2D2	CACNG1	9606.ENSP00000418081	9606.ENSP00000226021	0	0.411	0.540	0	0.717
CACNA2D2	CACNB2	9606.ENSP00000418081	9606.ENSP00000320025	0	0.247	0.800	0	0.842
CACNA2D4	CACNG3	9606.ENSP00000372169	9606.ENSP00000005284	0	0	0.900	0	0.900
CACNA2D4	CACNG1	9606.ENSP00000372169	9606.ENSP00000226021	0	0.365	0.720	0	0.814
CACNA2D4	CACNG6	9606.ENSP00000372169	9606.ENSP00000252729	0	0	0.900	0	0.900
CACNA2D4	CACNG4	9606.ENSP00000372169	9606.ENSP00000262138	0	0	0.900	0	0.900
CACNA2D4	CACNG8	9606.ENSP00000372169	9606.ENSP00000270458	0	0	0.900	0	0.900
CACNA2D4	CACNG2	9606.ENSP00000372169	9606.ENSP00000300105	0	0	0.720	0	0.720
CACNA2D4	CACNB3	9606.ENSP00000372169	9606.ENSP00000301050	0	0.185	0.900	0	0.915
CACNA2D4	CACNB2	9606.ENSP00000372169	9606.ENSP00000320025	0	0.185	0.720	0	0.762
CACNA2D4	CACNG7	9606.ENSP00000372169	9606.ENSP00000375647	0	0	0.900	0	0.900
CACNA2D4	CACNB4	9606.ENSP00000372169	9606.ENSP00000438949	0	0.185	0.900	0	0.915
CACNB1	CACNG1	9606.ENSP00000377840	9606.ENSP00000226021	0	0.440	0.540	0	0.731
CACNB1	CACNB3	9606.ENSP00000377840	9606.ENSP00000301050	0	0.671	0.540	0	0.842
CACNB1	CACNB2	9606.ENSP00000377840	9606.ENSP00000320025	0	0.690	0.540	0	0.851
CACNB2	CACNG3	9606.ENSP00000320025	9606.ENSP00000005284	0	0	0.720	0	0.720
CACNB2	CACNG1	9606.ENSP00000320025	9606.ENSP00000226021	0	0.345	0.720	0	0.808
CACNB2	CACNG6	9606.ENSP00000320025	9606.ENSP00000252729	0	0	0.720	0	0.720
CACNB2	CACNG4	9606.ENSP00000320025	9606.ENSP00000262138	0	0	0.720	0	0.720
CACNB2	CACNG8	9606.ENSP00000320025	9606.ENSP00000270458	0	0	0.720	0	0.720
CACNB2	CACNG2	9606.ENSP00000320025	9606.ENSP00000300105	0	0	0.720	0	0.720
