"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"GABARAPL2","m = 0.04574 
 p = 10.42452","m = 0.03181 
 p = 7.41492","m = 0.07896 
 p = 11.58596","m = 0.33300 
 p = 39.84107","m = 0.18440 
 p = 25.86873","m = 0.08682 
 p = 11.77612","m = 0.12221 
 p = 22.70577","m = 0.07546 
 p = 9.66475","m = 0.03049 
 p = 8.69702","m = 0.08212 
 p = 13.77513","m = 0.11664 
 p = 15.57660","m = 0.00520 
 p = 0.59363"
"UBB","m = 0.07523 
 p = 14.96591","m = 0.04112 
 p = 8.88522","m = 0.10946 
 p = 15.00199","m = 0.46689 
 p = 48.13885","m = 0.22437 
 p = 29.34363","m = 0.22888 
 p = 22.35714","m = 0.25562 
 p = 35.09934","m = 0.08519 
 p = 10.19330","m = 0.04978 
 p = 11.29668","m = 0.24447 
 p = 27.26831","m = 0.53191 
 p = 43.94511","m = 0.01613 
 p = 1.67296"
"USP30","m = 0.03927 
 p = 10.64669","m = 0.04423 
 p = 10.45357","m = 0.01873 
 p = 3.11398","m = 0.01061 
 p = 1.73073","m = 0.01209 
 p = 2.16216","m = 0.01639 
 p = 2.02404","m = 0.01596 
 p = 4.35194","m = 0.01729 
 p = 2.88432","m = 0.05577 
 p = 14.16417","m = 0.01409 
 p = 2.68347","m = 0.01099 
 p = 1.44451","m = 0.01943 
 p = 1.88883"
"RPS27A","m = 0.07416 
 p = 14.22535","m = 0.05084 
 p = 10.61245","m = 0.19480 
 p = 24.45764","m = 0.74957 
 p = 62.64705","m = 0.48718 
 p = 45.09653","m = 0.31201 
 p = 25.80383","m = 0.61646 
 p = 55.43992","m = 0.16465 
 p = 17.48716","m = 0.09499 
 p = 19.72585","m = 0.44547 
 p = 40.77509","m = 0.81688 
 p = 57.53551","m = 0.02656 
 p = 2.86023"
"PRKN","m = 1.00000 
 p = 87.43874","m = 0.93723 
 p = 89.07294","m = 0.39143 
 p = 43.20959","m = 0.10893 
 p = 11.45356","m = 0.30551 
 p = 33.74517","m = 0.28523 
 p = 27.80683","m = 0.28500 
 p = 34.62630","m = 0.35844 
 p = 35.56327","m = 0.68142 
 p = 78.55680","m = 0.24045 
 p = 27.53665","m = 0.07645 
 p = 7.82842","m = 0.31035 
 p = 27.41500"
"UBA52","m = 0.04947 
 p = 9.70574","m = 0.03184 
 p = 6.80615","m = 0.14258 
 p = 19.11774","m = 0.52050 
 p = 52.40941","m = 0.33311 
 p = 36.44788","m = 0.20314 
 p = 20.80063","m = 0.32602 
 p = 38.97824","m = 0.11365 
 p = 13.42495","m = 0.06476 
 p = 14.10115","m = 0.39674 
 p = 38.85778","m = 0.52392 
 p = 46.92240","m = 0.01142 
 p = 1.34916"
"UBC","m = 0.26631 
 p = 42.59110","m = 0.23107 
 p = 36.05527","m = 0.19378 
 p = 24.70392","m = 0.73521 
 p = 63.01890","m = 0.30544 
 p = 36.67954","m = 0.22422 
 p = 22.65257","m = 0.65073 
 p = 66.03595","m = 0.23454 
 p = 24.52431","m = 0.20122 
 p = 33.92154","m = 0.40403 
 p = 41.94376","m = 0.48809 
 p = 42.59690","m = 0.01631 
 p = 1.61900"
"GABARAP","m = 0.02877 
 p = 7.55375","m = 0.01744 
 p = 4.47853","m = 0.05944 
 p = 9.45565","m = 0.04578 
 p = 7.08566","m = 0.09047 
 p = 14.98069","m = 0.03116 
 p = 4.35976","m = 0.05228 
 p = 13.52886","m = 0.05832 
 p = 8.12443","m = 0.02802 
 p = 6.93241","m = 0.09841 
 p = 16.32248","m = 0.04483 
 p = 6.43608","m = 0.00998 
 p = 1.07933"
"TOMM7","m = 0.06463 
 p = 13.19509","m = 0.04930 
 p = 10.57417","m = 0.08487 
 p = 12.35739","m = 0.31694 
 p = 38.15140","m = 0.23555 
 p = 30.50193","m = 0.12445 
 p = 14.78780","m = 0.30821 
 p = 36.89688","m = 0.11146 
 p = 13.27394","m = 0.04935 
 p = 12.50985","m = 0.18285 
 p = 24.68012","m = 0.31433 
 p = 34.07030","m = 0.01351 
 p = 1.45710"
"RABGEF1","m = 0.06895 
 p = 17.50561","m = 0.04043 
 p = 10.05034","m = 0.15944 
 p = 21.22053","m = 0.03969 
 p = 5.77088","m = 0.09187 
 p = 13.35907","m = 0.02496 
 p = 3.24974","m = 0.09029 
 p = 14.19111","m = 0.06220 
 p = 9.04561","m = 0.17107 
 p = 27.03640","m = 0.14941 
 p = 22.50418","m = 0.05994 
 p = 7.31081","m = 0.05635 
 p = 5.55855"
