,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
TOMM20,0.44152346,0.01267904523620598,0.0114819709819675,0.024992238651263682,0.06784160939293087,0.07774409932519478,0.020671010703093767,0.06568818929179615,0.0193726823827501,0.045185996938807316,0.03335906346073387,0.03265158331680715,0.0008697616015809713
RPS27A,0.64202094,0.024908808567388887,0.012739778177230687,0.11248816520581185,1.108720471063887,0.5187288357944563,0.1900874953617444,0.8069248637052335,0.06797993541375921,0.044240550251481894,0.4288656906180708,1.109692386458328,0.0017939644427924816
RAB5A,0.2663088,0.041857948782944555,0.031581419147287355,0.03637648918106194,0.054245937941831385,0.07351022935742117,0.017999066805418514,0.07169707337977645,0.030832906556575907,0.08918387861313436,0.07044109665716523,0.03384387741625745,0.011778267409051357
MFN1,0.5124848,0.15842647174734065,0.08156735838556582,0.050094636008755966,0.011408981741718872,0.03672052937124687,0.014923297142411016,0.03902552637043378,0.028773936108587302,0.08997526134264382,0.020009617925232676,0.010615821123295368,0.00785823305490785
MTX3,0.4635383,0.007105315544441622,0.0077590486977744955,0.0035122290511067564,0.0005340411003882575,0.007539184132598082,0.002834147609640011,0.0012871939671298977,0.0023319259807985018,0.0069936614877429745,0.0007020242629433738,0.001087934788486594,0.00028495165970250847
SQSTM1,0.40561667,0.23304314259279452,0.16106116683186458,0.22561136678431656,0.25909287377204426,0.21057991079381996,0.09202767306260956,0.4758112103508234,0.1157541895463581,0.325942616848114,0.23234081059567954,0.09767636638823811,0.11517854349328836
PRKN,0.638143,2.0644791585992825,1.9710454946321623,0.3993361312780656,0.029456271894902478,0.24341417808790464,0.18726340238374165,0.23300352283773718,0.3009692761553122,1.263873602961938,0.15632818932340958,0.01413009197163205,0.2008870594963407
TOMM7,0.55870837,0.020134177861830933,0.012309051414640218,0.02476083756330751,0.2854941944754906,0.16963249260854538,0.043450511996180496,0.2684998985947363,0.03493181361564514,0.014576071587175351,0.1065475379846266,0.2528566081923205,0.0004649399078606401
RABGEF1,0.55173594,0.028497359574844654,0.009593415383260655,0.07988617714906109,0.005408579488883141,0.028977311957756983,0.0019153924734313565,0.030252847788800802,0.013285055977093493,0.10920260993818683,0.07938496047379612,0.010346769468616533,0.007394767473404045
TRAF2,0.2521662,0.0022979857404644196,0.003570150240754132,0.0013709560883420383,0.002556633979505896,0.002588196452635135,0.000751963291347962,0.002376873032062146,0.0005694323887964707,0.0033005165531632655,0.0011827416831881534,0.002274068721023209,0.0012426645295464279
